record_id,title,abstract,keywords,authors,year,date,doi,label_included,label_abstract_screening,duplicate_record_id
1,"Methanobactinin Methylosinus trichosporium OB3b'den Bakır(I), Gümüş(I), Çinko(II), Nikel(II), Kobalt(II), Mangan(II), Kurşun(II) ve Demir(II) için Bağlanma Seçiciliği","Methylosinus trichosporium OB3b'den elde edilen metanobaktin (Mb), metanotrofik bakterilerde tanımlanan bir metal bağlayıcı peptit sınıfının bir üyesidir. Mb, Cu(II)'yi Cu(I)'ye seçici olarak bağlayacak ve indirgeyecektir ve metan monooksijenaz enzimi için bakır kofaktörünün edinimine aracılık ettiği düşünülmektedir. Mb'nin bu bakır şelatlama özellikleri, onu Wilson hastalığı, kanserler ve nörodejeneratif hastalıklar dahil olmak üzere bakırın rol oynadığı hastalıkların tedavisi için bir şelatlama maddesi olarak potansiyel olarak faydalı kılar. Ag(I), Pb(II), Co(II), Fe(II), Mn(II), Ni(II)'den Mb bakır bağlanma yeri için rekabet, gezgin dalga iyon hareketlilik-kütle spektrometrisi (TWIMS) kullanılarak , ve Zn(II) bir dizi metal iyonu titrasyonları, pH titrasyonları ve metal iyonu yer değiştirme titrasyonları ile belirlenmiştir. TWIMS analizleri, titrasyonlar sırasında mevcut olan tüm bireysel Mb türlerinin açık bir şekilde tanımlanmasına ve nicelenmesine izin verdi ve bunların çarpışma kesitlerini ve çarpışma kaynaklı ayrışma modellerini ölçtü. Sonuçlar, Ag(I) ve Ni(II)'nin Mb'ye tersinmez bir şekilde bağlanabileceğini ve Cu(I) tarafından etkin bir şekilde yer değiştiremeyeceğini, oysa Ag(I)'in Cu(I)'yi Mb kompleksinden kısmen değiştirebileceğini gösterdi. pH = 6.5'te Mb bağlanma seçiciliği Ag(I)=Cu(I)>Ni(II)=Zn(II)>Co(II)>>Mn(II)=Pb(II)>Fe( sırasını takip eder. II) ve pH 7.5 ila 10.4'te sıralama Ag(I)>Cu(I)>Ni(II)>Co(II)>Zn(II)>Mn(II)=Pb(II)>Fe(II) şeklindedir. ). Disülfid ile indirgenmiş Cu(I) ve Ag(I) komplekslerinin parçalanma eğrileri, CCS'leri ile gösterilen nispi stabiliteleri ve kompakt katlanmış yapıları arasında bir korelasyon olduğunu gösterdi. Bağlanma sabitinin belirlenmesine izin veren floresan spektroskopisi, Ni(II) kompleksi dışında TWIMS analizleriyle iyi bir şekilde karşılaştırıldı. Grafik soyut.",,"McCabe, J. W.;Vangala, R.;Angel, L. A.",2017,1930-08-01 00:00:00,https://dx.doi.org/10.1007/s13361-017-1778-9,0,0,
2,Wilson hastalığının özellikleri ve prevalansı: Fransa'da 2013 yılında gözlemsel bir popülasyona dayalı çalışma,"ARKA PLAN VE AMAÇLAR: Bugüne kadar Wilson hastalığının (WD) insidansı ve prevalansı hakkında sadece birkaç epidemiyolojik çalışma yapılmıştır ve sonuçlar raporlara göre büyük farklılıklar göstermektedir. Çalışmanın amacı, Fransa'da WH'li hastaların prevalansını, ayakta bakım ve tedavilerini araştırmaktı. YÖNTEMLER: 58 milyon genel sağlık programı yararlanıcısı arasında (Fransız nüfusunun %86'sı), 2013'te WH için yönetilen kişiler, 2011-2013'te hastaneye yatış teşhisi veya belirli sağlık hizmetleri için %100 geri ödemeli belirli uzun vadeli hastalık durumları kullanılarak belirlendi. 2013. Veriler Sniiram'dan (Ulusal Sağlık Sigortası Bilgi Sistemi veri tabanı) elde edilmiştir. Yaş ve cinsiyete göre prevalans hesaplandı. SONUÇLAR: 2013'te 906 yaygın vaka tespit edildi ve 100.000'de 1.5 vakalık bir kaba prevalans elde edildi; Erkeklerde 100.000'de 1.65 ve kadınlarda 100.000'de 1.44. Bu prevalans, Avrupa ülkelerindeki diğer popülasyona dayalı çalışmalarda bildirilenlerle ve benzer bir yöntemi kullanan bir çalışmayla karşılaştırılabilir. Hastaların yaklaşık %40'ı D-penisilamin ile tedavi edildi ve %14,3'ü çinko asetat ile tedavi edildi. Merhamet temelinde teslim edilen Trientine, geri ödeme veri tabanında mevcut değildi. 2013 yılında hastaların %1.3'üne karaciğer nakli yapılmıştı ve %4'üne önceki yıllarda karaciğer nakli yapılmıştı. Hastaların yüzde 15'i, genel popülasyondan daha yüksek bir oranda antidepresan aldı. SONUÇLAR: Bu, idari verilere dayanan kapsamlı bir popülasyonda WD'nin ilk Fransız popülasyon tabanlı epidemiyolojik çalışmasıdır ve WD'nin etkisini anlamak ve bakım kalitesini incelemek için önemli bir adım teşkil etmektedir.",,"Poujois, A.;Woimant, F.;Samson, S.;Chaine, P.;Girardot-Tinant, N.;Tuppin, P.",2017,2022-06-01 00:00:00,https://dx.doi.org/10.1016/j.clinre.2017.05.011,0,1,
3,Tayvan'da Wilson hastalığının tedavi yöntemi ve potansiyel sonucu: Nüfusa dayalı uzunlamasına bir çalışma,"ARKA PLAN/AMAÇ: Bu çalışma, Tayvan'da Wilson hastalığının epidemiyolojisini, ilaç tercihini ve olası sonuçlarını araştırmayı amaçladı. Bu çalışmadan elde edilen verilere dayanarak Wilson hastalığı olan hastalar için daha iyi tedavi seçenekleri sunmayı amaçladık. YÖNTEMLER: Tayvan sakinlerinin yaklaşık %99'unun klinik kayıtlarını saklayan Ulusal Sağlık Sigortası Araştırma Veritabanını (NHIRD) kullandık. Kullanılan veri tabanı, 2005 yılında Tayvan'ın NHIRD bölgesindeki 23 milyon yararlanıcıdan iki milyonun rastgele bir örneğidir. Bu iki milyon vakanın entegre tıbbi kayıtları 2000'den 2011'e kadar toplanmıştır. Wilson hastalığının denekleri, Uluslararası Hastalıkların Sınıflandırılması, Dokuzuncu Revizyon (ICD-9) 275.1 kodlu ve özel reçeteli ilaçlar (d-penisilamin, çinko ve trientin dahil) poliklinikte veya yatan hasta kayıtlarında. BULGULAR: Çalışma süresince 66 Wilson hastalığı vakası tespit edildi. Erkek kadın oranı 1.75 idi. Ortalama yaygınlık oranı 100.000'de 1.81 ve ortalama yıllık tanı oranı 100.000'de 0.22 idi. Tanı çoğunlukla 20-24 ve 10-14 yaşlarında konulmuş, bunu 25-29 yaşlarında izlemiştir. Tüm deneklerin elli dördü (%81.8) tedaviye çinko (%12.1) ve trientine (%6.1) kıyasla d-penisilamin ile başladı. Bu 66 olgunun 27'sine (%40,9) karaciğer sirozu, üçüne (%4,5) karaciğer yetmezliği nedeniyle karaciğer nakli yapıldı. SONUÇLAR: d-penisilamin hala Wilson hastalığının en popüler reçetesidir ve bunu çinko monoterapisi izlemektedir. Kronik karaciğer hasarından kaçınılamamasına rağmen, bu popülasyona dayalı çalışmada olumlu bir potansiyel sonuç iyi bir şekilde gösterilmiştir. Telif Hakkı Â© 2017. Yayınlayan: Elsevier BV",,"Tai, C. S.;Wu, J. F.;Chen, H. L.;Hsu, H. Y.;Chang, M. H.;Ni, Y. H.",2017,2001-06-01 00:00:00,https://dx.doi.org/10.1016/j.jfma.2017.05.008,1,1,
4,"Manganezin erken tarihi ve nörotoksisitesinin tanınması, 1837-1936","Biyomedikal tanıma manganez kaynaklı nörotoksisitenin tarihi, parkinsonizm ontolojisi kadar değişen teknolojileri yansıtmaktadır. Manganez kaynaklı nörolojik yaralanmanın ilk 1837 raporu, İskoçya'da üniversitede çalışan bir doktor olan John Couper tarafından yapılmıştır. Salgının Glasgow civarındaki Charles Tennant çamaşır suyu fabrikasındaki işçiler arasında meydana geldiğini açıkça belirtti. Manganez kullanan nispeten yeni klor üretimi teknolojisi, ilgili yeni maruziyetten sorumluydu. O zamanlar bu fabrika dünyanın en büyük hipoklorit ağartma tozu üreticisiydi. 19. yüzyıl ilerledikçe, daha yüksek manganez içeriği gerektiren çelik üretimindeki teknolojik değişim, metal talebini büyük ölçüde artırdı. Bununla birlikte, bir sonraki manganez nörotoksisitesi raporlarının ortaya çıkmasından önce altmış yıldan fazla bir süre geçti. İki ilgisiz salgın (her ikisi de Kıta Avrupası'nda), 1901'de haftalar içinde, biri von Jaksch ve diğeri Embden tarafından rapor edildi. Tüm vakalar yoğun bir şekilde manganez içeren toza maruz kalmıştır. Birinci Dünya Savaşı arifesinde, beş ayrı Kıta Avrupası yayınında manganez kaynaklı nörolojik hastalığı olan toplam 9 hasta rapor edildi. Bu arada, yeni teknoloji başka bir maruz kalma kaynağına yol açtı. Manyetik ayırma teknikleri, aynı zamanda demir ve manganez içeren karışık cevherden çinkonun çıkarılmasına izin vererek, New Jersey'de bulunan benzersiz bir yüksek manganez içerikli cevher kaynağının sömürülmesine yol açtı. Bu teknolojinin tanıtılmasından kısa bir süre sonra, 1912'de Casamajor, klasik bulguları detaylandıran ilk ABD manganizm vakalarını bildirdi. Birkaç yıl sonra, aynı kohorttan ek vakalar rapor edildi ve devam eden maruziyet, Birinci Dünya Savaşı'nın silahlanmada kullanılmasına yönelik manganez talebine bağlı olarak devam etti. Kronik manganez nörotoksisitesinin nozolojisi, ancak son zamanlarda tarif edilen bir sendrom olan Wilson hastalığı ile ortak özelliklere büyük önem verilerek akış halinde kaldı. Mella tarafından 1924'te çığır açan bir primat çalışması, manganez kaynaklı bazal ganglion hasarını gösterdi; takip eden yıllardaki insan otopsi çalışması verileri, manganez toksisitesinin bir parkinson sendromunu temsil ettiği görüşünü daha da destekledi. Couper'in ilk raporunun 1937 yüzüncü yılı yaklaşırken, daha yeni teknolojiler (elektrik ark kaynağı ve pil yapımı), maden çıkarma küresel bir maruziyet kaynağı olarak genişliyor olsa bile, manganez kaynaklı hastalıklarla bağlantılıydı. Telif Hakkı Elsevier BV tarafından yayınlanmıştır",,"Blanc, P. D.",2017,2014-04-01 00:00:00,https://dx.doi.org/10.1016/j.neuro.2017.04.006,0,0,
5,Presemptomatik Wilson hastalığı olan küçük çocuklar için çinko monoterapisi: Japonya'da çok merkezli bir çalışma,"ARKA PLAN VE AMAÇ: Presemptomatik Wilson hastalığı için çinko monoterapisi ile ilgili az sayıda çalışma küçük çocuklara odaklanmıştır. Bu nedenle, bu tür çocuklar için çinko monoterapisinin uzun vadeli etkinliğini ve güvenliğini değerlendirdik ve idame tedavisi için kriterler oluşturduk. YÖNTEMLER: Japonya'daki 12 katılımcı pediatrik merkezde tanı anından itibaren çinko monoterapisi alan presemptomatik Wilson hastalığı olan 10 yaşın altındaki çocukları geriye dönük ve ileriye dönük olarak inceledik. BULGULAR: Yirmi dört hasta giriş kriterlerini karşıladı. Aspartat aminotransferaz ve alanin aminotransferaz, tedavinin başlamasından 1 ay sonra başlayarak önemli ölçüde azaldı ve genellikle 1 ila 8 yıllık tedaviden sonra 50 U/L'nin altında kaldı. Yirmi dört saatlik idrar bakırı 6. ayda önemli ölçüde azaldı ve çalışmanın geri kalanında genellikle 75 mikro g/gün'ün altında ve 1 ila 3 mikro g/kg/gün arasında kaldı. Tüm hastalar çinko almaya devam etti ve hiçbiri semptomatik olmadı. Başlangıç dozu olarak 50 mg/gün çinko alan 6 yaşından küçük hastalarda, aspartat aminotransferaz ve alanin aminotransferaz, tedavinin başlamasından 1 ay sonra, gama-glutamiltransferaz ve 24 saatlik idrar bakırında 6. ayda önemli ölçüde azaldı. SONUÇLAR: Bildiğimiz kadarıyla bu, presemptomatik Wilson hastalığı olan küçük çocuklar için çinko monoterapisi ile ilgili ilk çok merkezli çalışmadır. Böyle bir monoterapinin oldukça etkili ve güvenli olduğu kanıtlanmıştır. Normal transaminaz değerlerinin (veya normalizasyonun zor olduğu 50 U/L'nin altındaki değerlerin) ve 24 saatlik idrar bakır atılımının 1 ile 3 mikro g/kg/gün arasında ve 75 mikro g/gün'ün altında tutulması makul bir hedeftir. 6 yaşın altındaki hastalar için 50 mg/gün başlangıç dozu uygundur. Telif hakkı Bu makale telif hakkı ile korunmaktadır. Tüm hakları Saklıdır.",,"Eda, K.;Mizuochi, T.;Iwama, I.;Inui, A.;Etani, Y.;Araki, M.;Hara, S.;Kumagai, H.;Hagiwara, S. I.;Murayama, K.;Murakami, J.;Shimizu, N.;Kodama, H.;Yasuda, R.;Takaki, Y.;Yamashita, Y.",2018,2028-04-01 00:00:00,https://dx.doi.org/10.1111/jgh.13812,0,0,
6,[Elastosis Perforans Serpiginosa ve Wilson Hastalığı: D-Penisilamin ile Uzun Süreli Tedavinin Nadir Ama Öngörülebilir Bir Sonucu],"Elastosis perfurans serpiginosa, anormal elastik liflerin transepidermal eliminasyonu ile karakterize, esas olarak adolesanlarda ve genç erişkinlerde bulunan, nadir görülen perforan bir dermatozdur. Elastoz perfurans serpiginosa'yı indükleyebildiği bilinen tek ilaç D-penisilamindir. Biz 52 yaşında, keratotik papülleri olan ve anterior servikal bölgede yerleşmiş, merkezi berraklaşma ve santrifüj büyüme ile annüler düzende bir kadın hastayı sunuyoruz. Hasta, Wilson hastalığı nedeniyle kronik olarak D-penisilamin ile tedavi edildi. Lezyon biyopsisi kalınlaşmış, eozinofilik, dallanmış, testere dişi benzeri elastik liflerin transepidermal eliminasyonunu gösterdi. Klinik ve patolojik bulgular D-penisilamine sekonder elastozis perfurans serpiginosa ile uyumluydu. Elastoz perfurans serpiginosa'nın D-penisilamin ile tedavi edilen hastaların %1'inde meydana geldiği tahmin edilmektedir. D-penisilamin, elastin molekülleri arasındaki desmosin çapraz bağlarını doğrudan veya dolaylı olarak bloke ederek, anormal dermal ve ekstrakutanöz elastik liflerin sentezine yol açar. Elastosis perfurans serpiginosa, elastik bağ dokusunun multisistemik dejeneratif sürecinin ilk belirtisi olabilir.",,"Castro Pinho, A.;Cardoso, J. C.;Gouveia, M.;Oliveira, H.",2016,Mar,https://dx.doi.org/10.20344/amp.6749,0,0,
7,Wilson Hastalığı için Şelasyon Maddesi ve Çinko Kullanan Kombinasyon Tedavisi,"Wilson hastalığının (WH) tedavisi için optimal ilaç tedavisi konusunda net bir uluslararası fikir birliği yoktur. Bu çalışma, özellikle bir şelatlama maddesi ve çinko kombinasyonuna ilişkin ön bulgulara odaklanarak, yaygın olarak kullanılan çeşitli ilaç tedavilerinin etkinliğini sistematik olarak gözden geçirmektedir. Ocak 1989 ile Ağustos 2014 arasında WH için yaygın olarak kullanılan ilaçların etkinliğine ilişkin orijinal çalışmaları bulmak için sistematik bir PubMed araştırması yapıldı. Sonuçlar, kombinasyon terapileri üzerine çalışmaların sistematik bir incelemesini yapmak için kullanıldı. 1056 hastayı içeren toplam 17 kombinasyon tedavisi çalışması gözden geçirildi. Bunlar, etkinlik, yan etkiler ve ölüm oranlarına ilişkin veriler açısından analiz edildi. Havuzlanmış bir analizden elde edilen sonuçlar, karaciğer hastalarına yönelik kombinasyon tedavilerinin nörolojik belirtiler için aynı tedavilerden önemli ölçüde daha az etkili olduğunu göstermektedir (%47.1'e karşı %78.6; havuzlanmış rölatif risk oranı (RR): 0.63, %95 güven aralığı CI 0.43-0.94; p = 0.02). Bir alt grup analizinden elde edilen veriler, penisilamin artı çinko sülfat kombinasyon tedavisinin, diğer tüm kombinasyon tedavisi türlerine kıyasla önemli ölçüde daha yüksek bir ölüm oranıyla sonuçlandığını göstermektedir (%16.3'e karşı %4.7; RR: 3.51, %95 GA 1.54-8.00; p < 0.001 ). Çinko ve bir şelatör içeren kombinasyon tedavilerinin kullanımı, özellikle karaciğer belirtileri olan WH hastaları için yakın klinik gözlemler ve sık biyokimyasal testler ile dikkatle izlenmelidir.",,"Chen, J. C.;Chuang, C. H.;Wang, J. D.;Wang, C. W.",2015,,https://dx.doi.org/10.1007/s40846-015-0087-7,0,0,
8,Çocuklarda Wilson hastalığının tedavisinde D-penisilamin ve çinko tuzları kombinasyonunun uzun vadeli etkileri,"Bu çalışmanın amacı, pediatrik Wilson hastalığının (WH) tedavisinde yüksek doz çinko sülfat ve düşük doz D-penisilamin kombinasyonunun etkinliğini araştırmaktı. WH'li 65 hastanın geriye dönük bir tablo incelemesi yapıldı. Bu hastalara birincil tedavi olarak D-penisilamin (8-10 mg/kg/gün) ve çinko sülfat verildi. Pediatrik elementel çinko dozu 6 yaşına kadar 68-85 mg/gün, 8 yaşına kadar 85-136 mg/gün, 10 yaşına kadar 136-170 mg/gün ve sonrasında 170 mg/gün'dür. Yemeklerden 1 saat önce 3 bölünmüş doz. Klinik ve biyokimyasal iyileşme veya stabilizasyondan sonra, idame tedavisi olarak tek başına çinko sülfat uygulandı. Tedavi altında hastaların büyük çoğunluğunda (%89.2) olumlu sonuç alındı ve 3 hasta kötü tedavi uyumu nedeniyle öldü. Penisilaminin neden olduğu nörolojik bozulma kaydedilmedi ve tüm takip süresi boyunca hastaların <%11'inde yan etkiler gözlendi. Düşük doz D-penisilamin ve yüksek doz çinko sülfat kombinasyonu ile son derece uzun süreli tedaviyi takiben karaciğer ve nörolojik semptomlar üzerinde faydalı sonuçlar bildirilmiştir. Bu nedenle, bu rejim WH'li çocuklar için etkili ve güvenli bir tedavidir.",,"Chang, H.;Xu, A.;Chen, Z.;Zhang, Y.;Tian, F.;Li, T.",2013,Apr,https://dx.doi.org/10.3892/etm.2013.971,0,0,
9,Nörolojik Hastalıkların Potansiyel Tedavisi Olarak Çinko-İyonların Beyinden Taşınması: Mini İnceleme,"Zn(2+) gibi metal iyonlarının homeostazı, uygun beyin fonksiyonu için gereklidir. Ayrıca, beyin Zn(2+)-düzeylerinin düzensizliğini içeren psikiyatrik ve nörodejeneratif bozuklukların listesi uzundur ve Parkinson ve Alzheimer hastalığının yanı sıra şizofreni, dikkat eksikliği ve hiperaktivite bozukluğu, depresyon, amyotrofik lateral skleroz, Down's dahil olmak üzere sürekli olarak büyümektedir. sendromu, multipl skleroz, Wilson hastalığı ve Pick hastalığı. Ayrıca, geçici ön beyin iskemisi, nöbetler, travmatik beyin hasarı ve alkolizmde Zn(2+)-düzeylerinde değişiklikler görülür. Bu nedenle, beyindeki Zn(2+)- düzeylerini değiştirme olasılığı, psikiyatrik ve nörolojik hastalıkların önlenmesi ve tedavisi için yeni bir hedef olarak ortaya çıkmaktadır. Zn(2+)'nin beyindeki rolü son on yılda kapsamlı bir şekilde çalışılmış olmasına rağmen, beyindeki Zn(2+) konsantrasyonlarının kontrollü düzenlenmesi ve manipülasyonu için yöntemler hala emekleme aşamasındadır. Diyette Zn(2+) takviyesi ve kısıtlamasının kullanımı büyük sınırlamalara sahip olduğundan, hücre içi Zn'yi yükseltmek veya azaltmak için Zn(2+) şelatörlerinin intrakraniyal infüzyonunun veya nanopartikül teknolojilerinin kullanımı gibi yeni yöntemler ve alternatif yaklaşımlar halen araştırılmaktadır. (2+) seviye. Bu nedenle, bu derleme Zn(2+)'nin psikiyatrik ve nörodejeneratif hastalıklardaki rolünü kısaca özetlemekte ve beyin Zn(2+) seviyesi manipülasyonunun temel bulgularını ve engellerini vurgulamaktadır. Ayrıca beyin Zn(2+) düzeylerini kontrol etmek için beyin bozukluklarını tedavi etmek için kullanılan metal iyon şelasyonu, yeniden dağıtma ve takviye gibi bazı yöntem ve bileşikler değerlendirilmektedir.",,"Grabrucker, A. M.;Rowan, M.;Garner, C. C.",2011,Sep,,0,0,
10,Serum ve idrar bakır göstergeleri ile gösterildiği gibi Wilson hastalığı ve Alzheimer hastalığında bakır dishomeostazisi,"Bakırın anormal kullanımı, seruloplazmine bağlı olmayan plazma bakır düzeylerinin artmasıyla (nCp-Cu, aynı zamanda 'serbest' bakır olarak da bilinir) karakterize edilen nadir bir bozukluk olan Wilson hastalığının (WD) nedenidir. Alzheimer hastalığında (AH), meta-analizler, nCp Cu bileşeni artışına bağlı olarak beyinde bakırın azaldığını ancak serumda arttığını göstermektedir. Benzerliklere rağmen, iki hastalıkta bakır biyolojik durumunun doğrudan bir karşılaştırması hiç yapılmamıştır. Bu boşluğu doldurmak için, 385 CE'de serum bakır, seruloplazmin, nCp-Cu ve Cu:Cp'yi ve daha önce incelenen ve yeni tanı konmuş 9 WH hastası ile karşılaştırılan 336 sağlıklı kontrolü değerlendirdik. Daha sonra D-penisilamin (D-pen) tedavisi altındaki 24 WH hastasında ve 35 sağlıklı kontrolde 24 saatlik bakır idrar atılımını değerlendirdik ve sonuçları daha önce yayınlanmış bir D-pen faz II klinik çalışmasına katılan AD hastalarının sonuçlarıyla karşılaştırdık. Cinsiyet ve yaş için ayar yapıldıktan sonra, serum nCp-Cu ve Cu:Cp, AD ve WD'de sağlıklı kontrollere göre daha yüksek sonuçlandı (her ikisi de p<0,001). AD ve WD arasında nCp-Cu benzer iken, WD'de Cu:Cp daha yüksekti (p<0.016). AD hastalarında 24 saatlik idrar bakır atılımı (12.05mug/gün) sağlıklı kontrollerden (4.82mug/gün; p<0.001) daha yüksekti. D-pen tedavisi altındaki AD hastalarının %77.8'inde 24 saatlik idrar atılımı 200 ug/gün'den daha yüksekti, bu da bakır kontrolünün başarısız olduğunu düşündürdü. Bu çalışma, uygun bir belirteç olarak bakır kontrolünün ve Cu:Cp oranının başarısız olduğunu göstererek, AD'deki bakır homeostazının patofizyolojisine yeni bir bakış açısı sağlar.",,"Squitti, R.;Ghidoni, R.;Simonelli, I.;Ivanova, I. D.;Colabufo, N. A.;Zuin, M.;Benussi, L.;Binetti, G.;Cassetta, E.;Rongioletti, M.;Siotto, M.",2018,Jan,https://dx.doi.org/10.1016/j.jtemb.2017.11.005,0,0,
