record_id,title,abstract,keywords,authors,year,date,doi,label_included
1,15. Internationale Konferenz über menschliche Retroviren: HTLV und verwandte Viren,Das Proceeding umfasst 253 Beiträge. Zu den diskutierten Themen gehören: verändertes CD4+/CD8+-T-Zell-Verhältnis in Splenozyten des humanen T-Zell-Leukämievirus Typ I bei transgenen Mäusen mit entzündlicher Arthropathie; virale Expression lenkt das Schicksal von B-Zellen in BLV-infizierten Schafen; tet-induzierbares Lymphom in einem neuen steuerlich transgenen Mausmodell; Rinderimmunschwächevirus als potenzierender Cofaktor für die experimentelle Rinderleukämievirusinfektion bei Schafen; Rinder-MHC-Klasse-II-DR-Molekül spielt eine Schlüsselrolle bei Rinderleukämievirus (BLV)-induziertem Lymphom; vergleichende proteomische Analyse von Krebsstammzellen in einem Tax-transgenen (Tax-Tg) Mausmodell von adulter T-Zell-Leukämie/Lymphom; ein lebensattenuierter BLV-Deletant als Impfstoffkandidat zur Hemmung der Virusübertragung in Rinderherden; und Hochdurchsatz-Sequenzierung enthüllt neue microRNAs im bovinen Leukämie-Virus (blv)-induzierten Schaf-Leukämie-Modell.,,,2011.0,,,0
2,"102. Jahrestagung der American Association of Immunologists, IMMUNOLOGY 2015","Die Proceedings umfassen 1758 Aufsätze. Zu den diskutierten Themen gehören: De-novo-Erkennung und HLA-Assoziation öffentlicher T-Zell-Antworten auf Cytomegalovirus unter Verwendung von Hochdurchsatz-Immunrepertoire-Sequenzierung; die Aufhebung der CD59-Funktion stellt die Aktivitäten von neutralisierenden und nicht-neutralisierenden Antikörpern beim Auslösen einer Antikörper-abhängigen Komplement-vermittelten Lyse von HIV-1-Virionen und Provirus-aktivierten latent infizierten Zellen wieder her; Bewertung des Knochenmarks bei einer Kuhpockenvirusinfektion bei Cynomolgus-Makaken; Glykosylphosphatidylinositolmangel schwächt die Produktion von infektiösem HIV-1 ab und macht die Virionen empfindlich gegenüber Komplementangriffen; und Wiederherstellung des Immunsystems, Aktivierung und Virusreservoirs in Darm-assoziiertem Lymphgewebe bei SIV-infizierten, langfristig nicht fortschreitenden chinesischen Rhesusaffen unter antiretroviraler Therapie.",,,2015.0,,,0
3,"Empfehlungen für eine standardisierte Avian Coronavirus (AvCoV)-Nomenklatur: Ergebnis der Diskussionen im Rahmen der COST-Aktion FA1207 der Europäischen Union: „Towards Control of Avian Coronaviruses: Strategies for Vaccination, Diagnosis and Surveillance“","Viren innerhalb der Coronaviridae-Familie weisen Variationen innerhalb ihrer Genomsequenzen auf, insbesondere innerhalb des Hauptstrukturproteins, des Spike (S)-Glykoprotein-Gens. Daher existieren weltweit viele verschiedene antigene Formen, Serotypen oder Variantenstämme von Vogel-Coronaviren (AvCoV). Nur wenige von ihnen, die sogenannten Protektortypen, schützen gegen verschiedene Serotypen. Neue Serotypen entstehen durch Rekombination oder spontane Mutationen. Von Zeit zu Zeit treten antigene Virusvarianten auf, die sich signifikant von bekannten Serotypen unterscheiden. Das Ergebnis dieser Variabilität ist eine uneinheitliche Nomenklatur und Klassifikation von Virusstämmen. Darüber hinaus sind derzeit keine einheitlichen Klassifizierungsmethoden definiert. Im Rahmen der COST Action FA1207 „Towards control of avian coronaviruses: Strategies for Diagnostic, Surveillance, and Vakzination“ (Arbeitsgruppen „Molekulare Virologie“ und „Epidemiologie“) haben wir uns zum Ziel gesetzt, eine einheitliche und international standardisierte Nomenklatur zu definieren und zu entwickeln Klassifizierung von AvCoVs. Wir empfehlen die Verwendung von „CoV-Genus/AvCov/Host/Land/Proben-ID/Jahr“, um auf AvCoV-Stämme zu verweisen.",,,2016.0,,10.1637/0005-2086-60.2.411,0
4,Erste Genomsequenz des Virus der Newcastle-Krankheit vom Genotyp VIII aus Jordanien,"Das Virus der Newcastle-Krankheit (NDV) wurde durch Reverse-Transkriptase-PCR (RT-PCR) aus Gesamt-RNA nachgewiesen, die aus einer Hühnermilz einer Hinterhofherde in Jordanien isoliert wurde. Die vollständige codierende Genomsequenz von NDV/Huhn/Jordan/J11-Milz/2018 wurde mit MiSeq (Illumina)-Sequenzierung erhalten. Die phylogenetische Analyse der verketteten kodierenden Sequenzen klassifizierte das Virus als Subgenotyp VIIi der Klasse II.",,"Ababneh, M.;Ferreira, H. L.;Khalifeh, M.;Suarez, D. L.;Afonso, C. L.",2018.0,,10.1128/mra.01136-18,0
5,"Genotypisierung der Isolate des Rinderleukämievirus, die im Stawropol-Gebiet zirkulieren","Das auf dem Territorium des Stawropol-Territoriums Russlands zirkulierende Rinderleukämievirus (BLV) wird gemäß der modernen Klassifikation der Unterartenzugehörigkeit charakterisiert. Provirale Desoxyribonukleinsäure (DNA) von BLV wurde aus dem peripheren Blut von Tieren abgetrennt, die auf natürliche Weise mit diesem Virus infiziert waren. Die anschließende Amplifikation, Sequenzierung und phylogenetische Analyse eines Fragments des env-Gens mit der Länge von 444 Nukleotidpaaren (pn) ermöglichte es, die untersuchten Isolate den Genotypen 4 und 6 zuzuordnen. Außerdem haben wir das lokalisierte BLV-Isolat herausgetrennt abgesehen von Anhäufungen von Isolaten aller acht bekannten Genotypen, was eine Einstufung als atypisch ermöglichte. Im Laufe der Sequenzierung eines Abschnitts des env-Gens von BLV-Provirus-Isolaten, die in diesem Bereich abgetrennt wurden, wurde das Vorhandensein von 31 Punktmutationen im untersuchten Locus nachgewiesen, von denen 11 signifikant sind: 2 Transversionen und 9 Transitionen.",,"Abakin, S. S.;Krasovskaya, T. L.;Surgikova, E. S.;Gendzhieva, O. B.",2016.0,,,0
6,"Identifizierung und phylogenetische Analyse von Schafspocken während eines Ausbruchs von Schafen im Gouvernement Sharkia, Ägypten","Das Schafpockenvirus (SPPV) ist eine der gelisteten und meldepflichtigen Krankheiten, die die Schafproduktion mit erheblichen Auswirkungen auf den Handel mit neuen Schafrassen beeinträchtigen. Diese Studie wurde durchgeführt, um Schafpocken mithilfe von Zellkultur, Elektronenmikroskop (EM) und offenem Leserahmen (ORF) 103-Gen während eines Ausbruchs der lokalen Schafrasse zu identifizieren, der im April 2017 im Gouvernement Sharia, Ägypten, auftrat. Betroffene erwachsene Schafe zeigten typische Hautpockenläsion im Gesicht, an der Innenseite der Lippen, an der Innenseite des Oberschenkels und unter dem Schwanz. Die Inzidenzrate der Infektion lag bei 23,5 % und die Sterblichkeitsrate bei jungen Lämmern im Alter von 3 bis 6 Monaten bei 8,2 %. Dreiundvierzig Schorf- und Gewebeproben von klinisch erkrankten erwachsenen Schafen und toten Lämmern wurden gesammelt und auf Vero-Zellen kultiviert. Der zytopathische Effekt (CPE) wurde innerhalb von 3 bis 7 Tagen in 40 Proben beobachtet. Ein typisches Pockenvirus hatte eine ziegelartige Form mit runden Enden bei negativer Färbung von EM und eine eiförmige Struktur mit einem hantelförmigen DNA-Kern mit konkaven Körperseiten bei positiver Färbung von EM. Durch herkömmliche PCR unter Verwendung des ORF103-Gens wurden Banden von etwa 570 bp bezogen auf SPPV erhalten. Das Sequenz-Amplikon wurde von NCBI-BLAST analysiert und in der GeneBank unter der Zugangsnummer MG873537 registriert, und es wurde ein phylogenetischer Stammbaum erstellt, der zeigte, dass der isolierte SPPV-Stamm anderen in Ägypten, Indien, China und den USA isolierten SPPV-Stämmen ähnelte. Schließlich gelten sowohl EM als auch PCR als empfindliche, schnelle und leistungsstarke Methoden zur Identifizierung von SPPV aus Gewebe- und Schorfproben ohne die Notwendigkeit einer weiteren Kultur zusätzlich zur nützlichen und einfachen Verwendung des ORF103-Gens zur Unterscheidung von SPPV von anderen Capripoxviren .",,"Abd-Elfatah, E. B.;El-Mekkawi, M. F.;Bastawecy, I. M.;Fawzi, E. M.",2018.0,,10.4238/gmr16039901,0
7,Isolierung und molekulare Charakterisierung neuartiger Virusvarianten der infektiösen Bronchitis aus geimpften Broilerherden in Ägypten,"Die vorliegende Studie zielte darauf ab, die molekularen Eigenschaften zirkulierender Stämme des infektiösen Bronchitisvirus (IBV) in geimpften Broilerherden in den Gouvernements Gizeh und Fayoum zu bestimmen. Vierunddreißig Isolate wurden gesammelt, und die Eivermehrung zeigte ihre Fähigkeit, nach drei bis fünf aufeinanderfolgenden Passagen typische IBV-Läsionen zu induzieren. Drei ausgewählte Isolate wurden mithilfe eines Echtzeit-Reverse-Transkriptase-PCR-Assays, der auf das Nukleokapsid (N)-Gen abzielte, als IBV identifiziert und durch partielle Spike (S)-Gensequenzanalyse weiter charakterisiert. Die phylogenetische Analyse ergab ihre Gruppierung in zwei Variantengruppen. Gruppe I bestand aus einer Variante (VSVRI_F3), die 99,1 % Nukleotidsequenzidentität mit dem Q1-Referenzstamm aufwies. Gruppe II bestand aus den Varianten VSVRI_G4 und VSVRI_G9, die eine Nukleotididentität von 92,8 % bis 94,3 % mit den ägyptischen Varianten Eg/12120S/2012, Eg/12197B/2012 und Eg/1265B/2012 aufwiesen. Hinsichtlich der abgeleiteten Aminosäuresequenz hatten die drei Varianten eine Ähnlichkeit von 77,1 % bis 85,2 % mit den derzeit in Ägypten verwendeten Impfstämmen. Diese Ergebnisse unterstreichen die Bedeutung der Überwachung der Prävalenz von IBV-Varianten in geimpften Masthähnchenbeständen sowie der Annahme einer geeigneten Impfstrategie.",,"Abdel-Sabour, M. A.;Al-Ebshahy, E. M.;Khaliel, S. A.;Abdel-Wanis, N. A.;Yanai, T.",2017.0,,10.1637/11566-121516-RegR,0
8,Retrotransponierbare Elemente auf dem W-Chromosom der Seidenraupe Bombyx mori,"Die Geschlechtschromosomen der Seidenraupe Bombyxmori werden für Weibchen mit ZW(XY) und für Männchen mit ZZ(XX) bezeichnet. Das W-Chromosom von B. mori rekombiniert nicht mit dem Z-Chromosom und den Autosomen, und es wurden noch keine Gene für morphologische Merkmale auf dem W-Chromosom kartiert. Darüber hinaus wird die Weiblichkeit durch das Vorhandensein eines einzelnen W-Chromosoms bestimmt, unabhängig von der Anzahl der Autosomen oder Z-Chromosomen. Um diese interessanten Merkmale des W-Chromosoms zu verstehen, ist es notwendig, das W-Chromosom auf molekularbiologischer Ebene zu analysieren. Um zunächst für das W-Chromosom spezifische DNA-Sequenzen als zufällig amplifizierte polymorphe DNA (RAPD)-Marker zu isolieren, verglichen wir die genomischen DNAs zwischen Männchen und Weibchen durch PCR mit willkürlichen 10-mer-Primern. Bis heute haben wir 12 W-spezifische RAPD-Marker identifiziert, und mit Ausnahme eines RAPD-Markers zeigen alle abgeleiteten Aminosäuresequenzen dieser W-spezifischen RAPD-Marker Ähnlichkeit mit zuvor berichteten Aminosäuresequenzen von retrotransponierbaren Elementen aus verschiedenen Organismen. Nach dem Aufbau einer genomischen DNA-Lambda-Phagenbibliothek von B. mori erhielten wir zwei Lambda-Phagenklone, einen mit der W-Kabuki-RAPD-Sequenz und einen mit der W-Samurai-RAPD-Sequenz, und fanden heraus, dass diese DNA-Sequenzen verschachtelte Strukturen vieler retrotransponierbarer Elemente umfassten. Um das W-Chromosom weiter zu analysieren, erhielten wir 14 W-spezifische bakterielle künstliche Chromosomen (BAC)-Klone aus drei BAC-Bibliotheken und unterzogen diese Klone einer Shotgun-Sequenzierung. Der resultierende Zusammenbau von Sequenzen erzeugte aufgrund des Vorhandenseins vieler retrotransponierbarer Elemente keine einzige zusammenhängende Sequenz. Daher haben wir die PCR mit der Shotgun-Sequenzierung gekoppelt. Durch diese Analysen fanden wir heraus, dass sich viele Long Terminal Repeat (LTR) und Nicht-LTR-Retrotransposons, Retroposons, DNA-Transposons und ihre Derivate auf dem W-Chromosom als Strata angesammelt haben. Diese Ergebnisse weisen stark darauf hin, dass retrotransponierbare Elemente die strukturelle Hauptkomponente des W-Chromosoms sind.",,"Abe, H.;Mita, K.;Yasukochi, Y.;Oshiki, T.;Shimada, T.",2005.0,,,0
9,Eine neuartige Sapelovirus-ähnliche Virusisolation aus Wildschweinen,"Ein neuartiges Sapelovirus-ähnliches Virus wurde aus einem Wildschwein (Sus scrofa) isoliert. In dieser Studie wurden partielle virale genomische Nukleotidsequenzen unter Verwendung des Schnellbestimmungssystems für virale Nukleinsäuresequenzen (RDV) Ver. 3.1, das wir kürzlich für die Entdeckung neuartiger Viren entwickelt haben. Die phylogenetische Analyse der VP1- und 3A-Proteine und ihrer codierenden Nukleotidsequenzen von Enteroviren und Sapeloviren zeigte, dass das isolierte Virus eng mit dem porcinen Sapelovirus verwandt war. RT-PCR wies virale Sequenzen in sechs von 48 Wildschweinkotproben nach. © 2011 Springer Science+Business Media, LLC.",,"Abe, M.;Ito, N.;Sakai, K.;Kaku, Y.;Oba, M.;Nishimura, M.;Kurane, I.;Saijo, M.;Morikawa, S.;Sugiyama, M.;Mizutani, T.",2011.0,,10.1007/s11262-011-0628-2,0
10,Genomische und Einzelnukleotid-Polymorphismus-Analyse des infektiösen Bronchitis-Coronavirus,"Das Infektiöse Bronchitis-Virus (IBV) ist ein Gammacoronavirus, das bei Hühnern eine hochansteckende Atemwegserkrankung auslöst. Ein QX-ähnlicher Stamm wurde durch Hochdurchsatz-Illumina-Sequenzierung analysiert, und die genetische Variation über das gesamte virale Genom wurde auf Sub-Konsensus-Ebene durch Einzelnukleotid-Polymorphismus (SNP)-Analyse untersucht. Dreizehn offene Leserahmen (ORFs) in der Reihenfolge 5'-UTR-1a-1ab-S-3a-3b-EM-4b-4c-5a-5b-N-6b-3'UTR wurden vorhergesagt. Die relativen Häufigkeiten von missense: stillen SNPs wurden berechnet, um ein vergleichendes Maß für die Variabilität in spezifischen Genen zu erhalten. Die variabelsten ORFs in absteigender Reihenfolge waren E, 3b, 5'UTR, N, 1a, S, 1ab, M, 4c, 5a, 6b. Die E- und 3b-Proteinprodukte spielen eine Schlüsselrolle bei der Virulenz des Coronavirus, und die RNA-Faltung zeigte, dass die Mutationen in der 5'UTR die vorhergesagte Sekundärstruktur nicht veränderten. Die Häufigkeit von SNPs im ORF des Spike (S)-Proteins lag mit 0,67 % unter dem genomischen Durchschnitt von 0,76 %. Nur drei SNPS wurden in der S1-Untereinheit identifiziert, von denen keines in der hypervariablen Region (HVR) 1 oder HVR2 lokalisiert war. Die S2-Untereinheit war erheblich variabler und enthielt 87 % der Polymorphismen, die über das gesamte S-Protein nachgewiesen wurden. Die S2-Untereinheit enthielt auch eine zuvor nicht gemeldete Multi-A-Insertionsstelle und einen Abschnitt von vier aufeinanderfolgenden mutierten Aminosäuren, die der Stielregion des Spike-Proteins zugeordnet waren. Template-basierte Proteinstrukturmodellierung führte zum ersten theoretischen Modell des IBV-Spike-Monomers. Angesichts des auf Subkonsensusebene beobachteten Mangels an Diversität wird der Grundsatz, dass die HVRs in der S1-Untereinheit sehr tolerant gegenüber durch genetische Drift verursachten Aminosäureänderungen sind, in Frage gestellt.",,"Abolnik, C.",2015.0,,10.1016/j.meegid.2015.03.033,0
