record_id,title,abstract,keywords,authors,year,date,doi,label_included
1,15ª Conferencia Internacional sobre Retrovirus Humanos: HTLV y Virus Relacionados,Las actas contienen 253 papeles. Los temas discutidos incluyen: relación alterada de células T CD4+/CD8+ en esplenocitos del virus de la leucemia de células T humana tipo I en ratones transgénicos tax con artropatía inflamatoria; la expresión viral dirige el destino de las células B en ovejas infectadas con BLV; linfoma inducible por tet en un nuevo modelo de ratón transgénico fiscal; el virus de la inmunodeficiencia bovina como cofactor potenciador de la infección experimental por el virus de la leucemia bovina en ovinos; la molécula DR de MHC de clase II bovina desempeña un papel clave en el linfoma inducido por el virus de la leucemia bovina (BLV); análisis proteómico comparativo de células madre cancerosas en un modelo de ratón transgénico fiscal (Tax-Tg) de leucemia/linfoma de células T adultas; un eliminador de BLV atenuado por la vida como vacuna candidata para inhibir la transmisión viral en rebaños bovinos; y la secuenciación de alto rendimiento revela nuevos microARN en el modelo ovino de leucemia inducida por el virus de la leucemia bovina (blv).,,,2011.0,,,0
2,"102a Reunión Anual de la Asociación Americana de Inmunólogos, INMUNOLOGÍA 2015","Las actas contienen 1758 papeles. Los temas discutidos incluyen: detección de novo y asociación HLA de respuestas de células T públicas al citomegalovirus usando secuenciación de repertorio inmunológico de alto rendimiento; la anulación de la función de CD59 restablece las actividades de los anticuerpos neutralizantes y no neutralizantes al desencadenar la lisis mediada por complemento dependiente de anticuerpos de viriones de VIH-1 y células infectadas latentemente activadas por provirus; evaluación de la médula ósea en la infección por virus de la viruela bovina en macacos cynomolgus; la deficiencia de glicosilfosfatidilinositol atenúa la producción de VIH-1 infeccioso y vuelve a los viriones sensibles al ataque del complemento; y restauración inmunológica, activación y reservorios virales en el tejido linfoide asociado al intestino en macacos rhesus chinos no progresivos infectados con SIV a largo plazo en terapia antirretroviral.",,,2015.0,,,0
3,"Recomendaciones para una nomenclatura estandarizada del coronavirus aviar (AvCoV): resultado de los debates en el marco de la acción COST FA1207 de la Unión Europea: ""Hacia el control de los coronavirus aviares: estrategias de vacunación, diagnóstico y vigilancia""","Los virus dentro de la familia Coronaviridae muestran variaciones dentro de sus secuencias genómicas, especialmente dentro de la principal proteína estructural, el gen de la glicoproteína Spike (S). Por lo tanto, existen muchas formas antigénicas, serotipos o cepas variantes de coronavirus aviares (AvCoV) en todo el mundo. Sólo unos pocos de ellos, los llamados protectotipos, brindan protección cruzada frente a diferentes serotipos. Los nuevos serotipos surgen por recombinación o mutaciones espontáneas. De vez en cuando, aparecen variantes de virus antigénicos que difieren significativamente de los serotipos conocidos. El resultado de esta variabilidad es una nomenclatura y clasificación inconsistentes de las cepas de virus. Además, actualmente no existen métodos de clasificación estándar definidos. En el marco de la Acción COST FA1207 ""Hacia el control de los coronavirus aviares: estrategias de diagnóstico, vigilancia y vacunación"" (grupos de trabajo ""Virología molecular"" y ""Epidemiología""), nos propusimos definir y desarrollar una nomenclatura unificada y estandarizada internacionalmente y clasificación de los AvCoV. Recomendamos el uso de ""CoV Genus/AvCov/host/country/specimen id/year"" para referirse a las cepas de AvCoV.",,,2016.0,,10.1637/0005-2086-60.2.411,0
4,Primera secuenciación del genoma del virus de la enfermedad de Newcastle de Genotipo VIII de Jordania,El virus de la enfermedad de Newcastle (NDV) se detectó mediante PCR con transcriptasa inversa (RT-PCR) a partir de ARN total aislado del bazo de un pollo de una parvada de traspatio en Jordania. La secuencia completa del genoma codificante de NDV/chicken/Jordan/J11-spleen/ 2018 se obtuvo con secuenciación MiSeq (Illumina). El análisis filogenético de las secuencias de codificación concatenadas clasificó el virus como clase II subgenotipo VIIi.,,"Ababneh, M.;Ferreira, H. L.;Khalifeh, M.;Suarez, D. L.;Afonso, C. L.",2018.0,,10.1128/mra.01136-18,0
5,"Genotipificación de los aislamientos del virus de la leucemia bovina, que circulan en el territorio de stavropol","El virus de la leucemia bovina (BLV) que circula en el territorio de Stavropol Territorio de Rusia se caracteriza de acuerdo con la clasificación moderna de miembros de subespecies. El ácido desoxirribonucleico (ADN) proviral de BLV se ha separado de la sangre periférica de animales que se habían infectado de forma natural con este virus. La posterior amplificación, secuenciación y análisis filogenético de un fragmento del gen env con una longitud de 444 pares de nucleótidos (pn) permitió clasificar los aislados estudiados en los genotipos 4 y 6. Además, hemos separado el aislado de BLV situado además de clusters de aislamientos de los ocho genotipos conocidos, lo que permitió clasificarlo como atípico. En el transcurso de la secuenciación de una sección del gen env de aislados del provirus BLV separados en esta zona, se ha detectado la presencia de 31 mutaciones puntuales en el locus estudiado, siendo 11 de ellas significativas: 2 transversiones y 9 transiciones.",,"Abakin, S. S.;Krasovskaya, T. L.;Surgikova, E. S.;Gendzhieva, O. B.",2016.0,,,0
6,"Identificación y análisis filogenético de la viruela ovina durante un brote en ovejas en la gobernación de Sharkia, Egipto","El virus de la viruela ovina (SPPV) es una de las enfermedades enumeradas y de declaración obligatoria que afectan a la producción ovina con un efecto importante en el comercio de nuevas razas de ovejas. Este estudio se realizó para identificar la viruela ovina mediante el uso de cultivo celular, microscopio electrónico (EM) y el gen 103 del marco de lectura abierto (ORF) durante un brote de una raza local de ovejas ocurrido en la gobernación de Sharkia, Egipto, en abril de 2017. Las ovejas adultas afectadas mostraron lesión de viruela en la piel de la cara, cara interna de los labios, cara interna del muslo y debajo de la cola. La tasa de incidencia de infección fue del 23,5% y la tasa de mortalidad en corderos jóvenes de 3 a 6 meses de edad fue del 8,2%. Se recogieron cuarenta y tres costras y muestras de tejido de ovejas adultas clínicamente enfermas y corderos muertos y se sometieron a cultivo en células Vero. El efecto citopático (CPE) se observó entre 3 y 7 días en 40 muestras. Un Poxvirus típico tenía forma de ladrillo con extremos redondos por tinción negativa de EM y una estructura similar a un ovoide con un núcleo de ADN en forma de campana con lados de cuerpos cóncavos por tinción positiva de EM. Mediante PCR convencional utilizando el gen ORF103 se obtuvieron bandas de alrededor de 570 pb referidas a SPPV. El amplicón de secuencia se analizó mediante NCBI-BLAST y se registró en GeneBank con el número de acceso MG873537 y se diseñó un árbol filogenético que reveló que la cepa aislada de SPPV se parecía a otras cepas de SPPV aisladas en Egipto, India, China y EE. UU. Por último, tanto la EM como la PCR se consideran métodos sensibles, rápidos y potentes para identificar el SPPV a partir de muestras de tejido y costras sin necesidad de realizar más cultivos, además del uso útil y sencillo del gen ORF103 para diferenciar el SPPV de otros Capripoxvirus. .",,"Abd-Elfatah, E. B.;El-Mekkawi, M. F.;Bastawecy, I. M.;Fawzi, E. M.",2018.0,,10.4238/gmr16039901,0
7,Aislamiento y caracterización molecular de nuevas variantes del virus de la bronquitis infecciosa de parvadas de pollos vacunados en Egipto,"El presente estudio tuvo como objetivo determinar las características moleculares de las cepas circulantes del virus de la bronquitis infecciosa (IBV) en parvadas de pollos vacunados en las gobernaciones de Giza y Fayoum. Se recolectaron treinta y cuatro aislamientos y la propagación de huevos reveló su capacidad para inducir lesiones típicas de IBV después de tres a cinco pases sucesivos. Tres aislamientos seleccionados se identificaron como IBV utilizando un ensayo de PCR con transcriptasa inversa en tiempo real dirigido al gen de la nucleocápside (N) y se caracterizaron además mediante un análisis de secuencia del gen de pico parcial (S). El análisis filogenético reveló su agrupación en dos grupos de variantes. El grupo I constaba de una variante (VSVRI_F3), que tenía una identidad de secuencia de nucleótidos del 99,1 % con la cepa de referencia Q1. El grupo II constaba de las variantes VSVRI_G4 y VSVRI_G9, que mostraban una identidad de nucleótidos del 92,8 % al 94,3 % con las variantes egipcias Eg/12120S/2012, Eg/12197B/2012 y Eg/1265B/2012. Con respecto a la secuencia de aminoácidos deducida, las tres variantes tenían una similitud del 77,1 % al 85,2 % con las cepas vacunales actualmente utilizadas en Egipto. Estos hallazgos resaltan la importancia de monitorear la prevalencia de variantes de IBV en parvadas de pollos de engorde vacunadas, así como de adoptar una estrategia de vacunación adecuada.",,"Abdel-Sabour, M. A.;Al-Ebshahy, E. M.;Khaliel, S. A.;Abdel-Wanis, N. A.;Yanai, T.",2017.0,,10.1637/11566-121516-RegR,0
8,"Elementos retrotransponibles en el cromosoma W del gusano de seda, Bombyx mori","Los cromosomas sexuales del gusano de seda, Bombyxmori, se denominan ZW(XY) para las hembras y ZZ(XX) para los machos. El cromosoma W de B. mori no se recombina con el cromosoma Z y los autosomas y aún no se han mapeado genes para caracteres morfológicos en el cromosoma W. Además, la feminidad está determinada por la presencia de un solo cromosoma W, independientemente del número de autosomas o cromosomas Z. Para comprender estas interesantes características del cromosoma W, es necesario analizar el cromosoma W a nivel de biología molecular. Inicialmente, para aislar secuencias de ADN específicas para el cromosoma W como marcadores de ADN polimórfico amplificado aleatoriamente (RAPD), comparamos los ADN genómicos entre machos y hembras mediante PCR con cebadores arbitrarios de 10 mer. Hasta el momento, hemos identificado 12 marcadores RAPD específicos de W y, con la excepción de un marcador RAPD, todas las secuencias de aminoácidos deducidas de estos marcadores RAPD específicos de W muestran similitud con las secuencias de aminoácidos informadas anteriormente de elementos retrotransponibles de varios organismos Después de construir una biblioteca de fagos lambda de ADN genómico de B. mori, obtuvimos dos clones de fagos lambda, uno que contenía la secuencia W-Kabuki RAPD y otro que contenía la secuencia W-Samurai RAPD y descubrimos que estas secuencias de ADN comprendían estructuras anidadas de muchos elementos retrotransponibles. Para analizar más a fondo el cromosoma W, obtuvimos 14 clones de cromosomas artificiales bacterianos (BAC) específicos de W de tres bibliotecas BAC y sometimos estos clones a secuenciación de escopeta. El ensamblaje de secuencias resultante no produjo una sola secuencia contigua debido a la presencia de muchos elementos retrotransponibles. Por lo tanto, acoplamos PCR con secuenciación de escopeta. A través de estos análisis, encontramos que muchos retrotransposones, retroposones, transposones de ADN y sus derivados repetidos terminales largos (LTR) y no LTR se han acumulado en el cromosoma W como estratos. Estos resultados indican claramente que los elementos retrotransponibles son el principal componente estructural del cromosoma W.",,"Abe, H.;Mita, K.;Yasukochi, Y.;Oshiki, T.;Shimada, T.",2005.0,,,0
9,Un nuevo aislamiento de virus similar a sapelovirus de jabalí,"Se aisló un nuevo virus similar al sapelovirus de un jabalí (Sus scrofa). En este estudio, las secuencias de nucleótidos genómicos virales parciales se determinaron utilizando el sistema de determinación rápida de secuencias de ácidos nucleicos virales (RDV) ver. 3.1, que desarrollamos recientemente para descubrir nuevos virus. El análisis filogenético de las proteínas VP1 y 3A y sus secuencias de nucleótidos codificantes de enterovirus y sapelovirus indicó que el virus aislado estaba estrechamente relacionado con el sapelovirus porcino. La RT-PCR detectó secuencias virales en seis de 48 muestras fecales de jabalí. © 2011 Springer Science+Business Media, LLC.",,"Abe, M.;Ito, N.;Sakai, K.;Kaku, Y.;Oba, M.;Nishimura, M.;Kurane, I.;Saijo, M.;Morikawa, S.;Sugiyama, M.;Mizutani, T.",2011.0,,10.1007/s11262-011-0628-2,0
10,Análisis genómico y de polimorfismo de un solo nucleótido del coronavirus de la bronquitis infecciosa,"El virus de la bronquitis infecciosa (IBV) es un Gammacoronavirus que causa una enfermedad respiratoria altamente contagiosa en los pollos. Se analizó una cepa similar a QX mediante secuenciación Illumina de alto rendimiento y se exploró la variación genética en todo el genoma viral a nivel de subconsenso mediante análisis de polimorfismo de nucleótido único (SNP). Se predijeron trece marcos de lectura abiertos (ORF) en el orden 5'-UTR-1a-1ab-S-3a-3b-EM-4b-4c-5a-5b-N-6b-3'UTR. Las frecuencias relativas de missense: SNP silenciosos se calcularon para obtener una medida comparativa de la variabilidad en genes específicos. Los ORF más variables en orden descendente fueron E, 3b, 5'UTR, N, 1a, S, 1ab, M, 4c, 5a, 6b. Los productos de proteína E y 3b desempeñan un papel clave en la virulencia del coronavirus, y el plegamiento del ARN demostró que las mutaciones en 5'UTR no alteraron la estructura secundaria predicha. La frecuencia de SNP en el ORF de la proteína Spike (S) de 0,67 % estuvo por debajo del promedio genómico de 0,76 %. Solo se identificaron tres SNPS en la subunidad S1, ninguno de los cuales estaba ubicado en la región hipervariable (HVR) 1 o HVR2. La subunidad S2 fue considerablemente más variable y contenía el 87 % de los polimorfismos detectados en toda la proteína S. La subunidad S2 también contenía un sitio de inserción multi-A no informado anteriormente y un tramo de cuatro aminoácidos mutados consecutivos, que se mapearon en la región del tallo de la proteína espiga. El modelado de la estructura de proteínas basado en plantillas produjo el primer modelo teórico del monómero de pico de IBV. Dada la falta de diversidad observada en el nivel de subconsenso, se cuestiona el principio de que los HVR en la subunidad S1 son muy tolerantes a los cambios de aminoácidos producidos por la deriva genética.",,"Abolnik, C.",2015.0,,10.1016/j.meegid.2015.03.033,0
