record_id,title,abstract,keywords,authors,year,date,doi,label_included
1,15. Uluslararası İnsan Retrovirüsleri Konferansı: HTLV ve İlgili Virüsler,"Duruşmada 253 kağıt var. Tartışılan konular şunları içerir: inflamatuar artropatili insan T-hücresi lösemi virüsü tip I vergi transgenik farelerinin splenositlerinde CD4+/CD8+ T-hücre oranı; viral ekspresyon, BLV ile enfekte koyunlarda B hücrelerinin kaderini yönlendirir; yeni bir vergi transgenik fare modelinde tet ile indüklenebilir lenfoma; koyunlarda deneysel sığır lösemi virüsü enfeksiyonu için güçlendirici bir kofaktör olarak sığır immün yetmezlik virüsü; bovine MHC sınıf II DR molekülü bovine lösemi virüsünün (BLV) indüklediği lenfomada önemli bir rol oynar; yetişkin T hücreli lösemi/lenfoma ait bir vergi-transgenik (Tax-Tg) fare modelinde kanser kök hücrelerinin karşılaştırmalı proteomik analizi; sığır sürülerinde viral bulaşmayı inhibe etmeye aday bir aşı olarak ömrü azaltılmış bir BLV deletantı; ve yüksek verimli dizileme, sığır lösemi virüsü (blv) ile indüklenen küçükbaş hayvan lösemi modelinde yeni mikroRNA'ları ortaya çıkarır.",,,2011.0,,,0
2,"Amerikan İmmünolog Derneği'nin 102. Yıllık Toplantısı, İMMUNOLOJİ 2015","İşlemler 1758 kağıt içeriyor. Tartışılan konular şunları içerir: yüksek verimli immün repertuar dizilimi kullanılarak sitomegalovirüse karşı kamu t hücresi tepkilerinin de novo tespiti ve HLA-ilişkisi; CD59 fonksiyonunun ortadan kaldırılması, HIV-1 viryonlarının ve provirüs ile aktive olan latent olarak enfekte olmuş hücrelerin antikora bağlı kompleman aracılı lizizinin tetiklenmesinde nötralize edici ve nötralize edici olmayan antikorların aktivitelerini eski haline getirir; sinomolgus makaklarında sığır çiçeği virüsü enfeksiyonunda kemik iliğinin değerlendirilmesi; glikosilfosfatidilinositol eksikliği, bulaşıcı HIV-1 üretimini zayıflatır ve viryonları tamamlayıcı saldırıya duyarlı hale getirir; ve antiretroviral tedavide SIV ile enfekte olmuş uzun süreli ilerlemeyen çin al yanaklı makaklarda bağırsakla ilişkili lenfoid dokuda bağışıklık restorasyonu, aktivasyonu ve viral rezervuarlar.",,,2015.0,,,0
3,"Standardize Edilmiş Avian Coronavirus (AvCoV) Adlandırması İçin Öneriler: Avrupa Birliği COST Eylemi FA1207 Çerçevesindeki Tartışmaların Sonuçları: ""Kuş Coronavirüslerinin Kontrolüne Doğru: Aşılama, Teşhis ve Gözetim Stratejileri""","Coronaviridae familyası içindeki virüsler, genom dizileri içinde, özellikle ana yapısal protein olan Spike (S) glikoprotein geni içinde varyasyonlar gösterir. Bu nedenle, dünya çapında kuş koronavirüslerinin (AvCoV) birçok farklı antijenik formu, serotipi veya varyant suşu mevcuttur. Bunlardan sadece birkaçı, sözde koruyucu tipler, farklı serotiplere karşı çapraz koruma sağlar. Yeni serotipler, rekombinasyon veya spontan mutasyonlarla ortaya çıkar. Zaman zaman, bilinen serotiplerden önemli ölçüde farklı olan antijenik virüs varyantları ortaya çıkar. Bu değişkenliğin sonucu, virüs suşlarının tutarsız bir isimlendirmesi ve sınıflandırmasıdır. Ayrıca, şu anda tanımlanmış standart bir sınıflandırma yöntemi bulunmamaktadır. COST Eylemi FA1207 ""Kuş koronavirüslerinin kontrolüne doğru: teşhis, gözetim ve aşılama stratejileri"" (""Moleküler viroloji"" ve ""Epidemiyoloji"" çalışma grupları) çerçevesinde, birleşik ve uluslararası standartlaştırılmış bir terminoloji tanımlamayı ve geliştirmeyi hedefledik. AvCoV'lerin sınıflandırılması. AvCoV suşlarına atıfta bulunmak için ""CoV Cinsi/AvCov/host/ülke/numune kimliği/yıl"" kullanılmasını öneririz.",,,2016.0,,10.1637/0005-2086-60.2.411,0
4,Ürdün'den Genotip VIII Newcastle hastalığı virüsünün ilk genom dizisi,"Newcastle hastalığı virüsü (NDV), Ürdün'deki bir arka bahçe sürüsünün tavuk dalağından izole edilen toplam RNA'dan ters transkriptaz PCR (RT-PCR) ile tespit edildi. NDV/tavuk/Jordan/J11-spleen/ 2018'in eksiksiz kodlama genom dizisi, MiSeq (Illumina) dizilimi ile elde edildi. Birleştirilmiş kodlama dizilerinin filogenetik analizi, virüsü sınıf II alt genotip VIIi olarak sınıflandırdı.",,"Ababneh, M.;Ferreira, H. L.;Khalifeh, M.;Suarez, D. L.;Afonso, C. L.",2018.0,,10.1128/mra.01136-18,0
5,Stavropol bölgesinde dolaşan sığır lösemi virüsü izolatlarının genotiplendirilmesi,"Rusya'nın Stavropol Bölgesi topraklarında dolaşan sığır lösemi virüsü (BLV), alt tür üyeliğinin modern sınıflandırmasına göre karakterize edilir. BLV'nin proviral deoksiribonükleik asidi (DNA), bu virüsle doğal olarak enfekte olmuş hayvanların periferik kanından ayrılmıştır. 444 çift nükleotit (pn) uzunluğundaki env-geninin bir parçasının daha sonraki amplifikasyonu, dizilenmesi ve filogenetik analizi, çalışılan izolatların genotip 4 ve 6 olarak sınıflandırılmasını mümkün kılmıştır. Bilinen sekiz genotipin tümünün izolat kümeleri dışında, bu da onu atipik olarak sınıflandırmayı mümkün kıldı. Bu alanda ayrılan BLV provirüs izolatlarının env geninin bir bölümünün dizilenmesi sırasında, incelenen lokusta 11'i anlamlı olmak üzere 31 nokta mutasyonun varlığı tespit edildi: 2 transversiyon ve 9 geçiş.",,"Abakin, S. S.;Krasovskaya, T. L.;Surgikova, E. S.;Gendzhieva, O. B.",2016.0,,,0
6,"Mısır, Sharkia vilayetinde bir koyun salgını sırasında koyun çiçeğinin tanımlanması ve filogenetik analizi","Sheeppox virüsü (SPPV), yeni cins koyun ticaretini büyük ölçüde etkileyen, koyun üretimini etkileyen listelenen ve bildirimi zorunlu hastalıklardan biridir. Bu çalışma, Nisan 2017'de Mısır'ın Sharkia Valiliği'nde yerel cins koyunlarda meydana gelen bir salgın sırasında hücre kültürü, elektron mikroskobu (EM) ve açık okuma çerçevesi (ORF) 103 geni kullanılarak koyun çiçeğini tanımlamak için yapılmıştır. yüzde, dudakların iç kısmında, uyluğun iç kısmında ve kuyruk altında deri çiçeği lezyonu. 3 ila 6 aylık genç kuzularda enfeksiyon insidansı %23.5 ve ölüm oranı %8.2 idi. Klinik olarak hastalıklı yetişkin koyunlardan ve ölü kuzulardan kırk üç kabuk ve doku örneği toplandı ve Vero hücresinde kültüre tabi tutuldu. Sitopatik etki (CPE), 40 numunede 3 ila 7 gün içinde gözlendi. Tipik bir Poxvirus, EM'nin negatif boyanmasıyla yuvarlak uçları olan tuğla benzeri bir şekil ve EM'nin pozitif boyanmasıyla içbükey gövdeli kenarları olan dambıl şeklindeki DNA çekirdeği ile oval benzeri yapıydı. ORF103 genini kullanan geleneksel PCR ve elde edilen yaklaşık 570 bp'lik bantlar ile SPPV'ye atıfta bulunulmuştur. Sekans amplikonu, NCBI-BLAST ile analiz edildi ve GeneBank'a N. MG873537 girişi altında kaydedildi ve izole edilmiş SPPV suşunun Mısır, Hindistan, Çin ve ABD'de izole edilen diğer SPPV suşlarına benzediğini ortaya koyan filogentik ağaç tasarlandı. Son olarak, hem EM hem de PCR, SPPV'yi diğer Capripox virüslerinden ayırt etmek için ORF103 geninin kullanışlı ve kolay kullanımına ek olarak, daha fazla kültüre ihtiyaç duymadan doku ve kabuk örneklerinden SPPV'yi tanımlamak için hassas, hızlı ve güçlü yöntemler olarak kabul edilir. .",,"Abd-Elfatah, E. B.;El-Mekkawi, M. F.;Bastawecy, I. M.;Fawzi, E. M.",2018.0,,10.4238/gmr16039901,0
7,Mısır'daki Aşılanmış Broyler Sürülerinden Yeni Enfeksiyöz Bronşit Virüsü Varyantlarının İzolasyonu ve Moleküler Karakterizasyonu,"Bu çalışma, Giza ve Fayoum illerinde aşılanmış etlik piliç sürülerinde dolaşan enfeksiyöz bronşit virüsü (IBV) suşlarının moleküler özelliklerini belirlemeyi amaçlamıştır. Otuz dört izolat toplandı ve yumurta yayılımı, üç ila beş ardışık geçişten sonra tipik IBV lezyonlarını indükleme yeteneklerini ortaya çıkardı. Seçilen üç izolat, nükleokapsid (N) genini hedef alan gerçek zamanlı bir ters transkriptaz-PCR testi kullanılarak IBV olarak tanımlandı ve ayrıca kısmi başak (S) gen dizisi analizi ile karakterize edildi. Filogenetik analiz, kümelenmelerini iki değişken grup halinde ortaya çıkardı. Grup I, Q1 referans suşuna %99,1 nükleotid dizi özdeşliğine sahip olan bir varyanttan (VSVRI_F3) oluşuyordu. Grup II, Mısır varyantları Eg/12120S/2012, Eg/12197B/2012 ve Eg/1265B/2012 ile %92.8-%94.3 nükleotid özdeşliği gösteren VSVRI_G4 ve VSVRI_G9 varyantlarından oluşuyordu. Çıkarsanan amino asit dizisi ile ilgili olarak, üç varyant, şu anda Mısır'da kullanılan aşı suşları ile %77.1-%85.2 benzerliğe sahipti. Bu bulgular, aşılanmış etlik piliç sürülerinde IBV varyantlarının prevalansının izlenmesinin yanı sıra uygun bir aşılama stratejisinin benimsenmesinin önemini vurgulamaktadır.",,"Abdel-Sabour, M. A.;Al-Ebshahy, E. M.;Khaliel, S. A.;Abdel-Wanis, N. A.;Yanai, T.",2017.0,,10.1637/11566-121516-RegR,0
8,"İpekböceğinin W kromozomundaki retrotransposable elementler, Bombyx mori","İpekböceği Bombyxmori'nin cinsiyet kromozomları, dişiler için ZW(XY) ve erkekler için ZZ(XX) olarak adlandırılır. B. mori'nin W kromozomu, Z kromozomu ve otozomlarla yeniden birleşmez ve morfolojik karakterler için hiçbir gen henüz W kromozomuna eşlenmemiştir. Ayrıca dişilik, otozomların veya Z kromozomlarının sayısından bağımsız olarak tek bir W kromozomunun varlığı ile belirlenir. W kromozomunun bu ilginç özelliklerini anlamak için W kromozomunu moleküler biyoloji düzeyinde analiz etmek gerekir. Başlangıçta W kromozomuna özgü DNA dizilerini rastgele amplifiye edilmiş polimorfik DNA (RAPD) markörleri olarak izole etmek için, PCR ile erkekler ve dişiler arasındaki genomik DNA'ları rastgele 10-mer primerleri ile karşılaştırdık. Şimdiye kadar, 12 W-spesifik RAPD markörü tanımladık ve bir RAPD markörü dışında, bu W-spesifik RAPD markörlerinin çıkarsanan amino asit dizilerinin tümü, çeşitli kaynaklardan geriye aktarılabilir elemanların önceden rapor edilmiş amino asit dizilerine benzerlik göstermektedir. organizmalar. B. mori'nin genomik bir DNA lambda faj kitaplığı oluşturduktan sonra, biri W-Kabuki RAPD dizisini içeren ve biri W-Samurai RAPD dizisini içeren iki lambda faj klonu elde ettik ve bu DNA dizilerinin, birçok retrotranspoze edilebilir elementin iç içe yapılarını içerdiğini bulduk. W kromozomunu daha fazla analiz etmek için, üç BAC kütüphanesinden 14 W'ye özgü bakteriyel yapay kromozom (BAC) klonu elde ettik ve bu klonları shotgun dizilimine tabi tuttuk. Ortaya çıkan dizilerin birleştirilmesi, birçok geriye aktarılabilir öğenin mevcudiyeti nedeniyle tek bir bitişik dizi üretmedi. Bu nedenle, PCR'yi av tüfeği dizilimi ile birleştirdik. Bu analizler sayesinde, birçok uzun terminal tekrar (LTR) ve LTR olmayan retrotranspozonların, retropozonların, DNA transpozonlarının ve bunların türevlerinin W kromozomu üzerinde tabaka olarak biriktiğini bulduk. Bu sonuçlar, retrotranspoze edilebilir elemanların W kromozomunun ana yapısal bileşeni olduğunu kuvvetle göstermektedir.",,"Abe, H.;Mita, K.;Yasukochi, Y.;Oshiki, T.;Shimada, T.",2005.0,,,0
9,Yaban domuzundan yeni bir sapelovirüs benzeri virüs izolasyonu,"Yeni bir sapelovirüs benzeri virüs, bir yaban domuzundan (Sus scrofa) izole edildi. Bu çalışmada, viral nükleik asit dizilerinin (RDV) ver hızlı belirleme sistemi kullanılarak kısmi viral genomik nükleotit dizileri belirlendi. Yeni virüsleri keşfetmek için yakın zamanda geliştirdiğimiz 3.1. VP1 ve 3A proteinlerinin ve bunların enterovirüslerin ve sapelovirüslerin kodlayan nükleotid dizilerinin filogenetik analizi, izole edilmiş virüsün domuz sapelovirüsü ile yakından ilişkili olduğunu gösterdi. RT-PCR, 48 yaban domuzu dışkı örneğinin altısında viral diziler saptadı. © 2011 Springer Science+Business Media, LLC.",,"Abe, M.;Ito, N.;Sakai, K.;Kaku, Y.;Oba, M.;Nishimura, M.;Kurane, I.;Saijo, M.;Morikawa, S.;Sugiyama, M.;Mizutani, T.",2011.0,,10.1007/s11262-011-0628-2,0
10,Enfeksiyöz bronşit koronavirüsünün genomik ve tek nükleotid polimorfizm analizi,"Enfeksiyöz bronşit virüsü (IBV), tavuklarda oldukça bulaşıcı bir solunum yolu hastalığına neden olan bir Gammakoronavirüstür. QX benzeri bir suş, yüksek verimli Illumina dizilimi ile analiz edildi ve tüm viral genom boyunca genetik çeşitlilik, tek nükleotid polimorfizmi (SNP) analizi ile alt konsensüs seviyesinde araştırıldı. 5'-UTR-1a-1ab-S-3a-3b-EM-4b-4c-5a-5b-N-6b-3'UTR sırasındaki on üç açık okuma çerçevesi (ORF'ler) tahmin edildi. Missense: sessiz SNP'lerin nispi frekansları, spesifik genlerdeki değişkenliğin karşılaştırmalı bir ölçüsünü elde etmek için hesaplandı. Azalan sırada en değişken ORF'ler E, 3b, 5'UTR, N, 1a, S, 1ab, M, 4c, 5a, 6b idi. E ve 3b protein ürünleri, koronavirüs virülansında kilit rol oynar ve RNA katlanması, 5'UTR'deki mutasyonların, öngörülen ikincil yapıyı değiştirmediğini göstermiştir. Spike (S) proteini ORF'sindeki %0,67'lik SNP'lerin sıklığı, %0,76'lık genomik ortalamanın altındaydı. S1 alt biriminde, hiçbiri hiperdeğişken bölge (HVR) 1 veya HVR2'de yer almayan yalnızca üç SNPS tanımlandı. S2 alt birimi, tüm S proteini boyunca tespit edilen polimorfizmlerin %87'sini içeren önemli ölçüde daha değişkendi. S2 alt birimi ayrıca daha önce bildirilmemiş bir multi-A yerleştirme bölgesini ve başak proteinin sap bölgesiyle eşlenen dört ardışık mutasyona uğramış amino asit dizisi içeriyordu. Şablon bazlı protein yapısı modellemesi, IBV spike monomerinin ilk teorik modelini üretti. Alt fikir birliği düzeyinde gözlemlenen çeşitlilik eksikliği göz önüne alındığında, S1 alt birimindeki HVR'lerin genetik sürüklenme tarafından üretilen amino asit değişikliklerine çok toleranslı olduğu ilkesi sorgulanmaktadır.",,"Abolnik, C.",2015.0,,10.1016/j.meegid.2015.03.033,0
