record_id,title,abstract,label_included,label_abstract_screening,duplicate_record_id
1,"Yatan tıbbi hastalarda tromboprofilaksi oranlarını artırmak için eczane güdümlü bir uyarı sisteminin prospektif, kontrollü bir denemesi.","Venöz tromboembolizm hastane içinde önemli bir morbidite ve mortalite nedeni olmasına rağmen, yatan risk altındaki hastaların önemli bir kısmı derin ven trombozu ve pulmoner emboli riskini azalttığı bilinen önlemleri almamaktadır. Bu çalışmanın amacı, genel dahiliye servisinde yatan risk altındaki hastalar arasında, olağan bakıma kıyasla, eczane güdümlü bir uyarı sisteminin, daha yüksek oranda yeterli venöz tromboembolizm önleme önlemleri ile ilişkili olup olmayacağını belirlemekti. Çalışma, üniversite temelli bir eğitim hastanesinde belirlenen ileriye dönük, kontrollü bir denemeydi. Katılımcılar, 19 Haziran ile 21 Eylül 2006 tarihleri arasında genel dahiliye yatan hasta servisine kabul edilen (Pazartesiden Cumaya) yetişkinlerdi. Tedavileri, venöz tromboembolizm riskinin eczacı tarafından değerlendirilmesini ve tedaviyi yapan hekime eczacı tarafından yönlendirilen bir uyarıyı içeriyordu. Başvurudan sonraki 36 saat içinde yeterli tromboprofilaksi alan risk altındaki hastaların oranı kaydedildi. Toplamda 140 hasta venöz tromboembolizmin dahil edilmesi için yeterli risk altındaydı. Olağan bakım grubunda, orta ila yüksek riskli 80 hastanın 49'u (%61) için profilaktik önlemler istendi. Eczacı uyarı grubunda, orta ila yüksek venöz tromboembolizm riski taşıyan 60 hastanın 44'ü (%73) yeterli tromboprofilaksi almıştır (P = 0.15). Gruplar arasında istatistiksel olarak anlamlı bir fark gözlemlememiş olsak da, sonuçlarımız uyarı sistemlerinin venöz tromboembolizmi önlemek için yeterli önlemleri alan hastanede yatan hastaların oranını artırabileceğini öne süren önceki raporlarla uyumludur.",0,1,
2,Periferik arter hastalığı olan hastalarda klinik eczane hizmetinin lipid kontrolüne etkisi.,"Amaç Grubumuz ve diğerleri, aksini belirten ulusal kılavuzlara rağmen, periferik arter hastalığı (PAD) olan hastaların genel kardiyovasküler risk faktörü yönetimi açısından önemli ölçüde yetersiz tedavi edildiğini daha önce belirlemişlerdir. PAH'lı hastalarımızda risk faktörü kontrolünü en üst düzeye çıkarmak amacıyla, PAH'lı hastalarda lipidlerin ayaktan tedavisine eczacı tarafından yönetilen, doktor tarafından izlenen bir algoritmik yaklaşım oluşturduk. Bu çalışmanın amacı, bu hizmetin PAH'lı hastalarda lipid taraması ve kontrolü üzerindeki etkisini belirlemekti. Yöntemler Yaklaşık 405.000 üyeye hizmet veren büyük, grup modelli, kar amacı gütmeyen bir bölgesel yönetimli bakım sisteminde tedavi edilen hastaların kayıtlarını analiz ettik. Elektronik tıbbi kayıt, tüm hastalar için tam muayene, laboratuvar ve eczane verileri sağladı. Lipid düşürücü ajanlar için reçeteleri belirlemek için eczane verileri analiz edildi. Lipid kontrolü, açlık lipid verileriyle değerlendirildi. Onaylanmış PAH'lı ve klinik koroner arter hastalığı (KAH) olmayan hastalara Mayıs 2003 ile Eylül 2004 arasında hizmet verilmiş ve en az 6 ay takip edilmiştir. Sonuçlar İdari olarak PAH tanısı olan 5159 aktif hasta belirledik. Bunlardan 1075'i invaziv olmayan bir arteriyel çalışma ile doğrulanabilir. KAH tanısı olan 384 hastanın dışlanması, 691 hastadan oluşan bir kohortla sonuçlandı. Bunlardan 90 hasta lipid servisine (çalışma grubu) alındı ve 601'i standart bakım aldı. Ortalama takip süresi 17.1 aydı. Tarama açlık lipid profilleri, çalışma grubundaki hastaların %95,6'sında (86/90) ve standart bakım hastalarının sadece %66,9'unda (402/601) bulundu (P < .0001). Eczacı tarafından yönetilen grupta düşük yoğunluklu lipoprotein kolesterol (LDL-C) kontrolü iyileştirildi, standart bakım grubuna (%54,8) kıyasla %79.1 (68/86) LDL-K 100 mg/dL'nin altında kaldı [219/400]"";"" P < .0001). Tedavi ve kontrol gruplarında sırasıyla %1.2 ve %14.0 (56/400)'de 130 mg/dL'den fazla bir LDL-C değeri kaydedildi (P < .001). Statin kullanımı kontrol grubu hastalarının %51.9'unda (312/601) ve eczacı tarafından yönetilen grubun %84.4'ünde (76/90) mevcuttu (P < .001). Sonuçlar KAH eşdeğeri olarak PAH'ın ulusal konsensüsüne rağmen, hastalar şu anda aterosklerotik risk faktörü modifikasyonu açısından yetersiz tedavi görmektedir. Eczacı tarafından yönetilen, doktor tarafından izlenen bir lipid hizmetinin başlatılması, ulusal kılavuzlara daha iyi uyum sağlar",0,1,
3,Taylandlı sağlık çalışanları arasında el yıkamayı ve eldiven kullanımını iyileştirmek için akran geri bildirimini kullanma.,"Arka plan: Evrensel Önlemler gibi koruyucu uygulamalar olmadan, sağlık çalışanları, özellikle Tayland gibi HIV enfeksiyonu prevalansının yüksek olduğu bölgelerde kan yoluyla bulaşan enfeksiyon için önemli risk altındadır. Bu çalışmanın amacı, Taylandlı sağlık çalışanları arasında el yıkama ve eldiven giyme (HW/GW) üzerinde bir akran geribildirim programının (PFP) etkinliğini değerlendirmekti. Yöntemler: Denekler (N = 91), tedavi verilmemesine karşı PFP almak üzere rastgele atandı. Akran gözlemciler bir kontrol listesi kullanarak hasta bakımı sırasında iş arkadaşlarının HW/GW uyumluluğunu derecelendirdi. 1 ay boyunca araştırmacı, her 3 günlük gözlemden elde edilen uyum davranışlarına ilişkin bir rapor yayınladı. HW/GW ayrıca araştırmacı tarafından müdahaleden 1 ay önce, müdahale döneminde ve müdahaleden 1 ay sonra doğrudan gözlem yoluyla değerlendirildi. Sonuçlar: PFP ve kontrol grupları için başlangıç HW/GW oranları sırasıyla %49.2 ve %61.5 idi. PFP grubu, müdahale süresi boyunca kontrol grubuna göre önemli ölçüde daha yüksek ayarlanmış uyum oranına sahipti (P =.0001). Ancak müdahaleden 1 ay sonra elde edilen uyum puanlarında anlamlı bir fark yoktu. Sonuçlar: PFP, müdahale döneminde etkiliydi, ancak etkinin kalıcılığı yoktu. Bu nedenle, etkinin korunmasını teşvik etmek için ek yöntemler aranmalıdır. (AJIC Am J Infect Control 2000"";""28:365-9)",0,1,
4,"""Doktorluk"" Doktorlar ve Aileleri","Diğer doktorlara veya aile üyelerine tıbbi bakım sağlamak üzere seçilmek, yalnızca kişinin yaşıtları tarafından yeterliliğin profesyonelce tanınmasını değil, aynı zamanda bir zorluğu da temsil eder. Birçok kişisel ve psikolojik faktör, hekimlerin tıbbi bakımını etkileyebilir. Hasta doktorlar, rol değiştirme ve ""VIP sendromu"" ile ilgili zorluk yaşayabilirler, tedavi eden doktorlar ise kendi endişeleri ve gizlilik, mahremiyet, empati ve bir doktor akrabasının tıbbi aile üyelerinin bakımına müdahalesi gibi sorunlarla uğraşmak zorunda kalabilirler. . 200'den fazla hekim-hasta ve birçok yetişkin hekim aile üyesi ile deneyime dayalı olarak, bu hasta gruplarının bakımı için öneriler sunulmaktadır.",0,0,
5,"""Etik ve klinik araştırma"" yeniden ziyaret edildi. Henry K. Beecher'a bir övgü","Haksız fiil yasasından ödünç alınan bilgilendirilmiş rıza doktrini, terapötik ortamlara kolayca nakledilemez. Tarafların ortaklaşa karar vermesi gerektiğini öne süren daha geniş, henüz gerçekleştirilmemiş bilgilendirilmiş onam fikri, doktorlar ve hastalar veya araştırmacılar ve denekler arasındaki etkileşimlere rehberlik etmelidir.",0,0,
6,"""Önce, zarar verme"": seks satan veya damar içi madde satan 10-17 yaş arası ergenleri etkileyen sağlık programları için yasal yönergeler","GİRİŞ: 10-17 yaşları arasındaki kilit ergen nüfusları (KP'ler) etkileyen damgalama, ayrımcılık ve suçlulaştırmanın, tutuklamaya bağlı kolluk temelli müdahalelere dayanan ulusal ve uluslararası yasal yapılar nedeniyle yoğunlaştığına dair güçlü bir kanıt temeli vardır. duruşmada gözaltı, hapsetme ve kurumsal yerleştirmede zorunlu “rehabilitasyon”. Daha yaşlı gruplar arasında müdahaleler için kanıt ve hak temelli teknik yönergeler mevcut olsa da, bu yönergeler, uluslararası hukukun, seks satmak gibi davranışlarda bulunan 10-17 yaş arası ergenlere farklı standartlar uyguladığı korkusuyla uluslararası halk sağlığı aktörleri tarafından henüz benimsenmemiştir. ya da uyuşturucu enjekte etmek. TARTIŞMA: Uluslararası insan hakları, sağlık, çocuk adaleti ve çocuk koruma yasası gereği, 10-17 yaş arası ergen KP'ler arasındaki müdahaleler herhangi bir tutuklama, kovuşturma veya gözaltı içermemelidir. Müdahalelerin kolluk kuvvetlerine dayanmaması, bunun yerine düşük eşikli, gönüllü hizmetler, barınma ve destek, mümkün olduğunca akran tabanlı sosyal yardımdan yararlanılması zorunludur. Bu hizmetler mobil ve erişilebilir olmalı ve HIV testi, tedavi ve bakım, iğne ve şırınga programları, opioid ikame tedavisi, güvenli kürtajlar, antiretroviral tedavi ve cinsiyeti doğrulayan bakım dahil hayat kurtaran desteğin sağlanması için ebeveyn iznine alternatiflere izin vermelidir. ve transgender ergenler için hormon tedavisi. Hizmetlere kaydolmayı sağlamak için, uluslararası kılavuz, ebeveyn izni gerekliliklerinden feragat etmek de dahil olmak üzere bilgilendirilmiş onay ve gizliliğin sağlanması gerektiğini belirtir. Sağlık pratisyenlerini ve araştırmacıları, 10-17 yaşları arasındaki ergen KP'lerle ilişki kurmaya yönelik caydırıcı unsurları ortadan kaldırmak için, devlet kurumları ve etik inceleme kurullarının zorunlu raporlama için muaf tutmaları veya feragat etmeleri tavsiye edilir. Yetkili makamlar, uluslararası hukuka ve yönergelere aykırı olarak ergen KP'leri kurumlara istemeden yerleştirmeye çalışırlarsa, yargı yoluna başvurma hakları vardır. Yasal yönergeler ayrıca bu ergenlerin yerleşimleri üzerinde söz sahibi olmalarını, gözaltı koşullarına itiraz etmek için hukuk danışmanına erişimlerini ve akranlarından, arkadaşlarından ve ailelerinden düzenli olarak ziyaret etmelerini ve tüm tesislerin, aşağıdakiler de dahil olmak üzere bağımsız kuruluşlar tarafından sık ve periyodik incelemeye tabi tutulmasını sağlar. KP'ler tarafından yönetilen toplum temelli gruplar. SONUÇLAR: Uluslararası hukuku denetlemek, 10-17 yaşları arasındaki KP'ler arasındaki koruyucu müdahalelerin yalnızca düşük eşik, gönüllü hizmetleri içermesi gerektiğini değil, aynı zamanda ergen KP'leri kolluk kuvvetlerine dayalı müdahalelerin yol açtığı zararlardan “koruması” gerektiğini belirtir. İleriye dönük olarak, sağlık pratisyenleri programları minimum müdahale, yasal süreç ve orantılılık ilkelerine göre ayarlayarak sağlık hakkına saygı göstermeli ve varsa çocuk adaleti ve çocuk koruma katılımını son çare olarak uygun şekilde sınırlandırmalıdır.",0,0,
7,"""Gönüllü olursam ne kadar maaş alırsın?"" Ödül, rıza ve araştırma konusunda önerilen kurumsal politika","İlaç şirketleri sıklıkla pratisyen hekimlerden yeni ilaçlar üzerinde faz IV veya pazarlama sonrası araştırma yapmalarını ister. Şirketler, hastalarını kaydettirmeleri ve dozaj ve yan etki bilgilerini bildirmeleri için doktorlara ödeme yapar. Pazarlama sonrası araştırma, tanıtım ve alışma için milyarlarca dolarlık bir çabayı kapsar, ancak deneklerin buna yönelik bilgilendirilmiş rızaları normalde doktor ödülünü içermez. Faz IV deneklere yönelik tıbbi riskleri artırırken müfettişlerin mali durumunu iyileştirmek, özellikle denekler araştırmacının ödüllerinden habersizse, etik açıdan yanlıştır. Deneklerin bilgilendirilmiş onam ihtiyacını, araştırmacıların tanınma ve destek ihtiyacını ve kurumların hastaları açıklanmayan risk ve ilişkilerden koruma ihtiyacını doğrulayan bir model politika ve kılavuz öneriyoruz.",0,0,
8,"""Bozuk değilse tamir etme",,0,0,
9,"""Size Nikotin Bandı Alayım"": Hemşirelerin Hastanede Yatan Gaziler için Sigarayı Bırakma Yönergelerini Uygulamaya İlişkin Algıları","Hastanede yatan birçok sigara içicisi, kılavuzda önerilen tütün tedavisi görmemektedir, ancak yatan hasta hemşirelerin tütün tedavisine ilişkin algıları hakkında çok az şey bilinmektedir. Dört Gazi İşleri (VA) hastanesinin yatan hasta tıp birimlerinde bir akademik detaylandırma müdahale denemesinin bulgularını açıklamaya yardımcı olmak için sıralı açıklayıcı karma yöntemler tasarımı kullandık. Bitirme danışmanlığına yönelik farklı tutumlara sahip 33 hemşireden oluşan amaçlı bir örneklemde 164 hemşireyle anket yaptık ve yarı yapılandırılmış görüşmeler gerçekleştirdik. Katılımcılar tarafından dile getirilen konuları tümevarımsal olarak karakterize etmek için içerik analizi kullanılmıştır. Ortaya çıkan temalar, kılavuza bağlılığın bilgi-tutum-davranış çerçevesi kullanılarak kategorize edildi. Bilgiyle ilgili ve tutumsal engeller arasında, bırakma danışmanlığında algılanan beceri eksikliği ve hastanede yatan gazilerde bırakma kılavuzlarının etkinliği hakkında şüphecilik yer aldı. Hemşireler ayrıca kılavuza uyumun önünde çok sayıda davranışsal ve organizasyonel engel olduğunu bildirmiştir: hastalardan gelen direnç, yetersiz zaman ve kaynaklar, VA tesislerinde sigara içilen alanların varlığı ve birinci basamak ile koordinasyon eksikliği. VA hastaneleri, yatan hasta personelini davranış değişikliği konusunda nasıl pazarlık yapacakları konusunda eğitmeli, bırakma danışmanlığını hemşirelerin iş akışına entegre etmeli, taburculuk sonrası bırakma danışmanlığı için alternatif sevk mekanizmaları geliştirmeli ve yatan hasta yoksunluğunu teşvik etmek için hastane politikalarını benimsemelidir.",0,0,
10,"Tedavilerin etkinliğini ve etkililiğini değerlendirmede kanıt ""kuralları""","Tedavilerin etkililiğini ve etkililiğini değerlendirmede kanıt ""kurallarının"" kısa bir incelemesi, bu tür çalışmaların etkisini artırmak için randomize klinik araştırmaların (RCT'ler) kurallarının geliştirilmesinde geleceğin neler getirebileceğine dair bir tartışmaya yol açar. . Araştırmaların etkisini arttırmanın birincil şartı, bir yanda araştırmacılar, klinisyenler, politika yapıcılar ve hasta savunucuları arasındaki, diğer yanda da temel bilim adamları ve klinik araştırmacılar arasındaki tartışmalar ve etkileşimler gibi görünmektedir.",0,0,
