record_id,pubmedID,title,keywords,authors,abstract,label_abstract_screening,label_included
1,10024335,Distinct and combined vascular effects of ACE blockade and HMG-CoA reductase inhibition in hypertensive patients.,,"Nazzaro, P; Manzari, M; Merlo, M; Triggiani, R; Scarano, A; Ciancio, L; Pirrelli, A","Hypercholesterolemia and hypertension are often associated with increased sympathetic activity. Both are independent cardiovascular risk factors and affect endothelium-mediated vasodilation. To identify the effects of cholesterol-lowering and antihypertensive treatments on vascular reactivity and vasodilatative capacity, we studied 30 hypercholesterolemic hypertensive subjects. They received placebo for 4 weeks, either enalapril or simvastatin for 14 weeks, and finally both drugs for another 14 weeks. Postischemic forearm blood flow (MFBF) and minimal vascular resistance (mFVR) were used as indices of vasodilatative capacity and structural vascular damage, respectively. Total (resting-stress-recovery phases) cardiovascular (blood pressure [BP] and heart rate [HR]) and regional hemodynamic (FBF and FVR) reactivity to stress stimuli were calculated as area under the curve (auc) (value x time). Compared to baseline, simvastatin reduced total (TOT-C) and low-density lipoprotein (LDL-C) cholesterol (1.27 mmol/L, P<0.001 and 1.33 mmol/L, P<0.001, respectively). Enalapril also reduced TOT-C and LDL-C (0.6 mmol/L, P<0.001 and 0.58 mmol/L, P<0.05, respectively). MFBF was significantly increased by both treatments (P<0.001). Enalapril had a greater effect (-1.7 arbitrary units (AU), P<0.001) than simvastatin (-0.6 AU, P<0.05) on mFVR. Under stress, FBF increased more with enalapril (4.4 FBF x minutes, P<0.001) than with simvastatin (1.8 FBF x minutes, P<0.01). Conversely, the FVR stress response was reduced more with enalapril (9.1 FVR x minutes, P<0.001) than with simvastatin (2.9 FVR x minutes, P<0.01). A significant (0.001>P<0.05) additive effect on hypercholesterolemia, structural vascular damage, BP and FVR was demonstrated during combination treatment. The results suggest that inhibition of angiotensin converting enzyme (ACE) induces a greater reduction in vascular reactivity and structural damage in patients with hypercholesterolemia and hypertension than blockade of HMG-CoA reductase.",0,0
2,10027665,Computerized monitoring of adverse drug reactions in hospitals: implementation.,,"Levy, M; Azaz-Livshits, T; Sadan, B; Shalit, M; Geisslinger, G; Brune, K","Implementation and measurement of the effects of automated computerized laboratory signals (ALS) as a tool for the detection of adverse drug reactions (ADRs) in the hospital.; This was a prospective observational study involving a total of 192 patients (199 consecutive medical admissions) over a 2-month period in a 34-bed medical unit at Hadassah University Hospital, Jerusalem, Israel. The study involved the routine (daily) distribution to staff physicians of lists of automatic signals generated from computerized laboratory data as potential indicators of ADRs. Patient records were reviewed by the clinical pharmacology team for ADRs and to see if any were recognized by staff physicians.; 71 ADRs were identified in 64 of the 199 (32%) admissions. 27% of the ADRs were serious, 9% of the admissions were due to ADRs. 295 ALS were generated, representing 69% of admissions. Sixty-one percent of ADRs were identified by ALS. ALS was present in 58% of negative ADR admissions. 85% of the ADRs were recognized as such and 19% of the ALS-positive ADRs were not recognized by the company doctors.; The routine introduction of ALS doubled the number of ADRs detected by physicians while patients were hospitalized in the infirmary. Using the system appeared valid, easy and potentially cost-effective.",0,0
3,10027935,Glomerular size-selective dysfunction in NIDDM is not ameliorated by ACE inhibition or by calcium channel blockade.,,"Ruggenenti, P; Mosconi, L; Sangalli, F; Casiraghi, F; Gambara, V; Remuzzi, G; Remuzzi, A","In patients with insulin-dependent diabetes mellitus (IDDM) and overt nephropathy, glomerular barrier size selectivity progressively worsens over time and is effectively improved by inhibition of angiotensin converting enzyme (ACE). Whether similar glomerular functional changes develop in proteinuric patients with non-insulin dependent diabetes mellitus (NIDDM) and whether antihypertensive agents can favorably influence glomerular filtration of macromolecules in these patients has not yet been documented.; We studied renal hemodynamics and fractional clearance of graded sizes of neutral dextran in nine proteinuric patients with NIDDM and renal biopsy findings of typical diabetic glomerulopathy. Six healthy volunteers served as controls. We also examined the effects of an ACE inhibitor and a calcium channel blocker, both given at doses aimed at achieving a comparable level of systemic blood pressure control, on glomerular hemodynamics and sieve function. Theoretical analysis of glomerular macromolecule transport was performed to evaluate the intrinsic permeability properties of the glomerular membrane.; The fractional clearance of large macromolecules (42 to 66 Å in radius) was significantly higher in diabetics than controls, and the distribution of membrane pore radii was calculated to be shifted toward larger pores in diabetics (mean radius increased from 55 to 60 Å). Despite effective blood pressure control, none of the antihypertensive drugs significantly affected glomerular hemodynamics. Fractional clearance of dextrans, albumin and IgG and total urinary proteins were not altered by either treatment.; These data indicate that patients with NIDDM and overt nephropathy develop abnormalities in size-selective glomerular barrier function and, unlike IDDM, such changes were not ameliorated by either ACE inhibition or calcium channel blockade.",0,0
4,10028936,Overall arterial compliance in ambulatory hypertension during selective beta1-adrenergic receptor blockade and angiotensin converting enzyme inhibition.,,"Soma, J; Aakhus, S; Dahl, K; WiderÃ¸e, T E; Skjaerpe, T","Estimates of aortic root flow and pressure were performed noninvasively using Doppler echocardiography and calibrated subclavian artery pulse recording in 30 patients with ambulatory hypertension in a randomized crossover study with 4 weeks of treatment and washout periods. Total arterial compliance, assessed using a three-element Windkessel model of the arterial tree, increased by 42% with atenolol (50-100 mg once daily) and by 7% (p=NS) with captopril (25-50 mg twice daily). ). ). Atenolol reduced mean arterial pressure by 15%, heart rate by 22% and cardiac output by 14%, and increased aortic root flow acceleration time by 17% and stroke volume and ejection time by 11% each. Captopril reduced mean arterial pressure and total peripheral resistance by 7% each. Aortic root flow acceleration time, ejection time, heart rate, stroke volume and cardiac output were not significantly altered by captopril. We conclude that total arterial compliance at operational blood pressure increases during selective beta1-adrenergic receptor blockade in patients with ambulatory hypertension. Although the main mechanism may be a decrease in mean arterial pressure, it should be considered whether decreased heart rate might play an additional role. The insignificant increase in total arterial compliance during angiotensin converting enzyme inhibition may be primarily due to a modest reduction in mean arterial pressure.",0,0
5,10029645,Racial differences in outcome of left ventricular dysfunction.,,"Dries, D L; Exner, D V; Gersh, B J; Cooper, H A; Carson, P E; Domanski, M J","Population-based studies have found that black patients with congestive heart failure have a higher mortality rate than whites with the same condition. This finding has been attributed to differences in the severity, causes, and treatment of heart failure, the prevalence of co-existing conditions, and socioeconomic factors. Although these factors probably explain some of the higher mortality from congestive heart failure in blacks, we hypothesized that racial differences in the natural history of left ventricular dysfunction might also play a role.; Using data from the Left Ventricular Dysfunction Prevention and Treatment (SOLVD) studies, in which all patients received standardized therapy and follow-up, we performed a retrospective analysis of the outcomes of asymptomatic and symptomatic left ventricular systolic dysfunction in black and white participants. Mean (+/-SD) follow-up was 34.2 +/- 14.0 months in the prevention study and 32.3 +/- 14.8 months in the treatment study among Black and White participants.; The all-cause mortality rates in the prevention study were 8.1 per 100 person-years for Blacks and 5.1 per 100 person-years for Whites. In the treatment study, the rates were 16.7 per 100 person-years and 13.4 per 100 person-years, respectively. After adjusting for age, comorbidities, severity and causes of heart failure, and medication use, blacks had a higher risk of death from all causes in both the SOLVD Prevention Study (relative risk, 1.36; 95 percent confidence interval, 1.06 to 1.74; P=0.02) and the treatment study (risk ratio, 1.25; 95 percent confidence interval, 1.04 to 1.50; P=0.02). In both studies, blacks also had a higher risk of death from pump failure and for the composite endpoint of death from any cause or hospitalization for heart failure, our two predefined indicators of left ventricular systolic dysfunction progression.; Blacks with mild to moderate left ventricular systolic dysfunction appear to be at greater risk of heart failure progression and death from any cause than similarly treated whites. These results suggest that there may be racial differences in the outcome of asymptomatic and symptomatic left ventricular systolic dysfunction.",1,0
6,10029788,Exfoliative dermatitis.,,"Karakayli, G; Beckham, G; Orengo, I; Rosen, T","Exfoliative dermatitis, also known as erythroderma, is a rare but serious skin condition that primary care physicians need to be able to recognize and treat appropriately. Although the etiology is often unknown, exfoliative dermatitis can be the result of a drug reaction or an underlying malignancy. The treatment approach should include stopping potentially causative drugs and searching for underlying malignancies. One of the most common malignancies associated with exfoliative dermatitis is cutaneous T-cell lymphoma, which may not manifest itself until months or even years after the onset of the skin disease. Hospitalization is usually required for initial evaluation and treatment. In the hospital, special attention must be paid to maintaining temperature control, replacing lost fluids and electrolytes, and preventing and treating infections. The long-term prognosis is good in patients with drug-induced disease, although the course in idiopathic cases tends to be remitting and relapsing. The prognosis of cases associated with malignancy typically depends on the outcome of the underlying malignancy.",0,0
7,10030325,Effect of angiotensin-converting enzyme inhibition versus conventional therapy on cardiovascular morbidity and mortality in hypertension: the Captopril Prevention Project (CAPPP) randomized trial.,,"Hansson, L; Lindholm, L H; Niskanen, L; Lanke, J; Hedner, T; Niklason, A; LuomanmÃ¤ki, K; DahlÃ¶f, B; de Faire, U; MÃ¶rlin, C; Karlberg, B E; Wester, P O; BjÃ¶rck, J E","Angiotensin-converting enzyme (ACE) inhibitors have been used to treat hypertension for more than a decade, although data from randomized intervention trials showing that such treatment affects cardiovascular morbidity and mortality are lacking. The Captopril Prevention Project (CAPPP) is a randomized intervention study to compare the effects of ACE inhibition and conventional therapy on cardiovascular morbidity and mortality in patients with hypertension.; CAPPP was a prospective, randomized, open-label study with blinded endpoint assessment. 10,985 patients were admitted to 536 health centers in Sweden and Finland. Patients aged 25 to 66 years with a measured diastolic blood pressure of 100 mmHg or more on two occasions were randomly assigned to captopril or conventional antihypertensive treatment (diuretics, beta-blockers). The analysis was based on intention-to-treat. The primary endpoint was a composite of fatal and nonfatal myocardial infarction, stroke, and other cardiovascular deaths.; Of 5492 patients assigned to captopril and 5493 assigned to conventional therapy, 14 and 13 were lost to follow-up, respectively. Primary endpoint events occurred in 363 patients in the captopril group (11.1 per 1,000 patient-years) and 335 in the conventional treatment group (10.2 per 1,000 patient-years; relative risk 1.05 [95% CI 0.90-1, 22], p=0) to -52). Cardiovascular mortality was lower with captopril than with conventional treatment (76 vs. 95 events; relative risk 0.77 [0.57-1-04], p=0.092), the rate of fatal and non-fatal myocardial infarction was similar (162 vs. 161), but fatal and nonfatal stroke was more common with captopril (189 vs. 148; 1.25 [1-01-1-55]. p=0.044); Captopril and conventional treatment did not differ in efficacy in preventing cardiovascular morbidity and mortality. The difference in stroke risk is likely due to the initially lower blood pressure readings in previously treated patients randomized to conventional therapy.",0,0
8,10047639,Effects of short-acting and long-acting loop diuretics on heart rate variability in patients with chronic compensated congestive heart failure.,,"Tomiyama, H; Nakayama, T; Watanabe, G; Shiojima, K; Sakuma, Y; Yamamoto, A; Imai, Y; Yoshida, H; Doba, N","We evaluated the effects of a short-acting loop diuretic (furosemide) and a long-acting loop diuretic (azosemide) on heart rate variability, fluid balance, and neurohormonal responses in patients with mild to moderate chronic congestive heart failure.; Nineteen patients with mild to moderate chronic heart failure received furosemide (40 to 60 mg/day) or azosemide (60 to 90 mg/day) for 5 days in a crossover fashion. We performed time-domain and rate-domain analyzes of 24-hour Holter electrocardiographic recordings to assess heart rate variability.; 24-hour urinary sodium excretion was similar during the furosemide and azosemide treatment periods, but was significantly greater in the first 2 hours after drug administration during furosemide treatment. Plasma renin activity and hematocrit levels increased and radiofrequency output decreased significantly 2 hours after furosemide administration alone. The standard deviation of all normal RR intervals and the root mean square of consecutive differences in RR interval were lower for furosemide than for azosemide (p<0.05). Furosemide, a short-acting loop diuretic, has a greater impact on heart rate variability and fluid balance than azosemide, a long-acting loop diuretic, in patients with mild to moderate chronic congestive heart failure.",0,0
9,10049657,Capillary blood cell velocity in the fingernail fold: effect of enalapril and mibefradil in patients with mild to moderate hypertension.,,"Martina, B; Frach, B; Surber, C; Drewe, J; Battegay, E; Gasser, P","Outpatients with essential hypertension were randomized to antihypertensive treatment with mibefradil or enalapril. Ambulatory blood pressure measurement (ABPM) and video capillary microscopy of the fingernail fold were performed at baseline and after 12 weeks of treatment. In the enalapril group (n = 21), ABP was 156 +/- 12/100 +/- 9 mm Hg at baseline and decreased to 140 +/- 17/89 +/- 10 mm Hg at 12 weeks Mibefradil group (n=22) the mean 24-h ABP decreased from 159 +/- 14/102 +/- 7 to 140 +/- 10/89 +/- 7 mm Hg. Capillary blood cell velocity (CBV) without treatment was 0.90 +/- 0.58 mm/s (mean +/- SD) and 0.83 +/- 0.46 mm/s at rest and 0.30 +/- 0.22 and 0.21+ /- 0.20 mm/ s immediately after local finger cooling in the mibefradil or enalapril group. In the enalapril group, CBV at week 12 was 0.99 +/- 0.60 mm/s (ns) at rest and 0.40 +/- 0.28 mm/s immediately after local cooling (P = 0.005 im compared to 0.21 +/- 0.20 mm/s). s without treatment). Twelve weeks after the start of treatment, the CBV in the mibefradil group was 0.76 +/- 0.48 mm/s (ns) at rest and 0.31 +/- 0.28 mm/s (ns) immediately after local Cooling. Fingernail fold CBV immediately after local cooling of the finger was increased by enalapril compared to baseline. The T-channel inhibitory calcium antagonist mibefradil did not alter CBV in fingernail fold capillaries.",0,0
10,10051289,The addition of angiotensin II receptor blockade to maximal inhibition of angiotensin converting enzyme improves exercise capacity in patients with severe congestive heart failure.,,"Hamroff, G; Katz, S D; Mancini, D; Blaufarb, I; Bijou, R; Patel, R; Jondeau, G; Olivari, M T; Thomas, S; Le Jemtel, T H","Incomplete suppression of the renin-angiotensin system during long-term ACE inhibition may contribute to symptomatic worsening in patients with severe congestive heart failure (CHF). Combined angiotensin II type I (AT1) receptor blockade and ACE inhibition suppress the activated renin-angiotensin system more completely than either intervention alone in sodium-depleted subjects. It is not known whether blocking the AT1 receptor with losartan improves exercise capacity in patients with severe CHF who have already been treated with ACE inhibitors.; Thirty-three patients with severe CHF despite treatment with maximum recommended or tolerated doses of ACE inhibitors were randomized 1:1 to receive losartan 50 mg/day or placebo for 6 months in addition to standard of care in a multicenter, double-blind study. Maximum aerobic capacity (V(O2)) during symptom-limited treadmill exercise and NYHA functional class were determined at baseline and after 3 and 6 months of double-blind therapy. Peak V(O2) values at baseline and at 3 and 6 months were 13.5 +/- 0.6, 15.1 +/- 1.0 and 15.7 +/- 1.1 ml. kg-1. min-1 in patients receiving losartan and 14.1 +/- 0.6, 14.3 +/- 0.9 and 13.6 +/- 1.1 ml. kg-1, respectively. min-1 in patients receiving placebo (p<0.02 for interaction between treatment group and time). Functional class improved by at least one NYHA class in 9 of 16 patients receiving losartan and 1 of 17 patients receiving placebo.; Losartan improves maximal exercise capacity and relieves symptoms in patients with CHF who are severely symptomatic despite treatment with the maximum recommended or tolerated doses of ACE inhibitors.",0,0
