record_id,pubmedID,title,keywords,authors,abstract,label_abstract_screening,label_included
1,10024335,Distinct and combined vascular effects of ACE blockade and HMG-CoA reductase inhibition in hypertensive subjects.,,"Nazzaro, P; Manzari, M; Merlo, M; Triggiani, R; Scarano, A; Ciancio, L; Pirrelli, A","Hypercholesterolemia and hypertension are frequently associated with elevated sympathetic activity. Both are independent cardiovascular risk factors and both affect endothelium-mediated vasodilation. To identify the effects of hypocholesterolemic and antihypertensive treatments on vascular reactivity and vasodilator capacity, we studied 30 hypercholesterolemic hypertensive subjects. They received placebo for 4 weeks, enalapril or simvastatin for 14 weeks, and finally both drugs for a further 14 weeks. Postischemic forearm blood flow (MFBF) and minimal vascular resistance (mFVR) were used as indices of vasodilator capacity and structural vascular damage, respectively. Total cardiovascular reactivity (rest-stress-recovery phases) (blood pressure [BP] and heart rate [HR]) and regional hemodynamics (FBF and FVR) to stressful stimuli were calculated as area under the curve (auc) (value x time). ). Compared to baseline, simvastatin lowered total cholesterol (TOT-C) and LDL cholesterol (LDL-C) (1.27 mmol/L, P<0.001 and 1.33 mmol/L, P<0.001, respectively) . Enalapril also reduced TOT-C and LDL-C (0.6 mmol/L, P<0.001 and 0.58 mmol/L, P<0.05, respectively). MFBF increased substantially with both treatments (P<0.001). Enalapril had a greater effect (-1.7 arbitrary units (AU), P < 0.001) than simvastatin (-0.6 AU, P < 0.05) on mFVR. During stress, FBF increased more with enalapril (4.4 FBFxminutes, P < 0.001) than with simvastatin (1.8 FBFxminutes, P < 0.01). In contrast, the FVR stress response was reduced more by enalapril (9.1 FVRxminutes, P<0.001) than by simvastatin (2.9 FVRxminutes, P<0.01). During combination treatment, a significant additive effect (0.001>P<0.05) was shown on hypercholesterolemia, structural vascular damage, BP, and RVF. The findings suggest that angiotensin-converting enzyme (ACE) inhibition induces a greater reduction than HMG-CoA reductase blockade in vascular reactivity and structural damage in hypertensive hypercholesterolemic subjects.",0,0
2,10027665,Computerized surveillance of adverse drug reactions in the hospital: implementation.,,"Levy, M; Azaz-Livshits, T; Sadan, B; Shalit, M; Geisslinger, G; Brune, K","Implement and measure the effects of computerized automatic laboratory signals (ALS) as a support tool for the detection of adverse drug reactions (ADRs) in the hospital; This was a prospective observational study of a total of 192 patients (199 sequential medical admissions) over a 2-month period in a 34-bed medical ward at Hadassah University Hospital, Jerusalem, Israel. The study involved the routine (daily) distribution to staff physicians of lists of automated signals generated from computerized laboratory data as potential indicators of ADRs. The clinical pharmacology team reviewed patient charts for ADRs and to see if they were recognized by staff physicians; Seventy-one ADRs were detected in 64 of 199 (32%) admissions. 27% of ADRs were serious, 9% of admissions were due to ADRs. 295 ALS were generated, accounting for 69% of admissions. Sixty-one percent of ADRs were identified by ALS. ALS was present in 58% of ADR negative admissions. 85% of ADRs were recognized as such and 19% of ALS-positive ADRs were not recognized by staff physicians; Routine implementation of ALS doubled the number of ADRs recognized by physicians while patients were hospitalized on the medical ward. The use of the system seemed valid, simple and potentially profitable.",0,0
3,10027935,Selective glomerular size dysfunction in NIDDM is not ameliorated by ACE inhibition or calcium channel blockade.,,"Ruggenenti, P; Mosconi, L; Sangalli, F; Casiraghi, F; Gambara, V; Remuzzi, G; Remuzzi, A","In patients with insulin-dependent diabetes mellitus (IDDM) and overt kidney disease, the size selectivity of the glomerular barrier progressively deteriorates over time and is effectively improved by angiotensin-converting enzyme (ACE) inhibition. Whether similar glomerular functional changes develop in proteinuric patients with non-insulin-dependent diabetes mellitus (NIDDM) and whether antihypertensive agents may favorably affect glomerular filtration of macromolecules in these patients remains to be documented; We investigated the renal hemodynamics and fractional clearance of graded neutral dextrans in nine proteinuric patients with NIDDM and renal biopsy findings of typical diabetic glomerulopathy. Six healthy volunteers served as controls. We also investigated the effects of an ACE inhibitor and a calcium channel blocker, both given at doses aimed at achieving a comparable level of systemic blood pressure control, on glomerular hemodynamics and screening function. Theoretical analysis of glomerular macromolecule transport was adopted to assess the intrinsic permeability properties of the glomerular membrane.; The fractional clearance of large macromolecules (42 to 66 A radius) was significantly higher in diabetic patients than in controls, and the distribution of membrane pore radii was estimated to shift toward larger pore sizes in diabetics (mean radius increased from 55 to 60 A). Despite effective blood pressure control, none of the antihypertensives significantly affected glomerular hemodynamics. The fractional clearance of dextrans, as well as of albumin and IgG, and total urinary proteins did not change with any of the treatments; These data indicate that patients with NIDDM and overt kidney disease develop abnormalities in the size-selective function of the glomerular barrier and, unlike IDDM, such changes were not ameliorated by either ACE inhibition or calcium channel blockade. .",0,0
4,10028936,Total arterial compliance in ambulatory hypertension during selective beta1-adrenergic receptor blockade and angiotensin-converting enzyme inhibition.,,"Soma, J; Aakhus, S; Dahl, K; WiderÃ¸e, T E; Skjaerpe, T","Estimates of aortic root flow and pressure were obtained noninvasively with Doppler echocardiography and calibrated subclavian artery pulse tracking in 30 subjects with ambulatory hypertension in a randomized crossover study with 4 weeks of treatment and washout periods. Total arterial compliance, assessed using a three-element Windkessel model of the arterial tree, was increased by 42% with atenolol (50-100 mg once daily) and 7% (p = NS) with captopril (25- 50 mg twice a day). ). Atenolol reduced mean arterial pressure by 15%, heart rate by 22%, and cardiac output by 14%, and increased aortic root flow acceleration time by 17% and stroke volume and heart rate. ejection time by 11% each. Captopril reduced mean arterial pressure and total peripheral resistance by 7% each. Captopril did not significantly change aortic root flow acceleration time, ejection time, heart rate, stroke volume, and cardiac output. We conclude that total arterial compliance, at operating blood pressure, is increased during selective beta1-adrenergic receptor blockade in subjects with ambulatory hypertension. Although the primary mechanism may be a reduction in mean arterial pressure, it should be considered whether heart rate reduction may play an additional role. The nonsignificant increase in total arterial compliance during angiotensin-converting enzyme inhibition may be primarily a consequence of a modest reduction in mean arterial pressure.",0,0
5,10029645,Racial differences in the outcome of left ventricular dysfunction.,,"Dries, D L; Exner, D V; Gersh, B J; Cooper, H A; Carson, P E; Domanski, M J","Population-based studies have found that black patients with congestive heart failure have a higher mortality rate than whites with the same condition. This finding has been attributed to differences in the severity, causes, and treatment of heart failure, the prevalence of coexisting conditions, and socioeconomic factors. Although these factors probably explain some of the higher CHF mortality among blacks, we hypothesized that racial differences in the natural history of left ventricular dysfunction might also play a role.; Using data from the Prevention and Treatment of Left Ventricular Dysfunction (SOLVD) studies, in which all patients received standardized therapy and follow-up, we performed a retrospective analysis of asymptomatic and symptomatic left ventricular systolic dysfunction outcomes among white and white participants. blacks. . Mean (+/-SD) follow-up was 34.2+/-14.0 months in the prevention trial and 32.3+/-14.8 months in the treatment trial among black and white participants; The overall mortality rates in the prevention trial were 8.1 per 100 person-years for blacks and 5.1 per 100 person-years for whites. In the treatment trial, the rates were 16.7 per 100 person-years and 13.4 per 100 person-years, respectively. After adjusting for age, coexisting conditions, severity and causes of heart failure, and medication use, blacks had a higher risk of death from all causes in both the SOLVD prevention trial (relative risk, 1.36; confidence interval 95 percent, 1.06 to 1.74; P=0.02) and treatment trial (relative risk, 1.25; 95 percent confidence interval, 1.04 to 1.50; P= 0.02). In both trials, blacks were also at increased risk of death from pump failure and from the combined end point of death from any cause or hospitalization for heart failure, our two predefined indicators of progression of left ventricular systolic dysfunction; Blacks with mild to moderate left ventricular systolic dysfunction appear to be at higher risk of heart failure progression and death from any cause than similarly treated whites. These results suggest that there may be racial differences in the outcome of asymptomatic and symptomatic left ventricular systolic dysfunction.",1,0
6,10029788,Exfoliative dermatitis.,,"Karakayli, G; Beckham, G; Orengo, I; Rosen, T","Exfoliative dermatitis, also known as erythroderma, is a rare but serious skin disorder that family physicians need to be able to recognize and treat appropriately. Although the etiology is often unknown, exfoliative dermatitis may be the result of a drug reaction or underlying malignancy. The treatment approach should include discontinuation of any potentially offending medications and a search for any underlying malignancy. One of the most common malignancies associated with exfoliative dermatitis is cutaneous T-cell lymphoma, which may not manifest for months or even years after the onset of the skin condition. Hospitalization is usually necessary for evaluation and initial treatment. In the hospital, special attention should be paid to maintaining temperature control, replacing lost fluids and electrolytes, and preventing and treating infections. Long-term prognosis is good in patients with drug-induced disease, although the course tends to be relapsing-remitting in idiopathic cases. The prognosis of cases associated with malignancy generally depends on the outcome of the underlying malignancy.",0,0
7,10030325,Effect of angiotensin-converting enzyme inhibition compared with conventional therapy on cardiovascular morbidity and mortality in hypertension: the Captopril Prevention Project (CAPPP) randomized trial.,,"Hansson, L; Lindholm, L H; Niskanen, L; Lanke, J; Hedner, T; Niklason, A; LuomanmÃ¤ki, K; DahlÃ¶f, B; de Faire, U; MÃ¶rlin, C; Karlberg, B E; Wester, P O; BjÃ¶rck, J E","Angiotensin-converting enzyme (ACE) inhibitors have been used for more than a decade to treat high blood pressure, despite a lack of data from randomized intervention trials showing that such treatment affects cardiovascular morbidity and mortality. The Captopril Prevention Project (CAPPP) is a randomized intervention trial to compare the effects of ACE inhibition and conventional therapy on cardiovascular morbidity and mortality in patients with hypertension; CAPPP was a prospective, randomized, open-label trial with blinded endpoint evaluation. 10,985 patients were enrolled at 536 health centers in Sweden and Finland. Patients aged 25 to 66 years with a measured diastolic blood pressure of 100 mm Hg or greater on two occasions were randomly assigned to captopril or conventional antihypertensive treatment (diuretics, beta-blockers). Analysis was by intention to treat. The primary endpoint was a composite of fatal and nonfatal myocardial infarction, stroke, and other cardiovascular deaths; Of 5,492 patients assigned to captopril and 5,493 assigned to conventional therapy, 14 and 13, respectively, were lost to follow-up. Primary endpoint events occurred in 363 patients in the captopril group (11.1 per 1,000 patient-years) and 335 in the conventional therapy group (10.2 per 1,000 patient-years; relative risk 1.05 [CI 95%: 0.90-1.22], p=0-52). Cardiovascular mortality was lower with captopril than with conventional treatment (76 vs 95 events; relative risk 0.77 [0.57-1-04], p=0.092), the rate of fatal and non-fatal myocardial infarction was similar (162 vs 161), but fatal and non-fatal stroke was more frequent with captopril (189 vs 148; 1.25 [1-01-1-55]. p=0.044); Captopril and conventional treatment did not differ in efficacy in preventing cardiovascular morbidity and mortality. The difference in stroke risk is likely due to the lower blood pressure levels initially achieved in previously treated patients randomized to conventional therapy.",0,0
8,10047639,Effects of short-acting and long-acting loop diuretics on heart rate variability in patients with compensated chronic congestive heart failure.,,"Tomiyama, H; Nakayama, T; Watanabe, G; Shiojima, K; Sakuma, Y; Yamamoto, A; Imai, Y; Yoshida, H; Doba, N","We investigated the effects of a short-acting loop diuretic (furosemide) and a long-acting loop diuretic (azosemide) on heart rate variability, fluid balance, and neurohormonal responses in patients with mild chronic congestive heart failure. to moderate.; Nineteen patients with mild to moderate chronic congestive heart failure received furosemide (40 to 60 mg/day) or azosemide (60 to 90 mg/day) for 5 days in a crossover fashion. We performed time-domain and frequency-domain analyzes of 24-hour Holter electrocardiographic recordings to assess heart rate variability; The 24-hour urinary sodium excretion was similar during the furosemide and azosemide treatment periods, but was significantly higher in the first 2 hours after drug administration during furosemide treatment. Plasma renin activity and hematocrit level increased and high-frequency power significantly decreased 2 hours after administration of furosemide alone. The standard deviation of all normal RR intervals and the root mean square of the successive differences in the RR interval were lower with furosemide than with azosemide (P < 0.05); Furosemide, a short-acting loop diuretic, has a greater influence on heart rate variability and fluid balance than azosemide, a long-acting loop diuretic, in patients with mild to moderate chronic congestive heart failure. .",0,0
9,10049657,Velocity of capillary blood cells in the nail fold of the finger: effect of enalapril and mibefradil in patients with mild to moderate hypertension.,,"Martina, B; Frach, B; Surber, C; Drewe, J; Battegay, E; Gasser, P","Outpatients with essential hypertension were randomized to receive antihypertensive treatment with mibefradil or enalapril. Ambulatory blood pressure measurements (ABPM) and capillary videomicroscopy of the fingernail fold were performed at baseline and after 12 weeks of treatment. In the enalapril group (n = 21), baseline BP was 156 +/- 12/100 +/- 9 mm Hg and decreased to 140 +/- 17/89 +/- 10 mm Hg after 12 weeks. In the mibefradil group (n = 22), mean 24-hour PAA decreased from 159 +/- 14/102 +/- 7 to 140 +/- 10/89 +/- 7 mm Hg. Capillary blood cell velocity (CBV) without treatment was 0.90 +/- 0.58 mm/s (mean +/- SD) and 0.83 +/- 0.46 mm/s at rest and 0. 30 +/- 0.22 and 0.21 +/- 0.20 mm/s immediately after local cooling of the finger in the mibefradil and enalapril groups, respectively. In the Enalapril group, CBV at week 12 was 0.99 +/- 0.60 mm/s (ns) at rest and 0.40 +/- 0.28 mm/s immediately after local cooling. (P = 0.005 compared to 0.21 +/- 0.20 mm/s). s without treatment). Twelve weeks after the start of treatment, CBV was 0.76 +/- 0.48 mm/s (ns) at rest and 0.31 +/- 0.28 mm/s (ns) immediately after cooling. local in the mibefradil group. Nailfold CBV immediately after local finger cooling increased with enalapril compared to baseline. Mibefradil, a calcium antagonist that inhibits T channels, did not modify CBV in fingernail fold capillaries.",0,0
10,10051289,The addition of angiotensin II receptor blockade to maximal angiotensin-converting enzyme inhibition improves exercise capacity in patients with severe congestive heart failure.,,"Hamroff, G; Katz, S D; Mancini, D; Blaufarb, I; Bijou, R; Patel, R; Jondeau, G; Olivari, M T; Thomas, S; Le Jemtel, T H","Incomplete suppression of the renin-angiotensin system during long-term ACE inhibition may contribute to symptomatic deterioration in patients with severe congestive heart failure (CHF). Combined angiotensin II type I (AT1) receptor blockade and ACE inhibition more completely suppress the activated renin-angiotensin system than either intervention alone in normal sodium-depleted individuals. It is unknown whether AT1 receptor blockade with losartan improves exercise capacity in patients with severe congestive heart failure already treated with ACE inhibitors; Thirty-three patients with severe CHF despite treatment with maximum recommended or tolerated doses of ACE inhibitors were randomized 1:1 to receive losartan 50 mg/day or placebo for 6 months in addition to standard therapy in a multicenter trial. double-blind. Maximal aerobic capacity (V(O2)) during symptom-limited treadmill exercise and NYHA functional class were determined at baseline and after 3 and 6 months of double-blind therapy. Peak V(O2) at baseline and after 3 and 6 months was 13.5+/-0.6, 15.1+/-1.0, and 15.7+/-1.1 mL. kg-1. min-1, respectively, in patients receiving losartan and 14.1+/-0.6, 14.3+/-0.9 and 13.6+/-1.1 ml. kg-1. min-1, respectively, in patients receiving placebo (P<0.02 for treatment group by time interaction). Functional class improved by at least one NYHA class in 9 of 16 patients who received losartan and 1 of 17 patients who received placebo; Losartan improves maximal exercise capacity and relieves symptoms in patients with CHF who experience severe symptoms despite treatment with maximum recommended or tolerated doses of ACE inhibitors.",0,0
