record_id,pubmedID,title,keywords,authors,abstract,label_abstract_screening,label_included
1,10024335,Pronounced and combined vascular effects of ACE blockade and HMG-CoA reductase inhibition in hypertensive subjects.,,"Nazzaro, P; Manzari, M; Merlo, M; Triggiani, R; Scarano, A; Ciancio, L; Pirrelli, A","Hypercholesterolemia and hypertension are often associated with high sympathetic activity. Both are independent cardiovascular risk factors and both affect endothelium-mediated vasodilation. We studied 30 hypercholesterolemic hypertensive subjects to determine the effects of cholesterol-lowering and antihypertensive treatments on vascular reactivity and vasodilative capacity. They took placebo for 4 weeks, enalapril or simvastatin for 14 weeks, and finally both drugs for an additional 14 weeks. Postischemic forearm blood flow (MFBF) and minimal vascular resistance (mFVR) were used as indicators of vasodilative capacity and structural vascular damage, respectively. Total (rest-stress-recovery phases) cardiovascular (blood pressure [BP] and heart rate [HR]) and regional hemodynamic (FBF and FVR) reactivity to stressful stimuli were calculated as area under the curve (auc) (valuextime). ). Compared to baseline levels, simvastatin reduced total (TOT-C) and LDL cholesterol (LDL-C) (1.27 mmol/L, P<0.001 and 1.33 mmol/L, P<0.001, respectively). Enalapril also decreased TOT-C and LDL-C (0.6 mmol/L, P<0.001 and 0.58 mmol/L, P<0.05, respectively). MFBF increased significantly with both treatments (P<0.001). Enalapril had a greater effect on mFVR than simvastatin (-0.6 AU, P<0.05) (-1.7 arbitrary units (AU), P<0.001). During stress, FBF increased more with enalapril (4.4 FBFxmin, P<0.001) compared to simvastatin (1.8 FBFxmin, P<0.01). Conversely, the FVR stress response was more reduced with enalapril (9.1 FVRxmin, P<0.001) than simvastatin (2.9 FVRxmin, P<0.01). A significant (0.001>P<0.05) additive effect on hypercholesterolemia, structural vascular damage, BP and FVR was demonstrated during combination therapy. The findings show that angiotensin converting enzyme (ACE) inhibition causes a greater reduction in vascular reactivity and structural damage in hypercholesterolemic hypertensive subjects than HMG-CoA reductase blockade.",0,0
2,10027665,Computerized surveillance of adverse drug reactions in the hospital: practice.,,"Levy, M; Azaz-Livshits, T; Sadan, B; Shalit, M; Geisslinger, G; Brune, K","Implementing and measuring the effects of automated computerized laboratory signals (ALS) as a detection support tool for in-hospital adverse drug reactions (ADRs); This was a prospective observational study of a total of 192 patients (199 consecutive medical admissions) over a 2-month period in a 34-bed medical ward at Hadassah University Hospital in Jerusalem, Israel. The study included the routine (daily) distribution to staff physicians of automated lists of signals generated from computerized laboratory data as potential indicators of ADRs. Patient charts for ADRs were reviewed by the clinical pharmacology team to see if they were recognized by staff physicians; 71 ADRs were detected in 64 of 199 (32%) applications. Twenty-seven percent of ADRs were serious, 9% of admissions were due to ADRs. Two hundred and ninety-five ALS were generated, comprising 69% of admissions. Sixty-one percent of ADRs were identified by ALS. ALS was present in 58% of ADR negative admissions. Eighty-five percent of ADRs were recognized as such, and 19% of ALS-positive ADRs were not recognized by staff physicians. Routine implementation of ALS has doubled the number of ADRs recognized by doctors when patients are admitted to the medical ward. The system seemed valid, simple and potentially cost-effective to use.",0,0
3,10027935,Glomerular size-selective dysfunction in NIDDM does not improve with ACE inhibition or calcium channel blockade.,,"Ruggenenti, P; Mosconi, L; Sangalli, F; Casiraghi, F; Gambara, V; Remuzzi, G; Remuzzi, A","In patients with insulin-dependent diabetes mellitus (IDDM) and overt nephropathy, glomerular barrier size selectivity progressively worsens over time and is effectively improved by angiotensin-converting enzyme (ACE) inhibition. It remains to be documented whether similar glomerular functional changes develop in proteinuric patients with non-insulin dependent diabetes mellitus (NIDDM) and whether antihypertensive agents favorably affect glomerular filtration of macromolecules in these patients; We investigated the renal hemodynamics and fractional clearance of graded sizes of neutral dextrans in nine proteinuric patients with NIDDM and renal biopsy findings of typical diabetic glomerulopathy. Six healthy volunteers served as controls. We also investigated the effects of an ACE inhibitor and a calcium channel blocker on glomerular hemodynamics and elimination function, both given at doses aimed at achieving a comparable level of systemic blood pressure control. Theoretical analysis of glomerular macromolecule transport is adopted to evaluate intrinsic glomerular membrane permeability properties; The fractional clearance of large macromolecules (42 to 66 Å in radius) was significantly higher in diabetic patients than in controls, and the distribution of membrane pore radii was calculated to shift towards larger pore sizes in diabetics (mean radius increased from 55 to 60 Å). Despite effective blood pressure control, none of the antihypertensives significantly affected glomerular hemodynamics. Fractional clearance of dextrans, as well as albumin and IgG, and total urine proteins were not altered by either treatment; These data demonstrate that patients with NIDDM and overt nephropathy develop abnormalities in the size-selective function of the glomerular barrier and, unlike IDDM, these changes are not ameliorated by either ACE inhibition or calcium channel blockade.",0,0
4,10028936,Total arterial compliance in ambulatory hypertension during selective beta1-adrenergic receptor blockade and angiotensin-converting enzyme inhibition.,,"Soma, J; Aakhus, S; Dahl, K; WiderÃ¸e, T E; Skjaerpe, T","Estimates of aortic root flow and pressure were obtained noninvasively by Doppler echocardiography and calibrated subclavian artery pulse monitoring in 30 subjects with ambulatory hypertension in a randomized crossover study consisting of 4-week treatment and washout periods. Total arterial compliance, assessed using the three-element Windkessel model of the arterial tree, increased by 42% with atenolol (50-100 mg once daily) and 7% (p = NS) with captopril (25-50 mg twice daily). Atenolol decreased mean arterial pressure by 15%, heart rate by 22%, and cardiac output by 14%, and increased aortic root flow acceleration time by 17% and stroke volume and ejection time by 11%. Captopril reduced mean arterial pressure and total peripheral resistance by 7%. Acceleration time of aortic root flow, ejection time, heart rate, stroke volume, and cardiac output were not significantly changed with captopril. We conclude that total arterial compliance in operational blood pressure is increased during selective beta1-adrenergic receptor blockade in patients with ambulatory hypertension. While the main mechanism is a reduction in mean arterial pressure, it should be considered whether decreased heart rate plays an additional role. The nonsignificant increase in total arterial compliance during angiotensin-converting enzyme inhibition may be mainly a result of moderate reduction in mean arterial pressure.",0,0
5,10029645,Racial differences in outcome of left ventricular dysfunction.,,"Dries, D L; Exner, D V; Gersh, B J; Cooper, H A; Carson, P E; Domanski, M J","Population-based studies have found that black patients with congestive heart failure have a higher mortality rate than whites with the same condition. This finding was attributed to differences in the severity, causes, and management of heart failure, the prevalence of coexisting conditions, and socioeconomic factors. Although these factors probably explain some of the higher death rates from congestive heart failure among blacks, we hypothesized that racial differences in the natural history of left ventricular dysfunction may also play a role; We conducted a retrospective analysis of the outcomes of asymptomatic and symptomatic left ventricular systolic dysfunction among black and white participants, using data from the Left Ventricular Dysfunction (SOLVD) prevention and treatment studies, in which all patients received standard treatment and follow-up. . The mean (+/-SD) follow-up time among black and white participants was 34.2+/-14.0 months in the prevention trial and 32.3+/-14.8 months in the treatment trial; Overall mortality rates in the prevention trial were 8.1 per 100 person-years for blacks and 5.1 per 100 person-years for whites. In the treatment trial, the rates were 16.7 per 100 person-years and 13.4 per 100 person-years, respectively. After adjusting for age, co-existing conditions, severity and causes of heart failure, and medication use, blacks had a higher risk of death from all causes in both SOLVD prevention studies (relative risk, 1.36; 95 percent confidence interval, 1.06 to 1.74). ; P=0.02) and treatment trial (relative risk, 1.25; 95 percent confidence interval, 1.04 to 1.50; P=0.02). In both studies, blacks were at higher risk for death from pump failure and the combined endpoint of death from any cause or hospitalization for heart failure, our two predefined indicators of progression of left ventricular systolic dysfunction; Blacks with mild to moderate left ventricular systolic dysfunction appear to be at higher risk of heart failure and death from any cause than similarly treated whites. These results suggest that there may be racial differences in the outcome of asymptomatic and symptomatic left ventricular systolic dysfunction.",1,0
6,10029788,exfoliative dermatitis.,,"Karakayli, G; Beckham, G; Orengo, I; Rosen, T","Exfoliative dermatitis, also known as erythroderma, is a rare but serious skin condition that family physicians should recognize and treat appropriately. Although its etiology is often unknown, exfoliative dermatitis may be the result of a drug reaction or an underlying malignancy. The approach to treatment should include discontinuation of potentially causative drugs and investigation of any underlying malignancy. One of the most common malignancies associated with exfoliative dermatitis is cutaneous T-cell lymphoma, which may not appear months or even years after the onset of the skin condition. Hospitalization is usually required for initial evaluation and treatment. Special attention should be paid to the provision of temperature control in the hospital, the replacement of lost fluids and electrolytes, and the prevention and treatment of infection. The long-term prognosis is good for patients with drug-induced disease, although the course tends to remit and relapse in idiopathic cases. The prognosis of malignancy-related cases typically depends on the outcome of the underlying malignancy.",0,0
7,10030325,Effect of angiotensin-converting enzyme inhibition on cardiovascular morbidity and mortality compared to conventional therapy in hypertension: the Captopril Prevention Project (CAPPP) randomized trial.,,"Hansson, L; Lindholm, L H; Niskanen, L; Lanke, J; Hedner, T; Niklason, A; LuomanmÃ¤ki, K; DahlÃ¶f, B; de Faire, U; MÃ¶rlin, C; Karlberg, B E; Wester, P O; BjÃ¶rck, J E","Angiotensin-converting enzyme (ACE) inhibitors have been used to treat high blood pressure for more than a decade, although there are no data from randomized intervention studies showing that such therapy affects cardiovascular morbidity and mortality. The Captopril Prevention Project (CAPPP) is a randomized intervention trial to compare the effects of ACE inhibition and conventional therapy on cardiovascular morbidity and mortality in patients with hypertension; CAPPP was a prospective, randomized, open trial with blinded endpoint assessment. 10,985 patients were enrolled in 536 health centers in Sweden and Finland. Patients aged 25-66 years with a measured diastolic blood pressure of 100 mm Hg or more twice were randomly assigned to captopril or conventional antihypertensive therapy (diuretics, beta-blockers). The analysis was therapeutic. The primary endpoint was a composite of fatal and non-fatal myocardial infarction, stroke, and other cardiovascular deaths; Of the 5492 patients given captopril and the 5493 patients given conventional therapy, 14 and 13, respectively, dropped out of follow-up. The primary endpoint events occurred in 363 patients (11.1 per 1000 patient-years) in the captopril group and in 335 patients (10.2 per 1000 patient-years; relative risk 1.05 [95% CI 0.90-1.22], p=0) in the conventional therapy group. -52). Cardiovascular mortality was lower with captopril than with conventional therapy (76 versus 95 events; relative risk 0.77 [0.57-1-04], p=0.092), fatal and non-fatal myocardial infarction rate was similar (162 versus 161), however, fatal and non-fatal stroke was more common with captopril (189 vs. 148; 1.25 [1-01-1-55].p=0.044); Captopril and conventional therapy did not differ in efficacy in preventing cardiovascular morbidity and mortality. The difference in stroke risk is likely due to the lower blood pressure levels achieved at baseline in pretreated patients randomized to conventional therapy.",0,0
8,10047639,Effects of short-acting and long-acting loop diuretics on heart rate variability in patients with chronic compensated congestive heart failure.,,"Tomiyama, H; Nakayama, T; Watanabe, G; Shiojima, K; Sakuma, Y; Yamamoto, A; Imai, Y; Yoshida, H; Doba, N","We investigated the effects of a short-acting loop diuretic (furosemide) and a long-acting loop diuretic (azosemide) on heart rate variability, fluid balance, and neurohormonal responses in patients with mild to moderate chronic congestive heart failure; 19 patients with mild to moderate chronic congestive heart failure received furosemide (40 to 60 mg/day) or azosemide (60 to 90 mg/day) crosswise for 5 days. We performed time-domain and frequency-domain analyzes of 24-hour Holter electrocardiographic recordings to assess heart rate variability; 24-hour urinary sodium excretion was similar during the furosemide and azosemide treatment periods but was significantly higher during the first 2 hours after drug administration during furosemide treatment. Only 2 hours after furosemide administration, plasma renin activity and hematocrit level increased and high frequency power was significantly reduced. The standard deviation of all normal RR intervals and the mean square root of consecutive differences in the RR interval were lower with furosemide than with azosemide (P < .05). Furosemide, a short-acting loop diuretic, has a greater effect on heart rate variability and fluid balance in patients with mild to moderate chronic congestive heart failure than azosemide, a long-acting loop diuretic.",0,0
9,10049657,Capillary blood cell velocity in the finger nailfold: effect of enalapril and mibefradil in patients with mild to moderate hypertension.,,"Martina, B; Frach, B; Surber, C; Drewe, J; Battegay, E; Gasser, P","Outpatients with essential hypertension were randomized to receive antihypertensive therapy with mibefradil or enalapril. Standing blood pressure measurement (ABPM) and video capillary microscopy of the finger nail fold were performed at baseline and after 12 weeks of treatment. In the enalapril group (n = 21), baseline ABP was 156 +/- 12/100 +/- 9 mm Hg and decreased to 140 +/- 17/89 +/- 10 mm Hg after 12 weeks. Mean 24-hour ABP decreased from 159 +/- 14/102 +/- 7 to 140 +/- 10/89 +/- 7 mm Hg in the mibefradil group (n = 22). Capillary blood cell velocity (CBV) without treatment 0.90 +/- 0.58 mm/s (mean +/- SD) and 0.83 +/- 0.46 mm/s and 0.30 +/- 0.22 and 0.21 +/- 0.20 mm/ Mibefradil and immediately after local finger cooling in the enalapril group. In the enalapril group, CBV was 0.99 +/- 0.60 mm/s (ns) at week 12 and 0.40 +/- 0.28 mm/s immediately after local cooling (P = 0.005 compared to 0.21 +/- 0.20 mm/ without treatment). Twelve weeks after the start of treatment, the CBV was 0.76 +/-0.48 mm/s (ns) at rest and 0.31 +/-0.28 mm/s (ns) just after local cooling in the mibefradil group. Immediately after local finger cooling, finger nailfold CBV increased with enalapril compared to baseline. The T-channel inhibiting calcium antagonist mibefradil did not alter CBV in finger nailfold capillaries.",0,0
10,10051289,The addition of angiotensin II receptor blockade to maximum angiotensin converting enzyme inhibition improves exercise capacity in patients with severe congestive heart failure.,,"Hamroff, G; Katz, S D; Mancini, D; Blaufarb, I; Bijou, R; Patel, R; Jondeau, G; Olivari, M T; Thomas, S; Le Jemtel, T H","Incomplete suppression of the renin-angiotensin system during prolonged ACE inhibition may contribute to symptomatic deterioration in patients with severe congestive heart failure (CHF). Combined angiotensin II type I (AT1) receptor blockade and ACE inhibition suppress the activated renin-angiotensin system more completely than intervention alone in normal sodium-deficient individuals. It is unknown whether AT1 receptor blockade with losartan improves exercise capacity in patients with severe CHF currently treated with ACE inhibitors; In a multicenter, double-blind study, 33 patients with severe CHF despite treatment with the maximum recommended or tolerated doses of ACE inhibitors were randomized 1:1 to receive losartan 50 mg/day or placebo for 6 months in addition to standard therapy. Peak aerobic capacity (V(O2)) during symptom-limited treadmill exercise and NYHA functional class was determined at baseline and after 3 and 6 months of double-blind treatment. Peak V(O2) was 13.5+/-0.6, 15.1+/-1.0 and 15.7+/-1.1 mL at baseline and 3 and 6 months later. kg-1. min-1 and 14.1+/-0.6, 14.3+/-0.9 and 13.6+/-1.1 mL, respectively, in patients receiving losartan. kg-1. min-1 (P<0.02 for treatment group-time interaction) in patients receiving placebo, respectively. Functional class was improved by at least one NYHA class in 9 of 16 patients receiving losartan and 1 of 17 patients receiving placebo; Losartan increases peak exercise capacity and alleviates symptoms in patients with severely symptomatic CHF despite treatment with ACE inhibitors at maximum recommended or tolerated doses.",0,0
