record_id,title,abstract,keywords,authors,year,date,doi,label_included,label_abstract_screening,duplicate_record_id
1,"Binding Selectivity of Methanobactin from Methylosinus trichosporium OB3b for Copper(I), Silver(I), Zinc(II), Nickel(II), Cobalt(II), Manganese(II), Lead(II) and Iron(II)","Methanobactin (Mb) from Methylosinus trichosporium OB3b is a member of a class of metal-binding peptides identified in methanotrophic bacteria. Mb selectively binds and reduces Cu(II) to Cu(I) and is thought to mediate the acquisition of the copper cofactor for the enzyme methane monooxygenase. These copper-chelating properties of Mb make it potentially useful as a chelating agent in the treatment of diseases in which copper is implicated, including Wilson's disease, cancer, and neurodegenerative diseases. Using traveling wave ion mobility mass spectrometry (TWIMS), the competition for the Mb-copper binding site from Ag(I), Pb(II), Co(II), Fe(II), Mn(II), Ni(II ) , and Zn(II) was determined by a series of metal ion titrations, pH titrations, and metal ion displacement titrations. The TWIMS analyzes allowed for the explicit identification and quantification of all individual Mb species present during the titrations and measured their collision cross-sections and collision-induced dissociation patterns. The results showed that Ag(I) and Ni(II) bind irreversibly to Mb and could not be effectively displaced by Cu(I), while Ag(I) could also partially displace Cu(I) from the Mb complex. At pH = 6.5, Mb binding selectivity follows the order Ag(I)=Cu(I)>Ni(II)=Zn(II)>Co(II)>>Mn(II)=Pb(II)>Fe (II), and at pH 7.5 to 10.4 the order is Ag(I)>Cu(I)>Ni(II)>Co(II)>Zn(II)>Mn(II)=Pb(II )>Fe(II). ). Degradation curves of the disulfide-reduced Cu(I) and Ag(I) complexes showed that there was a correlation between their relative stability and their compact folded structure, indicated by their CCS. Fluorescence spectroscopy, which allowed the determination of the binding constant, correlated well with the TWIMS analyses, with the exception of the Ni(II) complex. Graphic summary.",,"McCabe, J. W.;Vangala, R.;Angel, L. A.",2017,1930-08-01 00:00:00,https://dx.doi.org/10.1007/s13361-017-1778-9,0,0,
2,Characteristics and prevalence of Wilson's disease: A 2013 population-based observational study in France,"BACKGROUND AND AIMS: Few epidemiological studies of the incidence and prevalence of Wilson's disease (WM) have been conducted to date, and the results vary widely by report. The aim of the study was to examine the prevalence, outpatient care and treatments of patients with WM in France. METHODS: Among the 58 million beneficiaries of the universal health insurance scheme (86% of the French population) in 2013, people treated for WM were enrolled based on a diagnosis of hospitalization in 2011-2013 or specific long-term disease status with 100% reimbursement identified for a specific healthcare provision in 2013. Data is from the Sniiram (National Health Insurance Information System database). The prevalence by age and gender was calculated. RESULTS: In 2013, 906 prevalent cases were identified, giving a rough prevalence of 1.5 cases per 100,000; 1.65 per 100,000 in males and 1.44 per 100,000 in females. This prevalence is comparable to that found in other population-based studies in European countries and to a study using a similar methodology. Almost 40% of the patients were treated with D-penicillamine and 14.3% with zinc acetate. Trientine, delivered on a compassionate basis, was not available in the reimbursement database. In 2013, 1.3% of patients underwent liver transplantation and 4% had previously undergone liver transplantation in previous years. Fifteen percent of patients received antidepressants, a higher rate than in the general population. CONCLUSIONS: This is the first population-based epidemiological study on WM in a large population in France based on administrative data and represents an important step towards understanding the impact of WM and examining the quality of care.",,"Poujois, A.;Woimant, F.;Samson, S.;Chaine, P.;Girardot-Tinant, N.;Tuppin, P.",2017,2022-06-01 00:00:00,https://dx.doi.org/10.1016/j.clinre.2017.05.011,0,1,
3,Treatment modality and possible outcome of Wilson's disease in Taiwan: A population-based longitudinal study,"BACKGROUND/PURPOSE: This study aimed to examine the epidemiology, drug preference and possible outcome of Wilson's disease in Taiwan. Our goal was to provide better therapeutic options for patients with Wilson's disease based on the data generated from this study. METHODS: We used the National Health Insurance Research Database (NHIRD), which stores clinical records for nearly 99% of Taiwan residents. The database used is a random sample of two million out of 23 million beneficiaries in Taiwan's NHIRD in 2005. The integrated medical records of these two million cases were collected from 2000 to 2011. Patients with Wilson's disease were identified as those with International Classification of Diseases, Ninth Revision (ICD-9) code 275.1 and the specific prescription medications (including D-penicillamine, zinc, and trientine) in either outpatient or inpatient records. RESULTS: During the study period, 66 cases of Wilson's disease were identified. The male to female ratio was 1.75. The mean prevalence rate was 1.81 per 100,000 and the mean annual diagnosis rate was 0.22 per 100,000. Diagnosis was mostly made between the ages of 20–24 and 10–14 years, followed by 25–29 years. Fifty-four of all subjects (81.8%) started treatment with D-penicillamine compared to zinc (12.1%) and trientine (6.1%). Of these 66 cases, 27 (40.9%) had cirrhosis and three (4.5%) underwent liver transplantation due to liver failure. CONCLUSIONS: D-penicillamine remains the most popular prescription for Wilson's disease, followed by zinc monotherapy. Although chronic liver damage cannot be avoided, a favorable potential outcome is evident in this population-based study. Copyright © 2017. Published by Elsevier BV",,"Tai, C. S.;Wu, J. F.;Chen, H. L.;Hsu, H. Y.;Chang, M. H.;Ni, Y. H.",2017,2001-06-01 00:00:00,https://dx.doi.org/10.1016/j.jfma.2017.05.008,1,1,
4,"The early history of manganese and the recognition of its neurotoxicity, 1837-1936","The history of biomedical recognition of manganese-induced neurotoxicity is also reflected, as is the ontology of parkinsonism. The first report of manganese-induced neurological injury was made by John Couper, a university doctor in Scotland, in 1837. He made it clear that the outbreak occurred among workers at the Charles Tennant bleach factory in the Glasgow area. The relatively new technology of chlorine generation using manganese was responsible for the novel exposure involved. At the time, this factory was the world's largest producer of hypochlorite bleach powder. During the 19th century, technological changes in steelmaking that required higher levels of manganese greatly increased demand for the metal. Nevertheless, more than six decades passed before the next reports of manganese neurotoxicity appeared. Two independent eruptions (both on continental Europe) were reported within a few weeks in 1901, one from Jaksch and the other from Embden. All housings were exposed to dust with a high manganese content. Up to the eve of the First World War, a total of 9 patients with manganese-related neurological diseases were reported in five separate continental European publications. Meanwhile, new technology led to another source of exposure. Magnetic separation techniques enabled the extraction of zinc from mixed ore that also contained iron and manganese, leading to the exploitation of a unique source of high manganese ore found in New Jersey. Not long after the introduction of this technology, Casamajor reported the first cases of manganism in the United States in 1912, detailing classic findings. Other cases from the same cohort were reported a few years later, with continued exposure due to World War I demand for manganese for use in armaments. The nosology of chronic manganese neurotoxicity has remained fluid, with significant emphasis on commonalities with Wilson's disease, a syndrome only recently described. A landmark 1924 primate study by Mella showed manganese-induced damage to basal ganglia; Data from human autopsy studies over the following years further supported the view that manganese toxicity constituted Parkinson's disease. As the 100th anniversary of Couper's first report neared, newer technologies (arc welding and battery manufacturing) were linked to manganese-related diseases even as mineral extraction increased as a global source of exposure. Copyright Published by Elsevier BV",,"Blanc, P. D.",2017,2014-04-01 00:00:00,https://dx.doi.org/10.1016/j.neuro.2017.04.006,0,0,
5,Zinc monotherapy for young children with presymptomatic Wilson's disease: a multicenter study in Japan,"BACKGROUND AND AIM: Few studies of zinc monotherapy in presymptomatic Wilson's disease have focused on young children. We therefore evaluated the long-term efficacy and safety of zinc monotherapy for such children and established benchmarks for maintenance therapy. METHODS: We retrospectively and prospectively studied children younger than 10 years of age with presymptomatic Wilson's disease who received zinc monotherapy from the time of diagnosis at 12 participating pediatric centers in Japan. RESULTS: Twenty-four patients met the entry criteria. Aspartate aminotransferase and alanine aminotransferase decreased significantly from 1 month after starting treatment and generally remained below 50 U/L from 1 to 8 years of treatment. 24-hour urinary copper decreased significantly at 6 months and usually remained below 75 micrograms/day and between 1 and 3 micrograms/kg/day for the remainder of the study. All patients continued to take zinc and none became symptomatic. In patients less than 6 years of age who received 50 mg/day zinc as an initial dose, aspartate aminotransferase and alanine aminotransferase decreased significantly 1 month after the start of treatment, as did gamma-glutamyltransferase and 24-hour urinary copper after 6 months. CONCLUSIONS: To our knowledge, this is the first multicenter study of zinc monotherapy in young children with presymptomatic Wilson's disease. Such monotherapy proved to be highly effective and safe. Maintaining normal transaminase levels (or below 50 U/L if normalization is difficult) and a 24-hour urinary copper excretion between 1 and 3 micrograms/kg/day and below 75 micrograms/day is a reasonable goal. A starting dose of 50 mg/day is suitable for patients under 6 years of age. Copyright This article is protected by copyright. All rights reserved.",,"Eda, K.;Mizuochi, T.;Iwama, I.;Inui, A.;Etani, Y.;Araki, M.;Hara, S.;Kumagai, H.;Hagiwara, S. I.;Murayama, K.;Murakami, J.;Shimizu, N.;Kodama, H.;Yasuda, R.;Takaki, Y.;Yamashita, Y.",2018,2028-04-01 00:00:00,https://dx.doi.org/10.1111/jgh.13812,0,0,
6,[Elastosis perforans serpiginosa and Wilson's disease: A rare but predictable consequence of long-term therapy with D-penicillamine],"Elastosis perfurans serpiginosa is a rare perforating dermatosis that occurs mainly in adolescents and young adults and is characterized by the transepidermal elimination of abnormal elastic fibers. The only drug known to be able to induce elastosis perfurans serpiginosa is D-penicillamine. We report the case of a 52-year-old woman with keratotic papules arranged in a ring-shaped pattern with a central glare and centrifugal growth, located in the anterior part of the neck. The patient was chronically treated with D-penicillamine for Wilson's disease. Lesion biopsy showed transepidermal elimination of thickened, eosinophilic, branched, sawtooth-like elastic fibers. The clinical and pathologic findings were consistent with serpiginous perfuration elastosis secondary to D-penicillamine. It is estimated that elastosis perfurans serpiginosa occurs in 1% of patients treated with D-penicillamine. By directly or indirectly blocking the desmosin crosslinks between elastin molecules, D-penicillamine leads to the synthesis of abnormal dermal and extracutaneous elastic fibers. Elastosis perfurans serpiginosa may be the first manifestation of a multisystemic degenerative process of elastic connective tissue.",,"Castro Pinho, A.;Cardoso, J. C.;Gouveia, M.;Oliveira, H.",2016,Mar,https://dx.doi.org/10.20344/amp.6749,0,0,
7,Combination therapy with chelating agents and zinc in Wilson's disease,"There is no clear international consensus on the optimal drug therapy for the treatment of Wilson's disease (WD). This study systematically reviews the efficacy of various commonly used drug therapies and specifically focuses on preliminary results on the combination of a chelating agent with zinc. A systematic PubMed search was conducted to find original studies published between January 1989 and August 2014 on the efficacy of commonly used drugs for WM. The results were used to conduct a systematic review of trials of combination therapies. A total of 17 studies on combination therapy with 1056 patients were reviewed. These were analyzed for data on efficacy, side effects and mortality. The results of a pooled analysis indicate that combination therapies were significantly less effective in liver patients than the same therapies for neurological manifestations (47.1 vs. 78.6%; pooled relative risk ratio (RR): 0.63, 95% confidence interval CI 0.43-0.94; p=0.02). Data from a subgroup analysis show that penicillamine plus zinc sulfate combination therapy resulted in a significantly higher mortality rate compared to all other combination therapies (16.3 vs. 4.7%; RR: 3.51, 95% CI 1.54-8 .00; p < 0.001 ). The use of zinc-chelating agent combination therapies should be carefully monitored by close clinical observation and frequent biochemical testing, particularly in WM patients with hepatic manifestations.",,"Chen, J. C.;Chuang, C. H.;Wang, J. D.;Wang, C. W.",2015,,https://dx.doi.org/10.1007/s40846-015-0087-7,0,0,
8,Long-term effects of a combination of D-penicillamine and zinc salts in the treatment of Wilson's disease in children,"The aim of this study was to investigate the efficacy of a combination of high-dose zinc sulfate and low-dose D-penicillamine in the treatment of pediatric Wilson's disease (WD). A retrospective file review of 65 patients with WD was performed. These patients received D-penicillamine (8-10 mg/kg/day) and zinc sulfate as primary treatment. The pediatric dose of elemental zinc is 68 to 85 mg/day by age 6, 85 to 136 mg/day by age 8, 136 to 170 mg/day by age 10, and then 170 mg/day by age Day 3 divided doses 1 h before meals. After clinical and biochemical improvement or stabilization, zinc sulfate alone was administered as maintenance therapy. On treatment, the majority of patients (89.2%) had a favorable outcome and 3 patients died due to poor therapy compliance. No penicillamine-induced neurological deterioration was noted and adverse events were observed in <11% of patients throughout the follow-up period. Beneficial results on liver and neurological symptoms have been reported after extremely long-term treatment with a combination of low-dose D-penicillamine and high-dose zinc sulfate. Therefore, this regimen is an effective and safe treatment for children with WM.",,"Chang, H.;Xu, A.;Chen, Z.;Zhang, Y.;Tian, F.;Li, T.",2013,Apr,https://dx.doi.org/10.3892/etm.2013.971,0,0,
9,Brain delivery of zinc ions as a potential treatment for neurological disorders: mini-review,"Homeostasis of metal ions like Zn(2+) is essential for proper brain function. In addition, the list of psychiatric and neurodegenerative disorders involving dysregulation of brain Zn(2+) levels is long and growing, including Parkinson's and Alzheimer's diseases, as well as schizophrenia, attention-deficit and hyperactivity disorder, depression, amyotrophic lateral sclerosis , Down syndrome, multiple sclerosis, Wilson's disease and Pick's disease. In addition, changes in Zn(2+) levels are seen in transient forebrain ischemia, seizures, traumatic brain injury, and alcoholism. Therefore, the ability to alter brain Zn(2+) levels becomes a new target for the prevention and treatment of psychiatric and neurological diseases. Although the role of Zn(2+) in the brain has been extensively studied over the past few decades, methods for the controlled regulation and manipulation of Zn(2+) concentrations in the brain are still in their infancy. Because the use of dietary Zn(2+) supplementation and restriction has major limitations, new methods and alternative approaches are being explored, such as: B. Use of intracranial infusion of Zn(2+) chelators or nanoparticle technologies to increase or decrease intracellular Zn(2+) levels. Therefore, this review briefly summarizes the role of Zn(2+) in psychiatric and neurodegenerative diseases and highlights the key findings and obstacles to manipulating Zn(2+) levels in the brain. In addition, some methods and compounds, such as B. Metal ion chelation, redistribution and supplementation used to control brain Zn(2+) levels for the treatment of brain disorders.",,"Grabrucker, A. M.;Rowan, M.;Garner, C. C.",2011,Sep,,0,0,
10,Copper dyshomeostasis in Wilson's disease and Alzheimer's disease as shown by serum and urine copper indicators,"Abnormal exposure to copper is the cause of Wilson's disease (WD), a rare condition characterized by elevated plasma levels of copper that are not bound to ceruloplasmin (nCp-Cu, also known as ""free"" copper). In Alzheimer's disease (AD), meta-analysis shows that copper decreases in the brain but increases in serum due to the increase in the nCp-Cu component. Despite the similarities, a direct comparison of the biological status of copper in the two diseases has never been made. To fill this gap, we evaluated serum copper, ceruloplasmin, nCp-Cu and Cu:Cp in 385 CE and 336 healthy controls previously screened and compared them to 9 newly diagnosed WM patients. We then examined the 24-hour urinary copper excretion in 24 WM patients on D-penicillamine (D-Pen) treatment and in 35 healthy controls and compared the results to those in AD patients participating in a previously published study Phase II clinical study with D-Pen. Adjusted for sex and age, serum nCp-Cu and Cu:Cp resulted in higher values in AD and WD than in healthy controls (both p<0.001). While nCp-Cu was similar between AD and WD, Cu:Cp was higher in WD (p<0.016). 24-hour urinary copper excretion was higher in AD patients (12.05 mg/day) than in healthy controls (4.82 mg/day; p<0.001). 77.8% of AD patients on D-Pen treatment had a 24-hour urinary output greater than 200 mg/day, indicating copper control failure. This study provides new insight into the pathophysiology of copper homeostasis in AD, demonstrating failure of copper control and the Cu:Cp ratio as a useful marker.",,"Squitti, R.;Ghidoni, R.;Simonelli, I.;Ivanova, I. D.;Colabufo, N. A.;Zuin, M.;Benussi, L.;Binetti, G.;Cassetta, E.;Rongioletti, M.;Siotto, M.",2018,Jan,https://dx.doi.org/10.1016/j.jtemb.2017.11.005,0,0,
