record_id,title,abstract,keywords,authors,year,date,doi,label_included,label_abstract_screening,duplicate_record_id
1,"Methylosinus trichosporium OB3b methanobactin binding selectivity for copper(I), silver(I), zinc(II), nickel(II), cobalt(II), manganese(II), lead(II), and iron(II)","Methanobactin (Mb) from Methylosinus trichosporium OB3b is a member of a class of metal-binding peptides identified in methanotrophic bacteria. Mb will selectively bind and reduce Cu(II) to Cu(I), and is believed to mediate the acquisition of the copper cofactor for the enzyme methane monooxygenase. These copper-chelating properties of Mb make it potentially useful as a chelating agent for the treatment of diseases in which copper plays a role, including Wilson's disease, cancers, and neurodegenerative diseases. Using traveling wave ion mobility mass spectrometry (TWIMS), the competition for the copper binding site Mb from Ag(I), Pb(II), Co(II), Fe(II), Mn(II) , Ni(II), and Zn(II) have been determined by a series of metal ion titrations, pH titrations, and metal ion displacement titrations. TWIMS analyzes allowed the explicit identification and quantification of all individual Mb species present during the titrations and measured their collision cross-sections and collision-induced dissociation patterns. The results showed that Ag(I) and Ni(II) could irreversibly bind to Mb and not be effectively displaced by Cu(I), while Ag(I) could also partially displace Cu(I) from the Mb complex. = 6.5, the Mb binding selectivity follows the order Ag(I)=Cu(I)>Ni(II)=Zn(II)>Co(II)>>Mn(II)=Pb(II)> Fe(II), and at pH 7.5 to 10.4 the order is Ag(I)>Cu(I)>Ni(II)>Co(II)>Zn(II)>Mn(II)=Pb(II )>Fe(II) ). The decomposition curves of the disulfide-reduced Cu(I) and Ag(I) complexes showed that there was a correlation between their relative stability and their close folded structure indicated by their CCS. Fluorescence spectroscopy, which allowed determination of the binding constant, compared well with TWIMS analyses, with the exception of the Ni(II) complex. Graphically Abstract .",,"McCabe, J. W.;Vangala, R.;Angel, L. A.",2017,1930-08-01 00:00:00,https://dx.doi.org/10.1007/s13361-017-1778-9,0,0,
2,Characteristics and prevalence of Wilson's disease: a 2013 observational population-based study in France,"BACKGROUND AND OBJECTIVES: Few epidemiological studies of the incidence and prevalence of Wilson's disease (WD) have been conducted to date, and results vary widely depending on reports. The aim of the study was to investigate the prevalence, outpatient care, and treatments of WD patients in France. METHODS: Among the 58 million beneficiaries of the general health regime (86% of the French population), people managed by ET in 2013 were identified by diagnosis of hospitalization in 2011-2013 or specific long-term disease status with a reimbursement 100% for specific healthcare in 2013. Data derived from Sniiram (National Health Insurance Information System database). Prevalence was calculated by age and sex. RESULTS: In 2013, 906 prevalent cases were identified, yielding a gross prevalence of 1.5 cases per 100,000; 1.65 per 100,000 in men and 1.44 per 100,000 in women. This prevalence is comparable to that reported in other population-based studies in European countries and to a study that used a similar method. Almost 40% of the patients were treated with D-penicillamine and 14.3% with zinc acetate. Trientine, compassionate release, was not available in the reimbursement database. In 2013, 1.3% of patients underwent liver transplantation and 4% had already undergone liver transplantation in previous years. Fifteen percent of patients received antidepressants, a higher rate than in the general population. CONCLUSIONS: This is the first French population-based epidemiological study of WD in a comprehensive population based on administrative data and constitutes an important step in understanding the impact of WD and studying quality of care.",,"Poujois, A.;Woimant, F.;Samson, S.;Chaine, P.;Girardot-Tinant, N.;Tuppin, P.",2017,2022-06-01 00:00:00,https://dx.doi.org/10.1016/j.clinre.2017.05.011,0,1,
3,Treatment Modality and Potential Outcome of Wilson's Disease in Taiwan: A Population-Based Longitudinal Study,"BACKGROUND/PURPOSE: This study aimed to investigate the epidemiology, medication preference, and potential outcome of Wilson's disease in Taiwan. Our goal was to provide better therapeutic options for patients with Wilson's disease based on the data generated from this study. METHODS: We used the National Health Insurance Research Database (NHIRD), which stores clinical records for nearly 99% of Taiwan residents. The database used is a random sample of two million of Taiwan's 23 million NHIRD beneficiaries in 2005. The integrated medical records of these two million cases were collected between 2000 and 2011. Subjects with Wilson's disease were identified such as those with international disease. Classification of Diseases, Ninth Revision (ICD-9) code 275.1 and specific prescription drugs (including d-penicillamine, zinc, and trientine) in inpatient or outpatient records. RESULTS: During the study period, 66 cases of Wilson's disease were identified. The male:female ratio was 1.75. The average prevalence rate was 1.81 per 100,000 and the average annual diagnosis rate was 0.22 per 100,000. The diagnosis was established mainly at 20-24 and 10-14 years, followed by 25-29 years. Fifty-four of all subjects (81.8%) started treatment with d-penicillamine, compared with zinc (12.1%) and trientine (6.1%). Among these 66 cases, 27 (40.9%) had liver cirrhosis and three (4.5%) underwent liver transplantation for liver failure. CONCLUSIONS: D-penicillamine remains the most popular prescription for Wilson's disease, followed by zinc monotherapy. Although chronic liver injury cannot be avoided, a potential favorable outcome is well demonstrated in this population-based study. Copyright © 2017. Published by Elsevier BV",,"Tai, C. S.;Wu, J. F.;Chen, H. L.;Hsu, H. Y.;Chang, M. H.;Ni, Y. H.",2017,2001-06-01 00:00:00,https://dx.doi.org/10.1016/j.jfma.2017.05.008,1,1,
4,"The early history of manganese and the recognition of its neurotoxicity, 1837-1936","The history of biomedical recognition of manganese neurotoxicity reflects changing technologies as well as the ontology of parkinsonism. The initial 1837 report of manganese-induced neurological injury was by John Couper, a Scottish university physician. He clarified that the outbreak occurred among workers at the Charles Tennant bleach factory near Glasgow. The relatively new technology of chlorine generation using manganese accounted for the new exposure involved. At the time, this factory was the largest producer of hypochlorite bleaching powder in the world. As the 19th century progressed, technological change in steelmaking requiring higher manganese content greatly increased the demand for the metal. However, more than six decades elapsed before the next reports of manganese neurotoxicity emerged. Two unrelated outbreaks (both in continental Europe) were reported within weeks of each other in 1901, one by von Jaksch and the other by Embden. All cabinets were heavily exposed to dust containing manganese. On the eve of World War I, a total of 9 patients with neurological diseases caused by manganese had been reported in five separate publications from continental Europe. Meanwhile, new technology led to another source of exposure. Magnetic separation techniques allowed the extraction of zinc from mixed ores that also contained iron and manganese, leading to the exploitation of a unique source of high-manganese ores found in New Jersey. Not long after the introduction of that technology, in 1912 Casamajor reported the first cases of manganism in the US, detailing classic findings. Additional cases from the same cohort were reported a few years later, with continued exposure fueled by World War I-driven demand for manganese for use in weaponry. The nosology of chronic manganese neurotoxicity remained in flux, with considerable emphasis on shared attributes with Wilson's disease, a newly described syndrome at the time. A landmark study of primates in 1924 by Mella showed manganese-induced basal ganglia damage; Human autopsy study data in subsequent years further supported the view that manganese toxicity represented a Parkinsonian syndrome. As the 1937 centennial of Couper's first report approached, newer technologies (electric arc welding and battery manufacturing) were being linked to illnesses caused by manganese, even as mineral extraction was expanding as a global source. of exposition. Copyright Published by Elsevier BV",,"Blanc, P. D.",2017,2014-04-01 00:00:00,https://dx.doi.org/10.1016/j.neuro.2017.04.006,0,0,
5,Zinc monotherapy for young children with presymptomatic Wilson's disease: a multicenter study in Japan.,"BACKGROUND AND OBJECTIVE: Few studies of zinc monotherapy for presymptomatic Wilson's disease have focused on young children. Therefore, we evaluated the long-term efficacy and safety of zinc monotherapy for these children and established benchmarks for maintenance therapy. METHODS: We retrospectively and prospectively examined children younger than 10 years with presymptomatic Wilson's disease who received zinc monotherapy from the time of diagnosis at 12 participating pediatric centers in Japan. RESULTS: Twenty-four patients met the entry criteria. Aspartate aminotransferase and alanine aminotransferase decreased significantly from 1 month after the start of treatment and generally remained below 50 U/L from 1 to 8 years of treatment. Twenty-four-hour urinary copper decreased significantly at 6 months and generally remained below 75 microg/day and between 1 and 3 microg/kg/day for the remainder of the study. All patients continued to take zinc and none became symptomatic. In patients under 6 years of age who received 50 mg/day of zinc as the initial dose, aspartate aminotransferase and alanine aminotransferase decreased significantly one month after starting treatment, as did gamma-glutamyltransferase and 24-hour urine copper. the 6 months. CONCLUSIONS: To our knowledge, this is the first multicenter study of zinc monotherapy for young children with presymptomatic Wilson's disease. Such monotherapy proved to be highly effective and safe. Maintaining normal transaminase values (or less than 50 U/L when normalization is difficult) and a 24-hour urinary copper excretion between 1 and 3 microg/kg/day and below 75 microg/day is a reasonable goal. An initial dose of 50 mg/day is suitable for patients under 6 years of age. Copyright This article is protected by copyright. All rights reserved.",,"Eda, K.;Mizuochi, T.;Iwama, I.;Inui, A.;Etani, Y.;Araki, M.;Hara, S.;Kumagai, H.;Hagiwara, S. I.;Murayama, K.;Murakami, J.;Shimizu, N.;Kodama, H.;Yasuda, R.;Takaki, Y.;Yamashita, Y.",2018,2028-04-01 00:00:00,https://dx.doi.org/10.1111/jgh.13812,0,0,
6,[Elastosis perforans serpiginosa and Wilson's disease: a rare but predictable consequence of long-term therapy with D-penicillamine],"Elastosis perfurans serpiginosa is a rare perforating dermatosis found mainly in adolescents and young adults, characterized by transepidermal shedding of abnormal elastic fibers. The only known drug capable of inducing elastosis perfurans serpiginosa is D-penicillamine. We present the case of a 52-year-old woman with keratotic papules arranged in an annular pattern with central clearing and centrifugal growth, located in the anterior cervical region. The patient was chronically treated with D-penicillamine for Wilson's disease. Biopsy of the lesion showed transepidermal removal of thickened, eosinophilic, branched, sawtooth-shaped elastic fibers. The clinicopathological findings were compatible with elastosis perfurans serpiginosa secondary to D-penicillamine. Elastosis perfurans serpiginosa is estimated to occur in 1% of patients treated with D-penicillamine. By directly or indirectly blocking desmosine cross-links between elastin molecules, D-penicillamine leads to the synthesis of abnormal dermal and extracutaneous elastic fibers. Elastosis perfurans serpiginosa may be the first manifestation of a multisystemic degenerative process of the elastic connective tissue.",,"Castro Pinho, A.;Cardoso, J. C.;Gouveia, M.;Oliveira, H.",2016,Mar,https://dx.doi.org/10.20344/amp.6749,0,0,
7,Combination therapy with chelating agent and zinc for Wilson's disease,"There is no clear international consensus on the optimal pharmacological treatment for the treatment of Wilson's disease (WD). This study systematically reviews the effectiveness of several commonly used drug therapies, focusing specifically on preliminary findings related to the combination of a chelating agent and zinc. A systematic search of PubMed was performed to locate original studies on the effectiveness of commonly used medications for WD published between January 1989 and August 2014. The results were used to conduct a systematic review of studies on combination therapies. A total of 17 combination therapy studies involving 1056 patients were reviewed. These were analyzed in terms of data on effectiveness, adverse effects and mortality. The results of a pooled analysis indicate that combination therapies for liver patients were significantly less effective than the same therapies for neurological manifestations (47.1% vs 78.6%; pooled relative risk (RR): 0.63, CI 95% confidence interval: 0.43-0.94, p = 0.02). Data from a subgroup analysis show that penicillamine plus zinc sulfate combination therapy resulted in a significantly higher mortality rate compared to all other types of combination therapy (16.3% vs 4.7%; RR: 3 .51, 95% CI: 1.54-8.00, p < 0.001). The use of combination therapies involving zinc and a chelator should be carefully monitored with close clinical observations and frequent biochemical testing, especially for patients with WD with hepatic manifestations.",,"Chen, J. C.;Chuang, C. H.;Wang, J. D.;Wang, C. W.",2015,,https://dx.doi.org/10.1007/s40846-015-0087-7,0,0,
8,Long-term effects of a combination of D-penicillamine and zinc salts in the treatment of Wilson's disease in children.,"The objective of this study was to investigate the efficacy of a combination of high-dose zinc sulfate and low-dose D-penicillamine in the treatment of pediatric Wilson's disease (WD). A retrospective chart review of 65 WD patients was performed. These patients received D-penicillamine (8-10 mg/kg/day) and zinc sulfate as primary treatment. The pediatric dose of elemental zinc is 68-85 mg/day up to 6 years, 85-136 mg/day up to 8 years, 136-170 mg/day up to 10 years, and then 170 mg/day, in 3 doses. divided 1 h before meals. After clinical and biochemical improvement or stabilization, zinc sulfate was administered alone as maintenance therapy. Under treatment, most patients (89.2%) had a favorable evolution and 3 patients died due to poor compliance with therapy. No penicillamine-induced neurological impairment was observed, and side effects were observed in <11% of patients throughout the follow-up period. Beneficial results for liver and neurological symptoms have been reported after extremely long-term treatment with a combination of low-dose D-penicillamine and high-dose zinc sulfate. Therefore, this regimen is an effective and safe treatment for children with WD.",,"Chang, H.;Xu, A.;Chen, Z.;Zhang, Y.;Tian, F.;Li, T.",2013,Apr,https://dx.doi.org/10.3892/etm.2013.971,0,0,
9,Brain delivery of zinc ions as a potential treatment for neurological diseases: Mini review,"Homeostasis of metal ions such as Zn(2+) is essential for proper brain function. In addition, the list of psychiatric and neurodegenerative disorders involving dysregulation of brain levels of Zn(2+) is long and constantly growing, including Parkinson's and Alzheimer's, as well as schizophrenia, attention deficit disorder, and hyperactivity, depression, amyotrophic lateral sclerosis, Down syndrome. syndrome, multiple sclerosis, Wilson's disease and Pick's disease. In addition, alterations in Zn(2+) levels are seen in transient forebrain ischemia, seizures, traumatic brain injury, and alcoholism. Therefore, the possibility of altering Zn(2+) levels within the brain is emerging as a new target for the prevention and treatment of psychiatric and neurological diseases. Although the role of Zn(2+) in the brain has been extensively studied during the last decades, methods for the controlled regulation and manipulation of Zn(2+) concentrations within the brain are still in their infancy. Since the use of Zn(2+) supplementation and dietary restrictions has significant limitations, new methods and alternative approaches are currently being investigated, such as the use of intracranial infusion of Zn(2+) chelators or nanoparticle technologies to elevate or decrease intracellular Zn. (2+) levels. Therefore, this review briefly summarizes the role of Zn(2+) in psychiatric and neurodegenerative diseases and highlights the key findings and impediments of manipulating the level of Zn(2+) in the brain. In addition, some methods and compounds are evaluated, such as metal ion chelation, redistribution and supplementation that are used to control brain levels of Zn(2+) to treat brain disorders.",,"Grabrucker, A. M.;Rowan, M.;Garner, C. C.",2011,Sep,,0,0,
10,Copper dyshomeostasis in Wilson's disease and Alzheimer's disease as shown by serum and urine copper indicators,"Abnormal handling of copper is the cause of Wilson's disease (WD), a rare disorder characterized by elevated levels of plasma copper not bound to ceruloplasmin (nCp-Cu, also known as ""free"" copper). In Alzheimer's disease (AD), meta-analyses show that copper is decreased in brain but increased in serum, due to an increase in the nCp Cu component. Despite the similarities, a direct comparison of the biological status of copper in the two diseases has never been carried out. To fill this gap, we evaluated serum copper, ceruloplasmin, nCp-Cu, and Cu:Cp in 385 CE and 336 previously investigated healthy controls who were compared with 9 newly diagnosed WD patients. We then evaluated 24-hour urinary copper excretion in 24 WD patients treated with D-penicillamine (D-pen) and in 35 healthy controls, and compared the results with those of AD patients who participated in a clinical trial of phase II with D-pen previously published. After adjusting for sex and age, serum Cu-nCp and Cu:Cp were higher in AD and WD than in healthy controls (both p<0.001). While nCp-Cu was similar between AD and WD, Cu:Cp was higher in WD (p<0.016). The 24-h urine copper excretion in patients with AD (12.05 µg/day) was higher than in healthy controls (4.82 µg/day; p<0.001). 77.8% of AD patients treated with D-pen had a 24-hour urinary excretion greater than 200 ug/day, suggesting failure of copper control. This study provides new insights into the pathophysiology of copper homeostasis in AD, showing a failure to control copper and the Cu:Cp ratio as an eligible marker.",,"Squitti, R.;Ghidoni, R.;Simonelli, I.;Ivanova, I. D.;Colabufo, N. A.;Zuin, M.;Benussi, L.;Binetti, G.;Cassetta, E.;Rongioletti, M.;Siotto, M.",2018,Jan,https://dx.doi.org/10.1016/j.jtemb.2017.11.005,0,0,
