record_id,title,abstract,keywords,authors,year,date,doi,label_included,label_abstract_screening,duplicate_record_id
1,"Binding Selectivity of Methanobactinin from Methylosinus trichosporium OB3b for Copper(I), Silver(I), Zinc(II), Nickel(II), Cobalt(II), Manganese(II), Lead(II) and Iron(II)","Methanobactin (Mb) from Methylosinus trichosporium OB3b is a member of a class of metal-binding peptides identified in methanotrophic bacteria. Mb will selectively bind and reduce Cu(II) to Cu(I) and is thought to mediate the acquisition of the copper cofactor for the methane monooxygenase enzyme. These copper chelating properties of Mb make it potentially useful as a chelating agent for the treatment of diseases in which copper plays a role, including Wilson's disease, cancers, and neurodegenerative diseases. Competition for Mb copper binding site from Ag(I), Pb(II), Co(II), Fe(II), Mn(II), Ni(II) using traveling wave ion mobility-mass spectrometry (TWIMS), and Zn(II) was determined by a series of metal ion titrations, pH titrations, and metal ion displacement titrations. TWIMS analyzes allowed the unambiguous identification and quantification of all individual Mb species present during the titrations and quantified their collision cross-sections and collision-induced dissociation patterns. The results showed that Ag(I) and Ni(II) can bind irreversibly to Mb and not be effectively displaced by Cu(I), whereas Ag(I) can partially replace Cu(I) from the Mb complex. . At pH = 6.5, the Mb binding selectivity follows the order Ag(I)=Cu(I)>Ni(II)=Zn(II)>Co(II)>>Mn(II)=Pb(II)>Fe(. II) and at pH 7.5 to 10.4 the order is Ag(I)>Cu(I)>Ni(II)>Co(II)>Zn(II)>Mn(II)=Pb(II)>Fe(II) . ). The fragmentation curves of disulfide-reduced Cu(I) and Ag(I) complexes showed a correlation between their relative stability and compact folded structure as indicated by their CCS. Fluorescence spectroscopy, which allows determination of the binding constant, compares well with TWIMS analyzes except for the Ni(II) complex. Graphic abstract.",,"McCabe, J. W.;Vangala, R.;Angel, L. A.",2017,1930-08-01 00:00:00,https://dx.doi.org/10.1007/s13361-017-1778-9,0,0,
2,Characteristics and prevalence of Wilson's disease: an observational population-based study in France in 2013.,"BACKGROUND AND OBJECTIVES: To date, only a few epidemiological studies have been conducted on the incidence and prevalence of Wilson's disease (WD), and results vary widely according to reports. The aim of the study was to investigate the prevalence, outpatient care and treatment of patients with WD in France. METHODS: Among 58 million general health program beneficiaries (86% of the French population), persons administered for WH in 2013 were identified using diagnosis of hospitalization in 2011-2013 or certain long-term disease states with 100% reimbursement for certain health services . 2013. Data obtained from Sniiram (National Health Insurance Information System database). Prevalence was calculated according to age and gender. RESULTS: In 2013, 906 common cases were identified, resulting in a crude prevalence of 1.5 cases per 100,000; 1.65 per 100,000 for men and 1.44 per 100,000 for women. This prevalence is comparable to that reported in other population-based studies in European countries and a study using a similar method. Approximately 40% of patients were treated with D-penicillamine and 14.3% were treated with zinc acetate. Trientine delivered on the basis of compassion was not available in the reimbursement database. In 2013, 1.3% of patients had a liver transplant and 4% had a liver transplant in previous years. 15 percent of patients took antidepressants at a higher rate than the general population. CONCLUSIONS: This is the first French population-based epidemiological study of WD in a comprehensive population based on administrative data and represents an important step towards understanding the impact of WD and examining quality of care.",,"Poujois, A.;Woimant, F.;Samson, S.;Chaine, P.;Girardot-Tinant, N.;Tuppin, P.",2017,2022-06-01 00:00:00,https://dx.doi.org/10.1016/j.clinre.2017.05.011,0,1,
3,Treatment modality and potential outcome for Wilson's disease in Taiwan: A population-based longitudinal study.,"BACKGROUND/OBJECTIVE: This study aimed to investigate the epidemiology, drug preference and possible consequences of Wilson's disease in Taiwan. Based on the data from this study, we aimed to provide better treatment options for patients with Wilson's disease. METHODS: We used the National Health Insurance Research Database (NHIRD), which maintains the clinical records of approximately 99% of Taiwanese residents. The database used is a random sample of two million out of 23 million beneficiaries in Taiwan's NHIRD region in 2005. Integrated medical records of these two million cases were collected from 2000 to 2011. Subjects of Wilson's disease, International Classification of Diseases, Ninth Revision (ICD-9) code 275.1 and specific prescription drugs (including d-penicillamine, zinc, and trientine) in the outpatient or inpatient registry. RESULTS: During the study, 66 cases of Wilson's disease were detected. The male female ratio was 1.75. The mean prevalence rate was 1.81 per 100,000 and the mean annual diagnosis rate was 0.22 per 100,000. The diagnosis was mostly made at the ages of 20-24 and 10-14, followed by the ages of 25-29. Fifty-four (81.8%) of all subjects started treatment with d-penicillamine compared to zinc (12.1%) and trientine (6.1%). Liver transplantation was performed in 27 (40.9%) of these 66 cases due to liver cirrhosis and three (4.5%) due to liver failure. CONCLUSIONS: d-penicillamine is still the most popular prescription for Wilson's disease, followed by zinc monotherapy. Although chronic liver injury cannot be avoided, a positive potential outcome is well demonstrated in this population-based study. Copyright Â© 2017. Published by Elsevier BV",,"Tai, C. S.;Wu, J. F.;Chen, H. L.;Hsu, H. Y.;Chang, M. H.;Ni, Y. H.",2017,2001-06-01 00:00:00,https://dx.doi.org/10.1016/j.jfma.2017.05.008,1,1,
4,"Early history of manganese and recognition of its neurotoxicity, 1837-1936","Biomedical recognition reflects technologies ranging from the history of manganese-induced neurotoxicity to the ontology of parkinsonism. The first 1837 report of neurological injury from manganese was made by John Couper, a doctor at the university in Scotland. He made it clear that the outbreak occurred among workers at the Charles Tennant bleach factory near Glasgow. The relatively new technology of chlorine production using manganese was responsible for the new exposure involved. At that time this factory was the world's largest producer of hypochlorite bleach powder. As the 19th century progressed, the technological change in steel production requiring higher manganese content greatly increased the demand for the metal. However, more than six decades passed before the next reports of manganese neurotoxicity appeared. Two unrelated outbreaks (both in Continental Europe) were reported within weeks in 1901, one by von Jaksch and the other by Embden. All cases were heavily exposed to dust containing manganese. On the eve of the First World War, a total of 9 patients with manganese-induced neurological disease were reported in five separate Continental European publications. Meanwhile, new technology has given way to another source of exposure. Magnetic separation techniques also allowed the extraction of zinc from mixed ore containing iron and manganese, leading to the exploitation of a unique high manganese content ore resource found in New Jersey. Shortly after the introduction of this technology, in 1912 Casamajor reported the first US cases of manganism detailing the classical findings. Several years later, additional cases were reported from the same cohort, and continued exposure due to World War I demand for manganese for use in armaments. The nosology of chronic manganese neurotoxicity remained in flux only with great emphasis on common features with Wilson's disease, a recently described syndrome. A groundbreaking 1924 primate study by Mella demonstrated manganese-induced basal ganglia damage; Human autopsy study data in the years that followed further supported the view that manganese toxicity represented a Parkinson's syndrome. As the 1937 centenary of Couper's first report approaches, newer technologies (electric arc welding and battery making) have been linked to manganese-related diseases, even as mineral extraction is expanding as a global source of exposure. Copyright Published by Elsevier BV",,"Blanc, P. D.",2017,2014-04-01 00:00:00,https://dx.doi.org/10.1016/j.neuro.2017.04.006,0,0,
5,Zinc monotherapy for young children with presymptomatic Wilson's disease: a multicenter study in Japan.,"BACKGROUND AND OBJECTIVE: Few studies of zinc monotherapy for presymptomatic Wilson's disease have focused on young children. Therefore, we evaluated the long-term efficacy and safety of zinc monotherapy for such children and established criteria for maintenance therapy. METHODS: We retrospectively and prospectively examined children under 10 years of age with presymptomatic Wilson's disease who received zinc monotherapy from the time of diagnosis at 12 participating pediatric centers in Japan. RESULTS: Twenty-four patients met the entry criteria. Aspartate aminotransferase and alanine aminotransferase were significantly reduced starting 1 month after the start of treatment and generally remained below 50 U/L after 1 to 8 years of treatment. Twenty-four-hour urinary copper decreased significantly at 6 months and generally remained below 75 microg/day and between 1 and 3 microg/kg/day for the remainder of the study. All patients continued to take zinc and none became symptomatic. In patients younger than 6 years of age receiving 50 mg/day of zinc as an initial dose, aspartate aminotransferase and alanine aminotransferase were significantly reduced at 1 month after the start of treatment, and gamma-glutamyltransferase and 24-hour urinary copper at 6 months. CONCLUSIONS: To our knowledge, this is the first multicenter study of zinc monotherapy for young children with presymptomatic Wilson's disease. Such monotherapy has proven to be quite effective and safe. It is a reasonable target to maintain normal transaminase values (or values below 50 U/L, which is difficult to normalize) and 24-hour urinary copper excretion between 1 and 3 microg/kg/day and below 75 microg/day. A starting dose of 50 mg/day is suitable for patients under 6 years of age. Copyright This article is protected by copyright. All rights reserved.",,"Eda, K.;Mizuochi, T.;Iwama, I.;Inui, A.;Etani, Y.;Araki, M.;Hara, S.;Kumagai, H.;Hagiwara, S. I.;Murayama, K.;Murakami, J.;Shimizu, N.;Kodama, H.;Yasuda, R.;Takaki, Y.;Yamashita, Y.",2018,2028-04-01 00:00:00,https://dx.doi.org/10.1111/jgh.13812,0,0,
6,[Elastosis Perforans Serpiginosa and Wilson's Disease: A Rare But Predictable Outcome of Long-Term Treatment with D-Penicillamine],"Elastosis perfurans serpiginosa is a rare perforating dermatosis characterized by transepidermal elimination of abnormal elastic fibers, mainly found in adolescents and young adults. The only drug known to induce elastosis perfurans serpiginosa is D-penicillamine. We present a 52-year-old female patient with keratotic papules located in the anterior cervical region, in an annular pattern with central clarification and centrifugal enlargement. The patient was chronically treated with D-penicillamine for Wilson's disease. The lesion biopsy showed transepidermal elimination of thickened, eosinophilic, branched, sawtooth-like elastic fibers. Clinical and pathological findings were consistent with elastosis perfurans serpiginosa secondary to D-penicillamine. Elastosis perfurans serpiginosa is estimated to occur in 1% of patients treated with D-penicillamine. D-penicillamine directly or indirectly blocks the desmosine cross-links between elastin molecules, leading to the synthesis of abnormal dermal and extracutaneous elastic fibers. Elastosis perfurans serpiginosa may be the first manifestation of a multisystemic degenerative process of elastic connective tissue.",,"Castro Pinho, A.;Cardoso, J. C.;Gouveia, M.;Oliveira, H.",2016,Mar,https://dx.doi.org/10.20344/amp.6749,0,0,
7,Combination Therapy Using Chelation Agent and Zinc for Wilson's Disease,"There is no clear international consensus on the optimal drug therapy for the treatment of Wilson's disease (WD). This study systematically reviews the efficacy of various commonly used drug therapies, focusing specifically on the preliminary findings regarding a chelating agent and zinc combination. A systematic PubMed search was conducted between January 1989 and August 2014 to find original studies of the efficacy of commonly used drugs for WD. The results were used to conduct a systematic review of studies on combination therapies. A total of 17 combination therapy studies involving 1056 patients were reviewed. These were analyzed for data on efficacy, adverse events, and mortality. Results from a pooled analysis show that combination treatments for liver disease are significantly less effective than the same treatments for neurological symptoms (47.1% vs. 78.6%; pooled relative hazard ratio (RR): 0.63, 95% confidence interval CI 0.43- 0.94; p = 0.02). Data from a subgroup analysis show that penicillamine plus zinc sulfate combination therapy resulted in a significantly higher mortality rate than all other types of combination therapy (4.7% vs 16.3%; RR: 3.51, 95% CI 1.54-8.00; p < 0.001). The use of combination therapies containing zinc and a chelator should be carefully monitored with close clinical observation and frequent biochemical testing, especially for WD patients with hepatic manifestations.",,"Chen, J. C.;Chuang, C. H.;Wang, J. D.;Wang, C. W.",2015,,https://dx.doi.org/10.1007/s40846-015-0087-7,0,0,
8,Long-term effects of a combination of D-penicillamine and zinc salts in the treatment of Wilson's disease in children,"The aim of this study was to investigate the efficacy of a combination of high-dose zinc sulfate and low-dose D-penicillamine in the treatment of pediatric Wilson's disease (WD). A retrospective chart review of 65 patients with WD was performed. These patients were given D-penicillamine (8-10 mg/kg/day) and zinc sulfate as primary treatment. Pediatric elemental zinc dose is 68-85 mg/day up to 6 years of age, 85-136 mg/day up to 8 years of age, 136-170 mg/day up to 10 years of age, and then 170 mg/day. 3 divided doses 1 hour before meals. After clinical and biochemical improvement or stabilization, zinc sulfate alone was administered as maintenance therapy. Positive results were obtained in the majority of patients (89.2%) under treatment, and 3 patients died due to poor treatment compliance. Penicillamine-induced neurological deterioration was not noted and adverse events were observed in <11% of patients during the entire follow-up period. Beneficial results on liver and neurological symptoms have been reported following extremely long-term treatment with the combination of low-dose D-penicillamine and high-dose zinc sulfate. Therefore, this regimen is an effective and safe treatment for children with WD.",,"Chang, H.;Xu, A.;Chen, Z.;Zhang, Y.;Tian, F.;Li, T.",2013,Apr,https://dx.doi.org/10.3892/etm.2013.971,0,0,
9,Brain Transport of Zinc-Ions as a Potential Treatment for Neurological Diseases: Mini-Review,"Homeostasis of metal ions such as Zn(2+) is essential for proper brain function. Furthermore, the list of psychiatric and neurodegenerative disorders involving dysregulation of brain Zn(2+)-levels is long and growing continuously, including Parkinson's and Alzheimer's disease, as well as schizophrenia, attention deficit and hyperactivity disorder, depression, amyotrophic lateral sclerosis, Down's. syndrome, multiple sclerosis, Wilson's disease and Pick's disease. In addition, changes in Zn(2+)-levels are seen in transient forebrain ischemia, seizures, traumatic brain injury and alcoholism. Therefore, the possibility of changing Zn(2+)- levels in the brain emerges as a new target for the prevention and treatment of psychiatric and neurological diseases. Although the role of Zn(2+) in the brain has been extensively studied over the past decade, methods for the controlled regulation and manipulation of Zn(2+) concentrations in the brain are still in their infancy. Since the use of Zn(2+) supplementation and restriction in the diet has major limitations, new methods and alternative approaches are still being explored, such as the use of intracranial infusion of Zn(2+) chelators or nanoparticle technologies, to increase or decrease intracellular Zn. (2+) levels. Therefore, this review briefly summarizes the role of Zn(2+) in psychiatric and neurodegenerative diseases and highlights the main findings and barriers to brain Zn(2+) level manipulation. In addition, some methods and compounds are evaluated to control brain Zn(2+) levels, such as metal ion chelation, redistribution and supplementation, which are used to treat brain disorders.",,"Grabrucker, A. M.;Rowan, M.;Garner, C. C.",2011,Sep,,0,0,
10,Copper dyshomeostasis in Wilson's disease and Alzheimer's disease as indicated by serum and urine copper indicators,"Abnormal use of copper is the cause of Wilson's disease (WD), a rare disorder characterized by increased plasma copper levels not bound to ceruloplasmin (nCp-Cu, also known as 'free' copper). In Alzheimer's disease (AD), meta-analyses show that copper decreases in the brain but increases in the serum due to an increase in the nCp-Cu component. Despite the similarities, a direct comparison of copper biological status in the two diseases has never been made. To fill this gap, we evaluated serum copper, ceruloplasmin, nCp-Cu, and Cu:Cp at 385 CE and 336 healthy controls previously studied and compared with 9 newly diagnosed WD patients. We next evaluated 24-hour copper urinary excretion in 24 WD patients on D-penicillamine (D-pen) therapy and 35 healthy controls, and compared the results with AD patients who participated in a previously published D-pen phase II clinical trial. After adjusting for sex and age, serum nCp-Cu and Cu:Cp resulted higher in AD and WD than in healthy controls (both p<0.001). While nCp-Cu was similar between AD and WD, Cu:Cp was higher in WD (p<0.016). 24-hour urinary copper excretion (12.05mug/day) was higher in AD patients than healthy controls (4.82mug/day; p<0.001). 24-hour urinary excretion was higher than 200 ug/day in 77.8% of AD patients under D-pen therapy, suggesting that copper control failed. This study provides a new insight into the pathophysiology of copper homeostasis in AD by demonstrating the failure of copper control and the Cu:Cp ratio as a suitable marker.",,"Squitti, R.;Ghidoni, R.;Simonelli, I.;Ivanova, I. D.;Colabufo, N. A.;Zuin, M.;Benussi, L.;Binetti, G.;Cassetta, E.;Rongioletti, M.;Siotto, M.",2018,Jan,https://dx.doi.org/10.1016/j.jtemb.2017.11.005,0,0,
