record_id,title,abstract,keywords,authors,year,date,doi,label_included
1,15th International Conference on Human Retroviruses: HTLV and Related Viruses,The proceedings consist of 253 contributions. Topics discussed will include: altered CD4+/CD8+ T-cell ratio in human T-cell leukemia virus type I splenocytes in transgenic mice with inflammatory arthropathy; viral expression directs B cell fate in BLV-infected sheep; tet-Inducible Lymphoma in a New Fiscally Transgenic Mouse Model; Bovine immunodeficiency virus as a potentiating cofactor for experimental bovine leukemia virus infection in sheep; Bovine MHC Class II DR Molecule Plays a Key Role in Bovine Leukemia Virus (BLV)-Induced Lymphoma; Comparative proteomic analysis of cancer stem cells in a Tax-transgenic (Tax-Tg) mouse model of adult T-cell leukemia/lymphoma; a life-attenuated BLV deleterious vaccine candidate to inhibit virus transmission in cattle herds; and high-throughput sequencing unveils novel microRNAs in the bovine leukemia virus (blv)-induced ovine leukemia model.,,,2011.0,,,0
2,"102nd Annual Meeting of the American Association of Immunologists, IMMUNOLOGY 2015","The Proceedings include 1758 essays. Topics discussed will include: de novo recognition and HLA association of public T cell responses to cytomegalovirus using high-throughput immune repertoire sequencing; abrogation of CD59 function restores the activities of neutralizing and non-neutralizing antibodies in inducing antibody-dependent complement-mediated lysis of HIV-1 virions and provirus-activated latently infected cells; Evaluation of Bone Marrow in Cowpox Virus Infection in Cynomolgus Macaques; Glycosylphosphatidylinositol deficiency attenuates production of infectious HIV-1 and renders virions vulnerable to complement attack; and Restoration of immune system, activation, and virus reservoirs in gut-associated lymphoid tissues in SIV-infected, long-term non-progressive Chinese rhesus monkeys on antiretroviral therapy.",,,2015.0,,,0
3,"Recommendations for a standardized avian coronavirus (AvCoV) nomenclature: Outcome of discussions within the European Union COST Action FA1207: ""Towards Control of Avian Coronaviruses: Strategies for Vaccination, Diagnosis and Surveillance""","Viruses within the Coronaviridae family show variations within their genomic sequences, particularly within the main structural protein, the spike (S) glycoprotein gene. Therefore, many different antigenic forms, serotypes or variant strains of avian coronaviruses (AvCoV) exist worldwide. Only a few of them, the so-called protector types, protect against different serotypes. New serotypes arise through recombination or spontaneous mutations. Antigenic virus variants that differ significantly from known serotypes arise from time to time. The result of this variability is inconsistent nomenclature and classification of viral strains. In addition, no uniform classification methods are currently defined. As part of COST Action FA1207 ""Towards control of avian coronaviruses: Strategies for Diagnostic, Surveillance, and Vaccination"" (working groups ""Molecular Virology"" and ""Epidemiology""), we have set ourselves the goal of defining and developing a uniform and internationally standardized nomenclature develop classification of AvCoVs. We recommend using ""CoV Genus/AvCov/Host/Country/Sample ID/Year"" to refer to AvCoV strains.",,,2016.0,,10.1637/0005-2086-60.2.411,0
4,First genome sequence of Newcastle disease virus genotype VIII from Jordan,Newcastle disease virus (NDV) was detected by reverse transcriptase-PCR (RT-PCR) from total RNA isolated from a backyard chicken spleen in Jordan. The complete genomic coding sequence of NDV/chicken/Jordan/J11-spleen/2018 was obtained using MiSeq (Illumina) sequencing. Phylogenetic analysis of the concatenated coding sequences classified the virus as a class II subgenotype VIIi.,,"Ababneh, M.;Ferreira, H. L.;Khalifeh, M.;Suarez, D. L.;Afonso, C. L.",2018.0,,10.1128/mra.01136-18,0
5,Genotyping of bovine leukemia virus isolates circulating in the Stavropol region,"The bovine leukemia virus (BLV) circulating on the territory of the Stavropol Territory of Russia is characterized according to the modern classification of subspecies. BLV proviral deoxyribonucleic acid (DNA) was separated from the peripheral blood of animals naturally infected with this virus. Subsequent amplification, sequencing and phylogenetic analysis of a fragment of the env gene with a length of 444 nucleotide pairs (pn) made it possible to assign the investigated isolates to genotypes 4 and 6. In addition, we dissected the localized BLV isolate apart from clusters of isolates of all eight known genotypes, allowing for classification as atypical. In the course of sequencing a section of the env gene of BLV provirus isolates separated in this region, the presence of 31 point mutations in the studied locus was detected, 11 of which are significant: 2 transversions and 9 transitions.",,"Abakin, S. S.;Krasovskaya, T. L.;Surgikova, E. S.;Gendzhieva, O. B.",2016.0,,,0
6,"Identification and phylogenetic analysis of sheeppox during an outbreak of sheep in Sharkia Governorate, Egypt","Sheeppox virus (SPPV) is one of the listed and reportable diseases affecting sheep production with a significant impact on trade in new breeds of sheep. This study was conducted to identify sheeppox using cell culture, electron microscope (EM) and open reading frame (ORF) 103 gene during an outbreak of the local sheep breed that occurred in April 2017 in Sharia Governorate, Egypt. Affected adult sheep showed typical skin pox lesions on the face, inner lips, inner thigh and under the tail. The incidence rate of infection was 23.5% and the mortality rate in young lambs aged 3 to 6 months was 8.2%. Forty-three scab and tissue samples from clinically diseased adult sheep and dead lambs were collected and cultured on Vero cells. The cytopathic effect (CPE) was observed within 3 to 7 days in 40 specimens. A typical poxvirus had a brick-like shape with rounded ends when EM stained negatively and an ovoid structure with a dumbbell-shaped DNA core with concave body sides when EM positively stained. Bands of about 570 bp relative to SPPV were obtained by conventional PCR using the ORF103 gene. The sequence amplicon was analyzed by NCBI-BLAST and registered in GeneBank under accession number MG873537, and a phylogenetic tree was constructed showing that the isolated SPPV strain differed from other SPPV strains isolated in Egypt, India, China and the USA. resembled tribes. Finally, both EM and PCR are considered to be sensitive, rapid and powerful methods for identifying SPPV from tissue and scab samples without the need for further culture, in addition to the useful and easy use of the ORF103 gene to distinguish SPPV from other capripoxviruses.",,"Abd-Elfatah, E. B.;El-Mekkawi, M. F.;Bastawecy, I. M.;Fawzi, E. M.",2018.0,,10.4238/gmr16039901,0
7,Isolation and molecular characterization of novel infectious bronchitis virus variants from vaccinated broiler flocks in Egypt,"The present study aimed to determine the molecular characteristics of circulating strains of infectious bronchitis virus (IBV) in vaccinated broiler flocks in Giza and Fayoum governorates. Thirty-four isolates were collected and egg multiplication demonstrated its ability to induce typical IBV lesions after three to five consecutive passages. Three selected isolates were identified as IBV using a real-time reverse transcriptase PCR assay targeting the nucleocapsid (N) gene and further characterized by partial spike (S) gene sequence analysis. The phylogenetic analysis revealed their grouping into two variant groups. Group I consisted of a variant (VSVRI_F3) that shared 99.1% nucleotide sequence identity with the Q1 reference strain. Group II consisted of variants VSVRI_G4 and VSVRI_G9, which shared 92.8% to 94.3% nucleotide identity with Egyptian variants Eg/12120S/2012, Eg/12197B/2012, and Eg/1265B/2012. With regard to the deduced amino acid sequence, the three variants had a similarity of 77.1% to 85.2% with the vaccine strains currently used in Egypt. These results underline the importance of monitoring the prevalence of IBV variants in vaccinated broiler flocks and adopting an appropriate vaccination strategy.",,"Abdel-Sabour, M. A.;Al-Ebshahy, E. M.;Khaliel, S. A.;Abdel-Wanis, N. A.;Yanai, T.",2017.0,,10.1637/11566-121516-RegR,0
8,Retrotransposable elements on the W chromosome of the silkworm Bombyx mori,"The sex chromosomes of the silkworm Bombyxmori are designated ZW(XY) for females and ZZ(XX) for males. The B. mori W chromosome does not recombine with the Z chromosome and autosomes, and genes for morphological traits on the W chromosome have not yet been mapped. In addition, femininity is determined by the presence of a single W chromosome, regardless of the number of autosomes or Z chromosomes. In order to understand these interesting features of the W chromosome, it is necessary to analyze the W chromosome at the molecular biological level. To first isolate W chromosome-specific DNA sequences as random amplified polymorphic DNA (RAPD) markers, we compared the genomic DNAs between males and females by PCR with 10-mer random primers. To date we have identified 12 W-specific RAPD markers, and with the exception of one RAPD marker, all deduced amino acid sequences of these W-specific RAPD markers show similarity to previously reported amino acid sequences of retrotransposable elements from different organisms. After constructing a B. mori DNA lambda phage genomic library, we obtained two lambda phage clones, one with the W kabuki RAPD sequence and one with the W samurai RAPD sequence, and found that this DNA -Sequences included nested structures of many retrotransposable elements. To further analyze the W chromosome, we obtained 14 W-specific bacterial artificial chromosome (BAC) clones from three BAC libraries and subjected these clones to shotgun sequencing. The resulting assembly of sequences did not produce a single contiguous sequence due to the presence of many retrotransposable elements. Therefore, we coupled the PCR with shotgun sequencing. Through these analyses, we found that many long terminal repeat (LTR) and non-LTR retrotransposons, retroposons, DNA transposons and their derivatives have stratified on the W chromosome. These results strongly suggest that retrotransposable elements are the major structural component of the W chromosome.",,"Abe, H.;Mita, K.;Yasukochi, Y.;Oshiki, T.;Shimada, T.",2005.0,,,0
9,A novel sapelovirus-like virus isolation from wild boar,"novel sapelovirus-like virus was isolated from a wild boar (Sus scrofa). In this study, partial viral genomic nucleotide sequences were determined using the rapid determination system for viral nucleic acid sequences (RDV) Ver. 3.1, which we recently developed for novel virus discovery. Phylogenetic analysis of the VP1 and 3A proteins and their nucleotide coding sequences from enteroviruses and sapeloviruses showed that the isolated virus was closely related to porcine sapelovirus. RT-PCR detected viral sequences in six of 48 wild boar fecal samples. © 2011 Springer Science+Business Media, LLC.",,"Abe, M.;Ito, N.;Sakai, K.;Kaku, Y.;Oba, M.;Nishimura, M.;Kurane, I.;Saijo, M.;Morikawa, S.;Sugiyama, M.;Mizutani, T.",2011.0,,10.1007/s11262-011-0628-2,0
10,Genomic and single nucleotide polymorphism analysis of infectious bronchitis coronavirus,"Infectious bronchitis virus (IBV) is a gamma-ray coronavirus that causes a highly contagious respiratory disease in chickens. A QX-like strain was analyzed by high-throughput Illumina sequencing, and genetic variation across the entire viral genome was examined at the sub-consensus level by single nucleotide polymorphism (SNP) analysis. Thirteen open reading frames (ORFs) in the order 5'-UTR-1a-1ab-S-3a-3b-EM-4b-4c-5a-5b-N-6b-3'UTR were predicted. The relative frequencies of missense:silent SNPs were calculated to provide a comparative measure of variability in specific genes. The most variable ORFs in descending order were E, 3b, 5'UTR, N, 1a, S, 1ab, M, 4c, 5a, 6b. The E and 3b protein products play a key role in coronavirus virulence, and RNA folding showed that the mutations in the 5'UTR did not alter the predicted secondary structure. The frequency of SNPs in the ORF of the spike (S) protein was 0.67%, below the genomic average of 0.76%. Only three SNPS were identified in the S1 subunit, none of which were localized to the hypervariable region (HVR)1 or HVR2. The S2 subunit was significantly more variable, containing 87% of the polymorphisms detected across the entire S protein. The S2 subunit also contained a previously unreported multi-A insertion site and a stretch of four contiguous mutant amino acids mapped to the stalk region of the spike protein. Template-based protein structure modeling led to the first theoretical model of the IBV spike monomer. Given the lack of diversity observed at the subconsensus level, the tenet that the HVRs in the S1 subunit are highly tolerant to amino acid changes induced by genetic drift is challenged.",,"Abolnik, C.",2015.0,,10.1016/j.meegid.2015.03.033,0
