record_id,title,abstract,keywords,authors,year,date,doi,label_included
1,15th International Conference on Human Retroviruses: HTLV and Related Viruses,The minutes contain 253 papers. Topics discussed include: altered ratio of CD4+/CD8+ T cells in human T-cell leukemia virus type I splenocytes in tax transgenic mice with inflammatory arthropathy; viral expression directs B-cell fate in BLV-infected sheep; tet-inducible lymphoma in a new fiscal transgenic mouse model; bovine immunodeficiency virus as an enhancing cofactor of experimental bovine leukemia virus infection in sheep; bovine MHC class II DR molecule plays a key role in bovine leukemia virus (BLV)-induced lymphoma; comparative proteomic analysis of cancer stem cells in a fiscal (Tax-Tg) transgenic mouse model of adult T-cell leukemia/lymphoma; a life-attenuated BLV scavenger as a candidate vaccine to inhibit viral transmission in cattle herds; and high-throughput sequencing reveals new microRNAs in the bovine leukemia virus (blv)-induced ovine model of leukemia.,,,2011.0,,,0
2,"102nd Annual Meeting of the American Association of Immunologists, IMMUNOLOGY 2015","The records contain 1758 papers. Topics discussed include: de novo detection and HLA association of public T-cell responses to cytomegalovirus using high-throughput immune repertoire sequencing; abrogation of CD59 function restores neutralizing and non-neutralizing antibody activities by triggering antibody-dependent complement-mediated lysis of HIV-1 virions and provirus-activated latently infected cells; Evaluation of bone marrow in cowpox virus infection in cynomolgus macaques; glycosylphosphatidylinositol deficiency attenuates infectious HIV-1 production and renders virions sensitive to complement attack; and immune restoration, activation, and viral reservoirs in gut-associated lymphoid tissue in long-term SIV-infected non-progressive Chinese rhesus macaques on antiretroviral therapy.",,,2015.0,,,0
3,"Recommendations for a standardized nomenclature of the avian coronavirus (AvCoV): result of the debates in the framework of the COST FA1207 action of the European Union: ""Towards the control of avian coronaviruses: vaccination, diagnosis and surveillance strategies""","Viruses within the Coronaviridae family show variations within their genomic sequences, especially within the main structural protein, the Spike (S) glycoprotein gene. Therefore, many antigenic forms, serotypes, or variant strains of avian coronaviruses (AvCoV) exist throughout the world. Only a few of them, the so-called protectotypes, provide cross-protection against different serotypes. New serotypes arise by recombination or spontaneous mutations. From time to time, antigenic virus variants appear that differ significantly from known serotypes. The result of this variability is inconsistent nomenclature and classification of virus strains. Furthermore, there are currently no defined standard classification methods. Within the framework of Action COST FA1207 ""Towards the control of avian coronaviruses: diagnostic, surveillance and vaccination strategies"" (""Molecular virology"" and ""Epidemiology"" working groups), we set out to define and develop a unified and standardized nomenclature internationally and classification of AvCoVs. We recommend using ""CoV Genus/AvCov/host/country/specimen id/year"" to refer to AvCoV strains.",,,2016.0,,10.1637/0005-2086-60.2.411,0
4,First Genotype VIII Newcastle Disease Virus Genome Sequencing from Jordan,Newcastle disease virus (NDV) was detected by reverse transcriptase-PCR (RT-PCR) from total RNA isolated from the spleen of a chicken from a backyard flock in Jordan. The complete coding genome sequence of NDV/chicken/Jordan/J11-spleen/2018 was obtained with MiSeq sequencing (Illumina). Phylogenetic analysis of the concatenated coding sequences classified the virus as class II subgenotype VIIi.,,"Ababneh, M.;Ferreira, H. L.;Khalifeh, M.;Suarez, D. L.;Afonso, C. L.",2018.0,,10.1128/mra.01136-18,0
5,"Genotyping of bovine leukemia virus isolates, circulating in the stavropol territory","Bovine leukemia virus (BLV) circulating in the Stavropol Territory of Russia is characterized according to the modern classification of subspecies members. BLV proviral deoxyribonucleic acid (DNA) has been separated from the peripheral blood of animals that have been naturally infected with this virus. The subsequent amplification, sequencing and phylogenetic analysis of a fragment of the env gene with a length of 444 nucleotide pairs (pn) allowed us to classify the isolates studied in genotypes 4 and 6. In addition, we have separated the BLV isolate located in addition to clusters of isolates of the eight known genotypes, which allowed it to be classified as atypical. During the sequencing of a section of the env gene of BLV provirus isolates separated in this area, the presence of 31 point mutations in the locus studied was detected, of which 11 were significant: 2 transversions and 9 transitions.",,"Abakin, S. S.;Krasovskaya, T. L.;Surgikova, E. S.;Gendzhieva, O. B.",2016.0,,,0
6,"Identification and phylogenetic analysis of sheep pox during an outbreak in sheep in Sharkia Governorate, Egypt","Sheep pox virus (SPPV) is one of the listed and notifiable diseases affecting sheep production with a significant effect on trade in new breeds of sheep. This study was conducted to identify sheep pox using cell culture, electron microscopy (EM), and the open reading frame (ORF) gene 103 during an outbreak of a landrace of sheep in Sharkia Governorate, Egypt. , in April 2017. Affected adult sheep showed pox lesions on the skin of the face, inner lips, inner thigh, and under the tail. The incidence rate of infection was 23.5% and the mortality rate in young lambs 3 to 6 months of age was 8.2%. Forty-three scabs and tissue samples were collected from clinically ill adult sheep and dead lambs and cultured on Vero cells. The cytopathic effect (CPE) was observed between 3 and 7 days in 40 samples. A typical Poxvirus was brick-shaped with round ends by EM negative staining and an ovoid-like structure with a bell-shaped DNA core with concave body sides by EM positive staining. By means of conventional PCR using the ORF103 gene, bands of around 570 bp referring to SPPV were obtained. The sequence amplicon was analyzed by NCBI-BLAST and registered in GeneBank under accession number MG873537 and a phylogenetic tree was designed which revealed that the SPPV isolate resembled other SPPV strains isolated in Egypt, India, China and China. Finally, both MS and PCR are considered sensitive, rapid and powerful methods to identify SPPV from tissue samples and scabs without the need for further culture, in addition to the useful and simple use of the ORF103 gene for differentiate SPPV from other Capripoxviruses. .",,"Abd-Elfatah, E. B.;El-Mekkawi, M. F.;Bastawecy, I. M.;Fawzi, E. M.",2018.0,,10.4238/gmr16039901,0
7,Isolation and molecular characterization of new variants of infectious bronchitis virus from vaccinated chicken flocks in Egypt,"The present study aimed to determine the molecular characteristics of circulating infectious bronchitis virus (IBV) strains in vaccinated chicken flocks in Giza and Fayoum governorates. Thirty-four isolates were collected and egg propagation revealed their ability to induce typical IBV lesions after three to five successive passages. Three selected isolates were identified as IBV using a real-time reverse transcriptase PCR assay targeting the nucleocapsid (N) gene and further characterized by sequence analysis of the partial spike (S) gene. Phylogenetic analysis revealed their grouping into two groups of variants. Group I consisted of one variant (VSVRI_F3), which had 99.1% nucleotide sequence identity to the reference strain Q1. Group II consisted of the VSVRI_G4 and VSVRI_G9 variants, which showed 92.8% to 94.3% nucleotide identity with the Egyptian variants Eg/12120S/2012, Eg/12197B/2012, and Eg/1265B/2012. With respect to the deduced amino acid sequence, the three variants had a similarity of 77.1% to 85.2% with the vaccine strains currently used in Egypt. These findings highlight the importance of monitoring the prevalence of IBV variants in vaccinated broiler flocks, as well as adopting an appropriate vaccination strategy.",,"Abdel-Sabour, M. A.;Al-Ebshahy, E. M.;Khaliel, S. A.;Abdel-Wanis, N. A.;Yanai, T.",2017.0,,10.1637/11566-121516-RegR,0
8,"Retrotransposable elements on the W chromosome of the silkworm, Bombyx mori","The sex chromosomes of the silkworm, Bombyxmori, are named ZW(XY) for females and ZZ(XX) for males. The W chromosome of B. mori does not recombine with the Z chromosome and autosomes and genes for morphological characters have not yet been mapped to the W chromosome. Furthermore, femaleness is determined by the presence of a single W chromosome, regardless of the number of autosomes or Z chromosomes. To understand these interesting features of the W chromosome, it is necessary to analyze the W chromosome at the level of molecular biology. Initially, to isolate W chromosome-specific DNA sequences as randomly amplified polymorphic DNA (RAPD) markers, we compared genomic DNAs between males and females by PCR with arbitrary 10-mer primers. So far, we have identified 12 W-specific RAPD markers and, with the exception of one RAPD marker, all of the deduced amino acid sequences of these W-specific RAPD markers show similarity to previously reported amino acid sequences of retrotransposable elements from various organisms. After constructing a lambda phage library of B. mori genomic DNA, we obtained two lambda phage clones, one containing the W-Kabuki RAPD sequence and one containing the W-Samurai RAPD sequence, and found that these DNA sequences comprised nested structures of many retrotransposable elements. To further analyze the W chromosome, we obtained 14 W-specific bacterial artificial chromosome (BAC) clones from three BAC libraries and subjected these clones to shotgun sequencing. The resulting sequence assembly did not produce a single contiguous sequence due to the presence of many retrotransposable elements. Therefore, we coupled PCR with shotgun sequencing. Through these analyses, we found that many retrotransposons, retroposons, DNA transposons, and their long terminal repeat (LTR) and non-LTR derivatives have accumulated on the W chromosome as strata. These results clearly indicate that retrotransposable elements are the main structural component of the W chromosome.",,"Abe, H.;Mita, K.;Yasukochi, Y.;Oshiki, T.;Shimada, T.",2005.0,,,0
9,A new virus isolate similar to wild boar sapelovirus,"new sapelovirus-like virus was isolated from wild boar (Sus scrofa). In this study, partial viral genomic nucleotide sequences were determined using the Rapid Viral Nucleic Acid Sequence Determination System (RDV) ver. 3.1, which we recently developed to discover new viruses. Phylogenetic analysis of VP1 and 3A proteins and their encoding nucleotide sequences from enteroviruses and sapeloviruses indicated that the isolated virus was closely related to porcine sapelovirus. RT-PCR detected viral sequences in six of 48 wild boar fecal samples. © 2011 Springer Science+Business Media, LLC.",,"Abe, M.;Ito, N.;Sakai, K.;Kaku, Y.;Oba, M.;Nishimura, M.;Kurane, I.;Saijo, M.;Morikawa, S.;Sugiyama, M.;Mizutani, T.",2011.0,,10.1007/s11262-011-0628-2,0
10,Genomic and single nucleotide polymorphism analysis of infectious bronchitis coronavirus,"Infectious Bronchitis Virus (IBV) is a Gammacoronavirus that causes a highly contagious respiratory disease in chickens. A QX-like strain was analyzed by Illumina high-throughput sequencing and genetic variation throughout the viral genome at the subconsensus level was explored by single nucleotide polymorphism (SNP) analysis. Thirteen open reading frames (ORFs) were predicted in the order 5'-UTR-1a-1ab-S-3a-3b-EM-4b-4c-5a-5b-N-6b-3'UTR. Relative frequencies of missense:silent SNPs were calculated to obtain a comparative measure of variability in specific genes. The most variable ORFs in descending order were E, 3b, 5'UTR, N, 1a, S, 1ab, M, 4c, 5a, 6b. Protein products E and 3b play key roles in coronavirus virulence, and RNA folding demonstrated that mutations in the 5'UTR did not alter the predicted secondary structure. The SNP frequency in the Spike (S) protein ORF of 0.67% was below the genomic average of 0.76%. Only three SNPSs were identified in the S1 subunit, none of which were located in hypervariable region (HVR) 1 or HVR2. The S2 subunit was considerably more variable, containing 87% of the polymorphisms detected in the entire S protein. The S2 subunit also contained a previously unreported multi-A insertion site and a stretch of four consecutive mutated amino acids, which were mapped onto the stem region of the spike protein. Template-based protein structure modeling yielded the first theoretical model of the IBV spike monomer. Given the lack of diversity observed at the subconsensus level, the principle that HVRs in the S1 subunit are highly tolerant to amino acid changes caused by genetic drift is questioned.",,"Abolnik, C.",2015.0,,10.1016/j.meegid.2015.03.033,0
