record_id,title,abstract,keywords,authors,year,date,doi,label_included
1,15th International Conference on Human Retroviruses: HTLV and Related Viruses,There are 253 papers in the trial. Topics discussed include: CD4+/CD8+ T-cell ratio in splenocytes of human T-cell leukemia virus type I tax transgenic mice with inflammatory arthropathy; viral expression directs the fate of B cells in BLV-infected sheep; tet-inducible lymphoma in a novel tax transgenic mouse model; bovine immunodeficiency virus as an enhancer cofactor for experimental bovine leukemia virus infection in sheep; bovine MHC class II DR molecule plays an important role in bovine leukemia virus (BLV)-induced lymphoma; comparative proteomic analysis of cancer stem cells in a tax-transgenic (Tax-Tg) mouse model of adult T-cell leukemia/lymphoma; a life-reduced BLV deletant as a candidate vaccine to inhibit viral transmission in cattle herds; and high-throughput sequencing reveals new microRNAs in a bovine leukemia virus (blv)-induced ovine model of leukemia.,,,2011.0,,,0
2,"102nd Annual Meeting of the American Society of Immunologists, IMMUNOLOGY 2015","The transactions contain 1758 papers. Topics discussed include: de novo detection and HLA-association of public t-cell responses against cytomegalovirus using high-throughput immune repertoire sequencing; Abolition of CD59 function restores the activities of neutralizing and non-neutralizing antibodies in triggering antibody-dependent complement-mediated lysis of HIV-1 virions and provirus-activated latently infected cells; evaluation of bone marrow in cowpox virus infection in cynomolgus macaques; glycosylphosphatidylinositol deficiency weakens infectious HIV-1 production and renders virions susceptible to complement attack; and immune restoration, activation, and viral reservoirs in gut-associated lymphoid tissue in SIV-infected long-term non-progressed Chinese rhesus macaques on antiretroviral therapy.",,,2015.0,,,0
3,"Recommendations for Standardized Avian Coronavirus (AvCoV) Nomenclature: Outcomes of Discussions in the Framework of European Union COST Action FA1207: ""Towards the Control of Avian Coronaviruses: Vaccination, Diagnosis and Surveillance Strategies""","Viruses within the family Coronaviridae show variations within their genome sequences, particularly within the main structural protein, the Spike (S) glycoprotein gene. Therefore, many different antigenic forms, serotypes or variant strains of avian coronaviruses (AvCoV) exist worldwide. Only a few of these, the so-called protective types, provide cross-protection against different serotypes. New serotypes arise by recombination or spontaneous mutations. From time to time, antigenic virus variants appear that differ significantly from known serotypes. The result of this variability is an inconsistent nomenclature and classification of virus strains. In addition, there is currently no defined standard classification method. Within the framework of COST Action FA1207 ""Towards the control of avian coronaviruses: diagnostic, surveillance and vaccination strategies"" (working groups ""Molecular virology"" and ""Epidemiology""), we aimed to define and develop a unified and internationally standardized terminology. Classification of AvCoVs. We recommend using ""CoV Species/AvCov/host/country/sample ID/year"" to refer to AvCoV strains.",,,2016.0,,10.1637/0005-2086-60.2.411,0
4,First genome sequence of Genotype VIII Newcastle disease virus from Jordan,Newcastle disease virus (NDV) was detected by reverse transcriptase PCR (RT-PCR) from total RNA isolated from chicken spleen of a backyard flock in Jordan. The complete coding genome sequence of NDV/chicken/Jordan/J11-spleen/2018 was obtained by MiSeq (Illumina) sequencing. Phylogenetic analysis of the assembled coding sequences classified the virus as class II subgenotype VIIi.,,"Ababneh, M.;Ferreira, H. L.;Khalifeh, M.;Suarez, D. L.;Afonso, C. L.",2018.0,,10.1128/mra.01136-18,0
5,Genotyping of bovine leukemia virus isolates circulating in the Stavropol region,"The bovine leukemia virus (BLV) circulating on the territory of the Stavropol Territory of Russia is characterized according to the modern classification of subspecies membership. The proviral deoxyribonucleic acid (DNA) of BLV was isolated from the peripheral blood of animals naturally infected with this virus. Subsequent amplification, sequencing and phylogenetic analysis of a fragment of the env-gene 444 pairs nucleotide (pn) long made it possible to classify the studied isolates as genotypes 4 and 6. Apart from the isolate clusters of all eight known genotypes, this made it possible to classify it as atypical. During the sequencing of a portion of the env gene of BLV provirus isolates separated in this area, the presence of 31 point mutations, 11 of which were significant, was detected at the examined locus: 2 transversions and 9 passages.",,"Abakin, S. S.;Krasovskaya, T. L.;Surgikova, E. S.;Gendzhieva, O. B.",2016.0,,,0
6,"Identification and phylogenetic analysis of sheep pox during a sheep epidemic in Sharkia province, Egypt","Sheeppox virus (SPPV) is one of the listed and notifiable diseases affecting sheep production, which greatly affects the trade in new breed sheep. This study was conducted to identify sheep pox using cell culture, electron microscopy (EM), and open reading frame (ORF) 103 gene during an outbreak in local breed sheep in Sharkia Governorate, Egypt, in April 2017. Skin pox lesion on face, inner lips, inner thigh and under tail. In young lambs aged 3 to 6 months, the incidence of infection was 23.5% and the mortality rate was 8.2%. Forty-three shell and tissue samples were collected from clinically diseased adult sheep and dead lambs and cultured in Vero cell. The cytopathic effect (CPE) was observed in 40 samples within 3 to 7 days. A typical Poxvirus was a brick-like shape with rounded ends on negative staining of EM and oval-like structure with dumbbell-shaped DNA cores with concave body edges on positive staining of EM. Conventional PCR using the ORF103 gene and the resulting bands of about 570 bp referred to SPPV. The sequence amplicon was analyzed by NCBI-BLAST and registered in the GeneBank under the N. MG873537 entry, and phylogenetic tree was designed revealing that the isolated SPPV strain is similar to other SPPV strains isolated in Egypt, India, China, and the USA. Finally, both EM and PCR are considered sensitive, fast and powerful methods to identify SPPV from tissue and shell samples without the need for further culture, in addition to the convenient and easy use of the ORF103 gene to distinguish SPPV from other Capripox viruses. . .",,"Abd-Elfatah, E. B.;El-Mekkawi, M. F.;Bastawecy, I. M.;Fawzi, E. M.",2018.0,,10.4238/gmr16039901,0
7,Isolation and Molecular Characterization of Novel Infectious Bronchitis Virus Variants from Vaccinated Broiler Flocks in Egypt,"This study aimed to determine the molecular characteristics of infectious bronchitis virus (IBV) strains circulating in vaccinated broiler flocks in Giza and Fayoum provinces. Thirty-four isolates were collected and egg dispersal revealed their ability to induce typical IBV lesions after three to five consecutive passages. Three selected isolates were identified as IBV using a real-time reverse transcriptase-PCR assay targeting the nucleocapsid (N) gene and further characterized by partial spike (S) gene sequence analysis. Phylogenetic analysis revealed their clustering in two variable groups. Group I consisted of a variant (VSVRI_F3) with 99.1% nucleotide sequence identity to the Q1 reference strain. Group II consisted of variants VSVRI_G4 and VSVRI_G9 showing 92.8%-94.3% nucleotide identity with the Egyptian variants Eg/12120S/2012, Eg/12197B/2012 and Eg/1265B/2012. Regarding the deduced amino acid sequence, the three variants had 77.1%-85.2% similarity to the vaccine strains currently used in Egypt. These findings highlight the importance of monitoring the prevalence of IBV variants in vaccinated broiler flocks as well as adopting an appropriate vaccination strategy.",,"Abdel-Sabour, M. A.;Al-Ebshahy, E. M.;Khaliel, S. A.;Abdel-Wanis, N. A.;Yanai, T.",2017.0,,10.1637/11566-121516-RegR,0
8,"Retrotransposable elements in the W chromosome of the silkworm, Bombyx mori","The sex chromosomes of the silkworm Bombyxmori are named ZW(XY) for females and ZZ(XX) for males. The W chromosome of B. mori does not recombine with the Z chromosome and autosomes, and no genes for morphological characters have yet been mapped to the W chromosome. Also, femininity is determined by the presence of a single W chromosome, regardless of the number of autosomes or Z chromosomes. To understand these interesting features of the W chromosome, it is necessary to analyze the W chromosome at the level of molecular biology. To initially isolate W chromosome-specific DNA sequences as randomly amplified polymorphic DNA (RAPD) markers, we compared genomic DNAs between males and females by PCR with random 10-mer primers. So far, we have identified 12 W-specific RAPD markers, and with the exception of one RAPD marker, all of the deduced amino acid sequences of these W-specific RAPD markers are similar to previously reported amino acid sequences of reversible elements from various sources. organisms. After constructing a genomic DNA lambda phage library of B. mori, we obtained two lambda phage clones, one containing the W-Kabuki RAPD sequence and one containing the W-Samurai RAPD sequence, and found that these DNA sequences contain nested structures of many retrotransposable elements. To further analyze the W chromosome, we obtained 14 W-specific bacterial artificial chromosome (BAC) clones from three BAC libraries and subjected these clones to shotgun sequencing. Combining the resulting sequences did not produce a single contiguous sequence due to the availability of many reversible elements. Therefore, we combined PCR with shotgun sequencing. Through these analyses, we found that many long terminal repeat (LTR) and non-LTR retrotransposons, retroposons, DNA transposons and their derivatives accumulate as a layer on the W chromosome. These results strongly suggest that retrotransposable elements are the major structural component of the W chromosome.",,"Abe, H.;Mita, K.;Yasukochi, Y.;Oshiki, T.;Shimada, T.",2005.0,,,0
9,Isolation of a novel sapelovirus-like virus from wild boar,"new sapelovirus-like virus was isolated from a wild boar (Sus scrofa). In this study, partial viral genomic nucleotide sequences were determined using the rapid detection system of viral nucleic acid sequences (RDV). 3.1, which we have recently developed to discover new viruses. Phylogenetic analysis of the VP1 and 3A proteins and their encoding nucleotide sequences of enteroviruses and sapeloviruses showed that the isolated virus was closely related to porcine sapelovirus. RT-PCR detected viral sequences in six of 48 wild boar stool samples. © 2011 Springer Science+Business Media, LLC.",,"Abe, M.;Ito, N.;Sakai, K.;Kaku, Y.;Oba, M.;Nishimura, M.;Kurane, I.;Saijo, M.;Morikawa, S.;Sugiyama, M.;Mizutani, T.",2011.0,,10.1007/s11262-011-0628-2,0
10,Genomic and single nucleotide polymorphism analysis of infectious bronchitis coronavirus,"Infectious bronchitis virus (IBV) is a Gammakoronavirus that causes a highly contagious respiratory disease in chickens. A QX-like strain was analyzed by high-throughput Illumina sequencing, and genetic diversity across the entire viral genome was investigated at the sub-consensus level by single-nucleotide polymorphism (SNP) analysis. Thirteen open reading frames (ORFs) in the 5'-UTR-1a-1ab-S-3a-3b-EM-4b-4c-5a-5b-N-6b-3'UTR sequence were predicted. Missense: the relative frequencies of silent SNPs were calculated to obtain a comparative measure of variability in specific genes. In descending order, the most variable ORFs were E, 3b, 5'UTR, N, 1a, S, 1ab, M, 4c, 5a, 6b. Protein products E and 3b play key roles in coronavirus virulence and RNA folding showed that mutations in the 5'UTR did not alter the predicted secondary structure. The frequency of SNPs of 0.67% in the spike (S) protein ORF was below the genomic mean of 0.76%. Only three SNPS were identified in the S1 subunit, none located in hypervariable region (HVR) 1 or HVR2. The S2 subunit was significantly more variable, comprising 87% of the polymorphisms detected throughout the entire S protein. The S2 subunit also contained a previously unreported multi-A insertion site and four sequentially mutated amino acid sequences that mapped to the stem region of the spike protein. Template-based modeling of protein structure produced the first theoretical model of the IBV spike monomer. Given the lack of diversity observed at the sub-consensus level, the principle that HVRs in the S1 subunit are very tolerant to amino acid changes produced by genetic drift is questioned.",,"Abolnik, C.",2015.0,,10.1016/j.meegid.2015.03.033,0
