record_id,title,abstract,label_included,label_abstract_screening,duplicate_record_id
1,"A prospective, controlled study of a pharmacy-controlled warning system to increase thrombosis prophylaxis rates in inpatients.","Although venous thromboembolism is an important cause of in-hospital morbidity and mortality, a significant proportion of inpatients at risk do not receive interventions known to reduce the risk of deep vein thrombosis and pulmonary embolism. The aim of the present study was to determine whether a pharmacy-controlled alarm system would be associated with a higher rate of adequate measures for venous thromboembolism prevention in inpatients at risk in a general internal medicine service compared to usual care. The study was a prospective, controlled study conducted at a university teaching hospital. The participants were adults who were admitted to the general inpatient internal medicine service from June 19 to September 21, 2006 (Monday to Friday). Her treatment included a pharmacist assessment of venous thromboembolism risk and pharmacist-driven notification to the treating physician. The proportion of risk patients who received adequate thrombosis prophylaxis within 36 hours of admission was recorded. A total of 140 patients had a sufficient risk of venous thromboembolism to be included. In the normal care group, prophylactic measures were ordered in 49 (61%) of the 80 patients with intermediate to high risk. In the pharmacist warning group, 44 (73%) of the 60 patients with an intermediate to high risk of venous thromboembolism received adequate thromboprophylaxis (p = 0.15). Although we did not observe a statistically significant difference between groups, our results are consistent with previous reports suggesting that alert systems can increase the proportion of hospitalized patients receiving adequate venous thromboembolism prevention measures.",0,1,
2,Effect of a clinical pharmacy service on lipid control in patients with peripheral arterial disease.,"Aim Our group and others have previously found that patients with peripheral artery disease (PAD) are significantly undertreated despite national guidelines to the contrary regarding overall management of cardiovascular risk factors. To maximize risk factor control in our patients with PAD, we established a pharmacist-managed, physician-supervised algorithmic approach to outpatient lipid management in patients with PAD. The purpose of this study was to determine the effect of this service on lipid screening and control in patients with PAD. Methods We analyzed the records of patients treated in a large non-profit regional group model managed care system serving approximately 405,000 members. An electronic patient file provided complete examination, laboratory and pharmacy data for all patients. Pharmacy data were analyzed to determine the prescription of lipid-lowering drugs. Lipid control was assessed using fasting lipid data. Patients with validated PAD and no clinical coronary artery disease (CAD) were offered the service between May 2003 and September 2004 and followed up for at least 6 months. Results We administratively identified 5159 active patients with a diagnosis of PAD. Of these, 1075 could be validated with a non-invasive arterial study. The exclusion of 384 patients with CAD diagnosis resulted in a cohort of 691 patients. Of these, 90 patients were enrolled in the lipid service (study group) and 601 received standard care. The mean follow-up time was 17.1 months. Screening fasting lipid profiles were found in 95.6% (86/90) of patients in the study group and only 66.9% (402/601) of standard of care patients (p<0.0001). Low-density lipoprotein cholesterol (LDL-C) control was improved in the pharmacist-guided group, with 79.1% (68/86) achieving LDL-C less than 100 mg/dL compared to the standard of care group (54 .8% [219/400]"";"" P<0.0001). LDL-C greater than 130 mg/dL was found in 1.2% and 14.0% (56/400) in the treatment and control groups, respectively (P<0.001). Statins were used in 51.9% (312/601) of patients in the control group and 84.4% (76/90) of the pharmacist-led group (P<0.001). Conclusions Despite national consensus on PAD as a CAD equivalent, patients are currently undertreated with regard to modification of atherosclerotic risk factors. The introduction of a pharmacist-led, physician-supervised lipid service improves compliance with national guidelines",0,1,
3,Using peer feedback to improve handwashing and glove use among Thai healthcare workers.,"Background: Without protective practices such as universal precautions, healthcare workers are at significant risk of blood-borne infection, particularly in areas such as Thailand with a high prevalence of HIV infection. The purpose of this study was to evaluate the effectiveness of a peer feedback program (PFP) on hand washing and glove wearing (HW/GW) among Thai healthcare workers. METHODS: Subjects (N = 91) were randomly assigned to PFP versus no treatment. Using a checklist, peer observers assessed their staff's HW/GW compliance during patient care. For 1 month, the investigator published a report on the compliance behavior of each 3 observation days. HW/GW was also assessed by the investigator through direct observation 1 month before the intervention, during the intervention period, and 1 month after the intervention. Results: The baseline HW/GW rates for the PFP and control groups were 49.2% and 61.5%, respectively. The PFP group had a significantly higher adjusted compliance rate than the control group during the intervention period (p=0.0001). However, there was no significant difference in the compliance scores obtained 1 month after the intervention. Conclusions: The PFP was effective throughout the intervention period, but there was no retention of effect. Therefore, complementary methods should be sought to promote maintenance of the effect. (AJIC Am J Infect Control 2000"";""28:365-9)",0,1,
4,"""Doctoring"" doctors and their families","Being selected to provide medical care to other physicians or their family members is not only a gratifying professional recognition of competence from one's peers, but also a challenge. Many personal and psychological factors can influence the medical care provided by physicians. Sick physicians may have difficulties with role reversal and ""VIP syndrome,"" while treating physicians may have to contend with their own anxieties and issues such as confidentiality, privacy, empathy, and intrusion by a physician's relative into the care of medical family members. Based on experiences with more than 200 doctor patients and many adult relatives of doctors, suggestions for the care of these patient groups are made.",0,0,
5,"""Ethics and clinical research"" revisited. A tribute to Henry K. Beecher","The doctrine of informed consent, borrowed from tort law, cannot easily be transferred to therapeutic situations. The broader, as-yet-unrealized idea of informed consent, which suggests that parties must make decisions together, should guide interactions between physicians and patients or researchers and subjects.",0,0,
6,"""Do no harm"": Legal guidelines for health programs for youth aged 10 to 17 who sell sex or inject drugs","INTRODUCTION: There is a strong evidence base that the stigma, discrimination and criminalization affecting key youth populations (KPs) aged 10-17 years is amplified due to national and international legal constructs that rely on law enforcement-based interventions ranging from arrest, Previous convictions Pre-trial detention, imprisonment and forced ""rehabilitation"" in institutional accommodation. Although there are evidence-based and rights-based technical guidelines for interventions in older cohorts, these guidelines have not yet been adopted by international public health stakeholders due to concerns that international law may have different standards for adolescents aged 10-17 who engage in behavior such as selling sex or injecting drugs. DISCUSSION: For reasons of international human rights, health, juvenile justice and child protection law, interventions among juvenile CPs aged 10-17 years must not involve arrest, prosecution or detention of any kind. It is imperative that interventions do not rely on law enforcement but rather on low-threshold, voluntary services, shelter and support, using as much peer outreach as possible. These services must be mobile, accessible, and allow for alternatives to parental consent for the delivery of life-saving support, including HIV testing, treatment and care, needle and syringe programs, opioid substitution therapy, safe abortions, antiretroviral therapy, and gender-affirming care and hormone treatment for transgender people -Teens. To ensure registration for services, international guidelines indicate that informed consent and confidentiality must be guaranteed, including the waiver of parental consent requirements. To discourage healthcare practitioners and researchers from dealing with juvenile KPs aged 10 to 17, government agencies and ethical review bodies are encouraged to grant exceptions or exemptions from reporting requirements. If authorities attempt to involuntarily institutionalize juvenile CPs in violation of international law and guidelines, they are entitled to a judicial process. Legal guidelines also provide that these juveniles have control over their placement, access to legal counsel to challenge the conditions of their detention and regular visits from peers, friends and family members, and that all facilities are subject to frequent and regular independent audits. including community-based groups led by KPs. CONCLUSIONS: The scrutiny of international law states that protective interventions for KPs aged 10-17 must not only include low-threshold, voluntary services, but also “protect” juvenile KPs from the harms associated with law enforcement-based interventions. Going forward, health workers must respect the right to health by adapting programs according to the principles of minimum intervention, due process and proportionality, and duly limiting the involvement of juvenile justice and child protection as a last resort, where they exist.",0,0,
7,"""How much do you get paid if I volunteer?"" Proposed Institutional Policies on Reward, Consent, and Research","Pharmaceutical companies often ask practicing physicians to conduct phase IV or post-marketing research on new drugs. Companies pay doctors to enroll their patients and report information on dosages and side effects. Postmarketing research involves a multibillion-dollar effort to fund and educate, but informed consent from subjects does not typically include medical rewards. Improving the investigators' financial situation while increasing the medical risks for phase IV subjects is ethically unacceptable, especially when the investigators are unaware of the investigators' rewards. We propose a model policy and guidelines that reaffirm subjects' need for education, investigators' need for recognition and support, and institutions' need to protect patients from undisclosed risks and relationships.",0,0,
8,"""If it ain't broke, don't fix it",,0,0,
9,"""Let me get you a nicotine patch"": Nurses' perceptions of implementation of smoking cessation guidelines for hospital veterans","Many residential smokers do not receive tobacco treatment recommended by the guidelines, but little is known about residential caregivers' perceptions of tobacco treatment. We used a mixed-methods sequential explanatory design to explain the results of an academic intervention study in the inpatient medical units of four Veterans Affairs (VA) hospitals. We interviewed 164 nurses and conducted semi-structured interviews with a targeted sample of 33 nurses with different attitudes towards exit counseling. Content analysis was used to inductively characterize the questions raised by the participants. Emerging issues were categorized using the knowledge-attitude-behaviour framework of compliance. Knowledge and attitudinal barriers included the perceived lack of skills in cessation counseling and skepticism about the effectiveness of cessation policies among hospital veterans. Nurses also reported several behavioral and organizational barriers to guideline compliance: patient resistance, insufficient time and resources, the presence of smoking areas on VA premises, and a lack of coordination with primary care. VA hospitals should train inpatient staff to negotiate behavior changes, integrate cessation counseling into the caregiver workflow, develop alternative referral mechanisms for cessation counseling after discharge, and adopt hospital policies to promote inpatient abstinence.",0,0,
10,"""Rules"" of evidence in assessing the efficacy and effectiveness of treatments","A brief review of the ""rules"" of evidence in evaluating the efficacy and effectiveness of treatments leads to a discussion of what the future might hold in developing the rules for randomized clinical trials (RCTs) to amplify the impact of such trials . Discussions and interactions between researchers, clinicians, policy makers and patient advocates on the one hand and between basic scientists and clinical researchers on the other seem to be the most important prerequisite for increasing the impact of trials.",0,0,
