record_id,title,abstract,label_included,label_abstract_screening,duplicate_record_id
1,"A prospective, controlled trial of a pharmacy-driven alert system to increase rates of thromboprophylaxis in hospitalized medical patients.","Although venous thromboembolism is a major cause of in-hospital morbidity and mortality, a significant proportion of hospitalized patients at risk do not receive measures known to reduce the risk of deep vein thrombosis and pulmonary embolism. The aim of the present study was to determine whether a pharmacy-driven alert system, compared with usual care, would be associated with a higher rate of adequate venous thromboembolism prevention measures among at-risk hospitalized patients in an internal medicine service. general. The study was a prospective controlled trial conducted at a university teaching hospital. Participants were adults admitted (Monday to Friday) to the general internal medicine inpatient ward from June 19 to September 21, 2006. Their treatment included a pharmaceutical assessment of venous thromboembolism risk and a pharmacist-directed alert to the treating physician. The proportion of patients at risk who received adequate thromboprophylaxis within 36 hours of admission was recorded. Overall, 140 patients were at sufficient risk of venous thromboembolism to be included. In the usual care group, prophylactic measures were ordered for 49 (61%) of the 80 patients at moderate to high risk. In the pharmacist alert group, 44 (73%) of 60 patients at moderate to high risk of venous thromboembolism received adequate thromboprophylaxis (p = 0.15). Although we did not observe a statistically significant difference between groups, our results are consistent with previous reports suggesting that alert systems may increase the proportion of hospitalized patients who receive adequate measures to prevent venous thromboembolism.",0,1,
2,Effect of a clinical pharmacy service on lipid control in patients with peripheral arterial disease.,"Objective Our group and others have previously established that patients with peripheral arterial disease (PAD) are significantly undertreated with respect to overall management of cardiovascular risk factors, despite national guidelines to the contrary. In an effort to maximize risk factor control in our PAD patients, we established a physician-controlled, pharmacist-managed algorithmic approach to outpatient lipid management in PAD patients. The purpose of this study was to determine the effect of this service on the detection and control of lipids in patients with PAD. Methods We analyzed the records of patients treated in a large, regional, nonprofit managed care system, group model, serving approximately 405,000 members. An electronic medical record provided complete examination, laboratory, and pharmacy data for all patients. Pharmacy data were analyzed to determine prescriptions for lipid-lowering agents. Lipid control was assessed through fasting lipid data. Patients with validated PAD and no clinical coronary artery disease (CAD) were offered the service between May 2003 and September 2004 and followed up for a minimum of 6 months. Results A total of 5159 active patients diagnosed with PAD were administratively identified. Of these, 1075 could be validated with a non-invasive arterial study. Exclusion of 384 patients diagnosed with CAD resulted in a cohort of 691 patients. Of these, 90 patients were enrolled in the lipid service (study group) and 601 received standard care. The mean follow-up was 17.1 months. Fasting lipid profiles were found in 95.6% (86/90) of study group patients and only 66.9% (402/601) of standard care patients (p < 0.0001 ). Low-density lipoprotein cholesterol (LDL-C) control was improved in the pharmacist-administered group, with 79.1% (68/86) achieving LDL-C less than 100 mg/dL compared with the standard care group (54.8% [219/400]"";"" p < 0.0001). An LDL-C value of more than 130 mg/dl was observed in 1.2% and 14.0% (56/400) in the treatment and control groups, respectively (p < 0.001). Statin use was present in 51.9% (312/601) of patients in the control group and in 84.4% (76/90) in the pharmacist-administered group (p < 0.001). Conclusions Despite the national consensus of PAD as equivalent to CEA, patients currently do not receive adequate treatment with respect to atherosclerotic risk factor modification. Initiation of a physician-monitored, pharmacist-managed lipid service provides better adherence to national guidelines",0,1,
3,Using peer feedback to improve handwashing and glove use among Thai health workers.,"Background: Without protective practices such as Universal Precautions, healthcare workers are at considerable risk of blood-borne infections, especially in areas such as Thailand with a high prevalence of HIV infection. The purpose of this study was to assess the effectiveness of a peer feedback program (PFP) on handwashing and glove use (HW/GW) among Thai health care workers. Methods: Subjects (N = 91) were randomized to receive PFP versus no treatment. Using a checklist, peer observers rated their co-workers' HW/GW compliance during patient care. For 1 month, the investigator published a report of compliance behaviors for every 3 days of observations. The investigator also assessed HW/GW by direct observation 1 month before the intervention, during the intervention period, and 1 month after the intervention. Results: The initial HW/GW rates for the PFP and control groups were 49.2% and 61.5%, respectively. The PFP group had a significantly higher adjusted compliance rate than the control group during the intervention period (p = 0.0001). However, there was no significant difference in compliance scores obtained 1 month after the intervention. Conclusions: The PFP was effective during the intervention period, but there was no retention of the effect. Therefore, complementary methods should be sought to promote effect retention. (AJIC Am J Infect Control 2000"";""28:365-9)",0,1,
4,"""Caring"" for doctors and their families","Being selected to provide medical care to other physicians or their families represents not only rewarding professional recognition of competence by peers, but also a challenge. Many personal and psychological factors can influence the medical care of doctors. Ill physicians may struggle with role reversal and ""VIP syndrome,"" while treating physicians may have to deal with their own anxiety and issues such as confidentiality, privacy, empathy, and medical relative intrusion into caring for medical family members. . Based on experience with more than 200 physician-patients and many adult family members of physicians, suggestions are offered for the care of these patient groups.",0,0,
5,"""Ethics and clinical research"" revisited. A tribute to Henry K. Beecher","The informed consent doctrine, borrowed from tort law, cannot be easily transplanted into therapeutic settings. The broader, yet unrealized idea of informed consent, which suggests that parties should make decisions jointly, should guide interactions between physicians and patients or investigators and subjects.",0,0,
6,"“First, do no harm”: legal guidelines for health programs that affect adolescents aged 10 to 17 who sell sex or inject drugs","INTRODUCTION: There is a strong evidence base that stigma, discrimination and criminalization affecting key populations (KP) of adolescents aged 10 to 17 years is intensified due to national and international legal constructions that are based on evidence-based interventions. law enforcement dependent on arrest, detention trial, incarceration, and mandatory ""rehabilitation"" in institutional placement. While there are evidence-based and rights-based technical guidelines for interventions among older cohorts, these guidelines have not yet been adopted by international public health actors for fear that international law will apply different standards to adolescents aged 10-17. years who engage in behavior such as the sale of sex. or inject drugs. DISCUSSION: As a matter of international human rights, health, juvenile justice, and child protection law, interventions among PC adolescents ages 10-17 should not involve arrest, prosecution, or detention of any kind. It is imperative that interventions are not based on law enforcement, but rather on low-threshold voluntary services, shelter and support, using peer-based outreach as much as possible. These services should be mobile and accessible, and allow alternatives to parental consent for the provision of life support, including HIV testing, treatment and care, needle and syringe programmes, opioid substitution therapy, safe abortions, antiretroviral therapy and gender-affirming care. and hormone treatment for transgender adolescents. To ensure enrollment in services, international guidance indicates that informed consent and confidentiality must be guaranteed, including the waiver of parental consent requirements. To remove the disincentive for health professionals and researchers to engage with adolescent PCs ages 10 to 17, government agencies and ethical review boards are encouraged to waive or waive mandatory reporting. In the event that, in violation of international law and guidance, authorities attempt to involuntarily place KP adolescents in institutions, they are entitled to judicial process. The legal guidelines also state that these adolescents have influence over their location, access to legal advice to challenge the conditions of their detention, and regular visits from peers, friends and family, and that all facilities are subject to frequent and regular reviews by independent bodies, including PC-led community groups. CONCLUSIONS: International control law specifies that protection interventions among 10- to 17-year-old KPs must not only include low-threshold voluntary services, but also ""protect"" adolescent KPs from the harms that come with evidence-based interventions. application of the law. Going forward, health professionals must respect the right to health by adjusting programs according to the principles of minimal intervention, due process, and proportionality, and duly limit the involvement of juvenile justice and child protection as a measure of last resort. appeal, if applicable.",0,0,
7,"""How much do they pay you if I volunteer?"" Suggested Institutional Policy on Reward, Consent, and Research","Pharmaceutical companies often ask practicing physicians to conduct phase IV or post-market research on new drugs. Companies pay doctors to enroll their patients and report dosage and side effects. Post-marketing research encompasses a multimillion-dollar promotion and awareness effort, but informed consent from subjects typically does not include physician reward. Improving the financial status of investigators while increasing medical risks to phase IV subjects is ethically unsound, especially if the subjects are unaware of the investigators' rewards. We suggest a model policy and guidelines that affirm the need for informed consent from subjects, the need for recognition and support from investigators, and the need for institutions to protect patients from undisclosed risks and relationships.",0,0,
8,"""If it is not broke, do not fix it",,0,0,
9,"""Let Me Get You a Nicotine Patch"": Nurses' Perceptions of Implementing Smoking Cessation Guidelines for Hospitalized Veterans","Many hospitalized smokers do not receive guideline-recommended anti-smoking treatment, but little is known about inpatient nurses' perceptions of anti-smoking treatment. We used a sequential explanatory mixed methods design to help explain the findings of a detailed intervention academic trial in the inpatient medicine units of four Veterans Affairs (VA) hospitals. We surveyed 164 nurses and conducted semi-structured interviews on a purposive sample of 33 nurses with different attitudes towards smoking cessation advice. Content analysis was used to inductively characterize the issues raised by the participants. Emerging themes were categorized using the guideline adherence knowledge-attitudes-behavior framework. Barriers related to knowledge and attitudes included perceived lack of skills in smoking cessation counseling and skepticism about the effectiveness of smoking cessation guidelines in hospitalized veterans. Nurses also reported multiple behavioral and organizational barriers to guideline adherence: patient resistance, insufficient time and resources, the presence of smoking areas in VA facilities, and lack of coordination with primary care. VA hospitals should train inpatient staff on how to negotiate behavior change, integrate smoking cessation counseling into nurses' workflow, develop alternative referral mechanisms for post-discharge cessation counseling and adopt hospital policies to promote abstinence for hospitalized patients.",0,0,
10,"""Rules"" of evidence in evaluating the efficacy and effectiveness of treatments","A brief review of the 'rules' of evidence for evaluating the efficacy and effectiveness of treatments leads to a discussion of what the future might hold in developing randomized clinical trial (RCT) rules to improve impact. of these studies. . The main requirement for improving the impact of studies seems to be discussion and interaction between researchers, clinicians, policymakers, and patient advocates on the one hand, and between basic scientists and clinical researchers on the other.",0,0,
