record_id,title,abstract,label_included,label_abstract_screening,duplicate_record_id
1,"A prospective, controlled trial of a pharmacy-driven alerting system to increase thromboprophylaxis rates in inpatients.","Although venous thromboembolism is an important cause of morbidity and mortality in the hospital, a significant portion of patients at risk do not take precautions known to reduce the risk of deep vein thrombosis and pulmonary embolism. The aim of this study was to determine whether a pharmacy-guided alerting system would be associated with a higher rate of adequate venous thromboembolism prevention measures compared to usual care among at-risk patients admitted to the general internal medicine ward. The study was a prospective, controlled trial set in a university-based teaching hospital. Participants were adults admitted to the general internal medicine inpatient ward between 19 June and 21 September 2006 (Monday to Friday). Their treatment included pharmacist assessment of the risk of venous thromboembolism and a pharmacist-directed warning to the treating physician. The proportion of at-risk patients who received adequate thromboprophylaxis within 36 hours of admission was recorded. In total, 140 patients were at sufficient risk for venous thromboembolism to be included. In the usual care group, prophylactic measures were requested for 49 (61%) of 80 patients at moderate to high risk. In the pharmacist alert group, 44 (73%) of 60 patients at moderate to high risk of venous thromboembolism received adequate thromboprophylaxis (P = 0.15). Although we did not observe a statistically significant difference between groups, our results are in line with previous reports suggesting that warning systems may increase the proportion of hospitalized patients who take adequate precautions to prevent venous thromboembolism.",0,1,
2,The effect of clinical pharmacy service on lipid control in patients with peripheral arterial disease.,"Objective Our group and others have previously identified that patients with peripheral artery disease (PAD) are significantly undertreated in terms of overall cardiovascular risk factor management, despite national guidelines to the contrary. To maximize risk factor control in our patients with PAH, we created a pharmacist-led, physician-monitored algorithmic approach to the outpatient management of lipids in patients with PAH. The aim of this study was to determine the impact of this service on lipid screening and control in patients with PAH. Methods We analyzed records of patients treated in a large, group-model, nonprofit regionally managed care system serving approximately 405,000 members. The electronic medical record provided complete examination, laboratory and pharmacy data for all patients. Pharmacy data were analyzed to identify prescriptions for lipid-lowering agents. Lipid control was assessed with fasting lipid data. Patients with confirmed PAH and no clinical coronary artery disease (CAD) were served and followed for at least 6 months between May 2003 and September 2004. Results We identified 5159 active patients with an administrative diagnosis of PAH. Of these, 1075 can be confirmed by a non-invasive arterial study. Exclusion of 384 patients with a diagnosis of CAD resulted in a cohort of 691 patients. Of these, 90 patients were admitted to the lipid service (study group), and 601 received standard care. The mean follow-up was 17.1 months. Screening fasting lipid profiles were found in 95.6% (86/90) of patients in the study group and only 66.9% (402/601) of standard-care patients (P < .0001). Low-density lipoprotein cholesterol (LDL-C) control was improved in the pharmacist-administered group, with 79.1% (68/86) LDL-C below 100 mg/dL compared to the standard care group (54.8%) [219/400]"" ;"" P < .0001). An LDL-C value of greater than 130 mg/dL was recorded in the treatment and control groups at 1.2% and 14.0% (56/400), respectively (P < .001). Statin use was present in 51.9% (312/601) of the control group patients and 84.4% (76/90) of the pharmacist-administered group (P < .001). Conclusions Despite the national consensus for PAH as a CAD equivalent, patients are currently under-treated for atherosclerotic risk factor modification. Launching a pharmacist-led, physician-monitored lipid service better aligns with national guidelines",0,1,
3,Using peer feedback to improve hand washing and glove use among Thai healthcare workers.,"Background: Without preventive practices such as Universal Precautions, healthcare workers are at significant risk for blood-borne infection, especially in areas with a high prevalence of HIV infection, such as Thailand. The aim of this study was to evaluate the effectiveness of a peer feedback program (PFP) on handwashing and wearing gloves (HW/GW) among Thai healthcare workers. Methods: Subjects (N = 91) were randomly assigned to receive PFP versus no treatment. Peer observers rated their colleagues' HW/GW compatibility during patient care using a checklist. For 1 month, the researcher published a report on the adaptive behaviors obtained from every 3-day observation. HW/GW was also assessed by the investigator by direct observation 1 month before, during the intervention, and 1 month after the intervention. Results: Baseline HW/GW ratios for the PFP and control groups were 49.2% and 61.5%, respectively. The PFP group had a significantly higher adjusted compliance rate than the control group during the intervention period (P =.0001). However, there was no significant difference in the compliance scores obtained 1 month after the intervention. Results: PFP was effective during the intervention period, but the effect was not persistent. Therefore, additional methods should be sought to promote preservation of the effect. (AJIC Am J Infect Control 2000"";""28:365-9)",0,1,
4,"""Doctoring"" Doctors and Their Families","Being selected to provide medical care to other doctors or family members not only represents professional recognition of competence by one's peers, but also represents a challenge. Many personal and psychological factors can affect physicians' medical care. Patient physicians may have difficulty with role-switching and ""VIP syndrome,"" while treating physicians may have to deal with their own concerns and issues such as confidentiality, privacy, empathy, and the involvement of a physician relative in the care of medical family members. . Based on experience with more than 200 physician-patients and many adult physician family members, recommendations are offered for the care of these patient groups.",0,0,
5,"""Ethics and clinical research"" revisited. A tribute to Henry K. Beecher","The doctrine of informed consent, borrowed from tort law, is not easily transplanted into therapeutic settings. The broader idea of yet-to-be-realized informed consent, which suggests that parties should decide together, should guide interactions between physicians and patients, or between researchers and subjects.",0,0,
6,"""First, do no harm"": legal guidelines for health programs affecting 10-17 year olds who sell sex or inject drugs","INTRODUCTION: There is a strong evidence base that the stigma, discrimination and delinquency affecting key adolescent populations (KPs) aged 10-17 is intensified due to national and international legal structures based on law enforcement-based interventions related to detention. Mandatory “rehabilitation” in pending detention, incarceration and institutional placement. While there are evidence- and rights-based technical guidelines for interventions among older groups, these guidelines have yet to be adopted by international public health actors for fear that international law imposes different standards on adolescents aged 10-17 who engage in behavior such as selling sex. or injecting drugs. DISCUSSION: As required by international human rights, health, juvenile justice and child protection law, interventions among adolescent KPs aged 10-17 should not involve any arrest, prosecution or detention. It is imperative that interventions do not rely on law enforcement, but instead utilize low-threshold, voluntary services, shelter and support, and peer-based outreach whenever possible. These services must be mobile and accessible and allow alternatives to parental leave to provide life-saving support, including HIV testing, treatment and care, needle and syringe programs, opioid substitution treatment, safe abortions, antiretroviral therapy and gender-affirming care. and hormone therapy for transgender adolescents. To enable enrollment in the Services, international guidance states that informed consent and confidentiality must be provided, including waiving parental consent requirements. To remove deterrents to health practitioners and researchers from engaging with adolescent KPs aged 10-17, it is recommended that government agencies and ethics review boards exempt or waive mandatory reporting. If authorities try to unintentionally place adolescent KPs in institutions in violation of international law and guidelines, they have the right to take legal action. Legal guidelines also ensure that these adolescents have a say over their placement, have access to legal counsel to challenge conditions of detention and regular visits from peers, friends and family, and that all facilities are subject to frequent and periodic review by independent organizations, including: Community-based groups led by KPs. CONCLUSIONS: Auditing international law states that protective interventions among KPs aged 10-17 not only must include low-threshold, voluntary services, but must also ""protect"" adolescent KPs from harm caused by law enforcement interventions. Going forward, health practitioners should adjust programs to the principles of minimum intervention, due process and proportionality, respecting the right to health and appropriately limiting participation in juvenile justice and child protection, if any, as a last resort.",0,0,
7,"""How much will you get paid if I volunteer?"" Suggested institutional policy on award, consent, and research","Pharmaceutical companies often ask GPs to conduct phase IV or postmarketing research on new drugs. Companies pay doctors to enroll their patients and report dosage and side-effect information. Postmarketing research involves billions of dollars in promotion and familiarization, but subjects' informed consent to it does not normally include physician reward. Improving investigators' finances while increasing the medical risks to Phase IV subjects is ethically wrong, especially if the subjects are unaware of the investigator's rewards. We propose a model policy and guideline that validates subjects' need for informed consent, researchers' need for recognition and support, and institutions' need to protect patients from undisclosed risks and relationships.",0,0,
8,"""Don't fix it if it's not broken",,0,0,
9,"""Let Me Get You a Nicotine Patch"": Nurses' Perceptions of Implementing the Smoking Cessation Guidelines for Hospitalized Veterans","Many hospitalized smokers do not receive the recommended tobacco treatment in the guideline, but little is known about inpatient nurses' perceptions of tobacco treatment. We used a sequential explanatory mixed methods design to help explain the findings of an academic elaboration intervention trial in the inpatient units of four Veterans Affairs (VA) hospitals. We surveyed 164 nurses and conducted semi-structured interviews with a purposeful sample of 33 nurses with different attitudes towards graduation counseling. Content analysis was used to inductively characterize the issues raised by the participants. The resulting themes were categorized using the knowledge-attitude-behavior framework of adherence to the guideline. Informational and attitudinal barriers included perceived lack of skill in quit counseling and skepticism about the effectiveness of quit guidelines in hospitalized veterans. Nurses also reported multiple behavioral and organizational barriers to compliance with the guideline: resistance from patients, insufficient time and resources, presence of smoking areas in VA facilities, and lack of coordination with primary care. VA hospitals should train inpatient staff on how to negotiate behavior change, integrate quit counseling into nurses' workflow, develop alternative referral mechanisms for post-discharge dropout counseling, and adopt hospital policies to promote inpatient withdrawal.",0,0,
10,"Evidence ""rules"" for assessing efficacy and effectiveness of treatments","A brief review of the ""rules of evidence"" for assessing the efficacy and efficacy of treatments leads to a discussion of what the future holds in the development of guidelines for randomized clinical trials (RCTs) to increase the impact of such studies. . The primary condition for increasing the impact of research seems to be discussions and interactions between researchers, clinicians, policy makers and patient advocates on the one hand, and between basic scientists and clinical researchers on the other.",0,0,
