path,name,dataset,language,feature_extractor,classifier,repeat,WSS@95%,RRF@10%,ATD
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_1.h5,ACEInhibitors,DE,doc2vec,logistic,1,64.07946499,85,9.24518096
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_10.h5,ACEInhibitors,DE,doc2vec,logistic,2,61.83713611,85,8.754425649
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_11.h5,ACEInhibitors,DE,doc2vec,logistic,3,73.52084972,77.5,8.780979544
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_12.h5,ACEInhibitors,DE,doc2vec,logistic,4,64.78756884,82.5,9.348446105
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_13.h5,ACEInhibitors,DE,doc2vec,logistic,5,63.09598741,72.5,9.985739575
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_14.h5,ACEInhibitors,DE,doc2vec,logistic,6,62.23052714,72.5,9.218627065
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_15.h5,ACEInhibitors,DE,doc2vec,logistic,7,65.5743509,77.5,9.288453973
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_2.h5,ACEInhibitors,DE,doc2vec,logistic,8,67.38394965,77.5,10.04671518
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_3.h5,ACEInhibitors,DE,doc2vec,logistic,9,72.81274587,37.5,13.30891031
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_4.h5,ACEInhibitors,DE,doc2vec,logistic,10,68.28874902,77.5,9.365165224
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_5.h5,ACEInhibitors,DE,doc2vec,logistic,11,70.76711251,75,9.733969315
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_6.h5,ACEInhibitors,DE,doc2vec,logistic,12,68.0527144,80,9.078973249
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_7.h5,ACEInhibitors,DE,doc2vec,logistic,13,64.70889064,80,9.177321007
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_8.h5,ACEInhibitors,DE,doc2vec,logistic,14,69.62627852,82.5,8.476101495
D:\Thesis\output\DE\doc2vec\logistic,ACEInhibitors_DE_9.h5,ACEInhibitors,DE,doc2vec,logistic,15,64.1974823,75,9.357297404
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_1.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,1,41.22718053,64.28571429,11.75073478
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_10.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,2,43.66125761,67.85714286,11.90286459
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_11.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,3,68.63952478,78.57142857,9.612638159
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_12.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,4,68.29179948,67.85714286,10.79035062
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_13.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,5,70.05940307,78.57142857,8.8116281
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_14.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,6,69.88554042,71.42857143,10.02142236
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_15.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,7,44.24079977,78.57142857,11.63586124
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_2.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,8,68.55259345,82.14285714,9.078631453
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_3.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,9,40.96638655,71.42857143,11.83145672
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_4.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,10,41.86467691,82.14285714,9.702674173
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_5.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,11,69.36395248,78.57142857,8.915117771
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_6.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,12,69.56679223,82.14285714,8.429751211
D:\Thesis\output\DE\doc2vec\logistic,Appenzeller-Herzog_2020_DE_7.h5,Appenzeller-Herzog_2020,DE,doc2vec,logistic,13,41.80672269,64.28571429,11.70726911
